Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Sexo	Periodo	Total
Total Nacional			Total	2024	48.619.695
Total Nacional			Total	2023	48.085.361
Total Nacional			Total	2022	47.486.727
Total Nacional			Total	2021	47.400.798
Total Nacional			Hombres	2024	23.826.871
Total Nacional			Hombres	2023	23.565.593
Total Nacional			Hombres	2022	23.288.747
Total Nacional			Hombres	2021	23.248.611
Total Nacional			Mujeres	2024	24.792.824
Total Nacional			Mujeres	2023	24.519.768
Total Nacional			Mujeres	2022	24.197.980
Total Nacional			Mujeres	2021	24.152.187
Total Nacional	01 Andalucía		Total	2024	8.631.862
Total Nacional	01 Andalucía		Total	2023	8.584.147
Total Nacional	01 Andalucía		Total	2022	8.511.167
Total Nacional	01 Andalucía		Total	2021	8.484.804
Total Nacional	01 Andalucía		Hombres	2024	4.249.355
Total Nacional	01 Andalucía		Hombres	2023	4.229.831
Total Nacional	01 Andalucía		Hombres	2022	4.196.620
Total Nacional	01 Andalucía		Hombres	2021	4.182.620
Total Nacional	01 Andalucía		Mujeres	2024	4.382.507
Total Nacional	01 Andalucía		Mujeres	2023	4.354.316
Total Nacional	01 Andalucía		Mujeres	2022	4.314.547
Total Nacional	01 Andalucía		Mujeres	2021	4.302.184
Total Nacional	01 Andalucía	04 Almería	Total	2024	760.964
Total Nacional	01 Andalucía	04 Almería	Total	2023	753.364
Total Nacional	01 Andalucía	04 Almería	Total	2022	739.541
Total Nacional	01 Andalucía	04 Almería	Total	2021	730.430
Total Nacional	01 Andalucía	04 Almería	Hombres	2024	389.103
Total Nacional	01 Andalucía	04 Almería	Hombres	2023	385.696
Total Nacional	01 Andalucía	04 Almería	Hombres	2022	378.325
Total Nacional	01 Andalucía	04 Almería	Hombres	2021	372.823
Total Nacional	01 Andalucía	04 Almería	Mujeres	2024	371.861
Total Nacional	01 Andalucía	04 Almería	Mujeres	2023	367.668
Total Nacional	01 Andalucía	04 Almería	Mujeres	2022	361.216
Total Nacional	01 Andalucía	04 Almería	Mujeres	2021	357.607
Total Nacional	01 Andalucía	11 Cádiz	Total	2024	1.258.730
Total Nacional	01 Andalucía	11 Cádiz	Total	2023	1.254.866
Total Nacional	01 Andalucía	11 Cádiz	Total	2022	1.250.545
Total Nacional	01 Andalucía	11 Cádiz	Total	2021	1.249.873
Total Nacional	01 Andalucía	11 Cádiz	Hombres	2024	619.543
Total Nacional	01 Andalucía	11 Cádiz	Hombres	2023	618.291
Total Nacional	01 Andalucía	11 Cádiz	Hombres	2022	616.647
Total Nacional	01 Andalucía	11 Cádiz	Hombres	2021	616.595
Total Nacional	01 Andalucía	11 Cádiz	Mujeres	2024	639.187
Total Nacional	01 Andalucía	11 Cádiz	Mujeres	2023	636.575
Total Nacional	01 Andalucía	11 Cádiz	Mujeres	2022	633.898
Total Nacional	01 Andalucía	11 Cádiz	Mujeres	2021	633.278
Total Nacional	01 Andalucía	14 Córdoba	Total	2024	774.313
Total Nacional	01 Andalucía	14 Córdoba	Total	2023	775.002
Total Nacional	01 Andalucía	14 Córdoba	Total	2022	775.110
Total Nacional	01 Andalucía	14 Córdoba	Total	2021	777.622
