date;pm25;pm10;o3;no2;so2;co
2025/11/1; 39; ; 24; 3; ; 1
2025/11/2; 21; ; 21; 8; ; 1
2025/11/3; 39; ; 14; 10; ; 1
2025/11/4; 63; ; 19; 8; ; 1
2025/11/5; 51; ; 22; 7; ; 1
2025/11/6; 16; ; 15; 14; ; 1
2025/11/7; 39; ; 23; 3; ; 1
2025/11/8; 25; ; 22; 6; ; 1
2025/11/9; 21; ; 12; 10; ; 1
2025/11/10; 49; ; 11; 11; ; 1
2025/11/11; 59; ; 26; 9; ; 1
2025/11/12; 53; ; 25; 8; ; 1
2025/11/13; 52; ; 23; 3; ; 1
2025/11/14; 32; ; ; ; ; 
2025/10/1; 31; ; 30; 13; ; 1
2025/10/2; 52; ; 26; 12; ; 1
2025/10/3; 62; ; 29; 4; ; 1
2025/10/4; 44; ; 26; ; ; 1
2025/10/5; 19; ; 23; 10; ; 1
2025/10/6; 30; ; 19; 16; ; 1
2025/10/7; 60; ; 29; 9; ; 1
2025/10/8; 68; ; 28; 3; ; 1
2025/10/9; 45; ; 27; 5; ; 1
2025/10/10; 40; ; 26; 6; ; 1
2025/10/11; 50; ; 26; 4; ; 1
2025/10/12; 43; ; 24; 5; ; 1
2025/10/13; 41; ; 29; 10; ; 1
2025/10/14; 48; ; 24; 11; ; 1
2025/10/15; 57; ; 17; 12; ; 1
2025/10/16; 65; ; 22; 12; ; 1
2025/10/17; 73; ; 26; 8; ; 1
2025/10/18; 66; ; 18; 6; ; 1
2025/10/19; 65; ; 24; 7; ; 1
2025/10/20; 41; ; 20; 7; ; 1
2025/10/21; 37; ; 22; 5; ; 1
2025/10/22; 38; ; 30; 3; ; 1
2025/10/23; 24; ; 24; 6; ; 1
2025/10/24; 44; ; 14; 5; ; 1
2025/10/25; 41; ; 27; 2; ; 1
2025/10/26; 18; ; 27; 3; ; 1
2025/10/27; 21; ; 18; 7; ; 1
2025/10/28; 45; ; 7; 11; ; 1
2025/10/29; 55; ; 18; 8; ; 1
2025/10/30; 37; ; 11; 10; ; 1
2025/10/31; 45; ; 22; 5; ; 1
2025/7/1; 74; ; 47; 10; ; 2
2025/7/2; 115; ; 42; 6; ; 1
2025/7/3; 41; ; 54; ; ; 1
2025/7/4; 50; ; 52; ; ; 1
2025/7/5; 48; ; 47; ; ; 1
2025/7/6; 44; ; 29; ; ; 1
2025/7/7; 26; ; 39; 2; ; 1
2025/7/8; 20; ; 34; ; ; 1
2025/7/9; 44; ; 39; ; ; 1
2025/7/10; 71; ; 31; ; ; 1
2025/7/11; 68; ; 33; ; ; 1
2025/7/12; 31; ; 45; ; ; 1
2025/7/13; 43; ; 36; ; ; 1
2025/7/14; 58; ; 33; ; ; 1
2025/7/15; 35; ; 39; ; ; 1
2025/7/16; 47; ; 39; 14; ; 1
2025/7/17; 50; ; 42; 7; ; 1
2025/7/18; 72; ; 31; 3; ; 1
2025/7/19; 31; ; 29; 4; ; 1
2025/7/20; 36; ; 33; 3; ; 1
2025/7/21; 34; ; 37; 8; ; 1
2025/7/22; 36; ; 30; 4; ; 1
2025/7/23; 35; ; 29; 3; ; 1
2025/7/24; 26; ; 32; 3; ; 1
2025/7/25; 29; ; 34; 2; ; 1
2025/7/26; 36; ; 28; 2; ; 1
2025/7/27; 30; ; 30; 2; ; 1
2025/7/28; 29; ; 34; 2; ; 1
2025/7/29; 33; ; 24; 3; ; 1
2025/7/30; 24; ; 30; 3; ; 1
2025/7/31; 25; ; 32; 3; ; 1
2025/8/1; 34; ; 34; 2; ; 1
2025/8/2; 21; ; 35; 3; ; 1
2025/8/3; 31; ; 44; 10; ; 1
2025/8/4; 40; ; 44; 8; ; 1
2025/8/5; 75; ; 30; 10; ; 1
2025/8/6; 36; ; 40; 12; ; 1
2025/8/7; 49; ; 39; 10; ; 1
2025/8/8; 57; ; 44; 6; ; 1
2025/8/9; 55; ; 47; 8; ; 1
2025/8/10; 55; ; 50; 12; ; 1
2025/8/11; 68; ; 28; 9; ; 1
2025/8/12; 54; ; ; ; ; 
2025/8/22; 26; ; 40; 7; ; 1
2025/8/23; 39; ; 39; 5; ; 1
2025/8/24; 41; ; 28; 10; ; 2
2025/8/25; 47; ; 35; 11; ; 1
2025/8/26; 53; ; 24; 11; ; 1
2025/8/27; 49; ; 32; 4; ; 1
2025/8/28; 26; ; 33; 8; ; 1
2025/8/29; 30; ; 30; 6; ; 1
2025/8/30; 20; ; 29; 6; ; 1
2025/8/31; 21; ; 28; 3; ; 1
2025/9/1; 16; ; 31; 7; ; 1
2025/9/2; 24; ; 27; 12; ; 1
2025/9/3; 31; ; 30; 5; ; 1
2025/9/4; 28; ; 26; 5; ; 1
2025/9/5; 26; ; 28; 5; ; 1
2025/9/6; 24; ; 28; 7; ; 1
2025/9/7; 26; ; 26; 3; ; 1
2025/9/8; 24; ; 29; 3; ; 1
2025/9/9; 13; ; 26; 7; ; 1
2025/9/10; 21; ; 30; 6; ; 1
2025/9/11; 16; ; 23; 7; ; 1
2025/9/12; 15; ; 30; 6; ; 1
2025/9/13; 31; ; 29; 8; ; 1
2025/9/14; 28; ; 28; 11; ; 1
2025/9/15; 46; ; 27; 8; ; 1
2025/9/16; 21; ; 23; 14; ; 1
