date, pm25, pm10, o3, no2, so2, co
2025/11/1, 33, 10, 24, 12, 1, 
2025/11/2, 32, 17, 15, 15, 1, 
2025/11/3, 40, 13, 29, 9, 1, 
2025/11/4, 34, 9, 27, 9, , 
2025/11/5, 25, 9, 21, 14, 1, 
2025/11/6, 27, 8, 7, 15, , 
2025/11/7, 25, , , , , 
2025/10/1, 41, 16, 26, 15, 1, 
2025/10/2, 40, 22, 20, 16, 1, 
2025/10/3, 53, 13, 20, 9, 1, 
2025/10/4, 32, 12, 22, 4, 1, 
2025/10/5, 23, 18, 14, 11, 1, 
2025/10/6, 41, 20, 20, 15, 1, 
2025/10/7, 43, 19, 21, 12, 1, 
2025/10/8, 53, 14, 21, 8, 1, 
2025/10/9, 27, 15, 21, 9, 1, 
2025/10/10, 28, 18, 19, 10, 1, 
2025/10/11, 36, 21, 18, 9, 2, 
2025/10/12, 45, 36, 14, 9, 1, 
2025/10/13, 58, 26, 15, 9, 1, 
2025/10/14, 40, 21, 18, 7, 1, 
2025/10/15, 34, 27, 18, 11, 1, 
2025/10/16, 41, 31, 15, 14, 1, 
2025/10/17, 55, 27, 19, 16, 2, 
2025/10/18, 42, 16, 20, 9, 1, 
2025/10/19, 58, 10, 19, 12, 1, 
2025/10/20, 32, 10, 19, 13, 1, 
2025/10/21, 44, 14, 24, 9, 1, 
2025/10/22, 29, 19, 28, 8, 1, 
2025/10/23, 29, 18, 24, 12, 1, 
2025/10/24, 35, 15, 21, 12, 1, 
2025/10/25, 36, 13, 22, 9, 1, 
2025/10/26, 30, 18, 7, 15, 1, 
2025/10/27, 37, 25, 7, 17, 2, 
2025/10/28, 55, 13, 11, 16, 1, 
2025/10/29, 48, 18, 25, 14, 1, 
2025/10/30, 35, 6, 24, 10, 1, 
2025/10/31, 18, 11, 20, 12, 1, 
2025/7/1, 55, 13, 21, 6, , 
2025/7/2, 26, 24, 20, 6, , 
2025/7/3, 31, 23, 18, 8, , 
2025/7/4, 33, 31, 28, 5, , 
2025/7/5, 43, 21, 24, 3, , 
2025/7/6, 30, 14, 22, 5, , 
2025/7/7, 27, 25, 23, 6, , 
2025/7/8, 33, 22, 24, 7, , 
2025/7/9, 39, 34, 22, 11, , 
2025/7/10, 49, 38, 43, 11, , 
2025/7/11, 53, 25, 43, 6, , 
2025/7/12, 35, 19, 35, 4, , 
2025/7/13, 37, 33, 30, 11, , 
2025/7/14, 40, 33, 36, 7, , 
2025/7/15, 49, 33, 22, 9, , 
2025/7/16, 55, 25, 15, 6, , 
2025/7/17, 48, 13, 14, 6, , 
2025/7/18, 21, 13, 20, 4, , 
2025/7/19, 35, 13, 27, 2, , 
2025/7/20, 39, 18, 21, 5, , 
2025/7/21, 31, 20, 21, 4, , 
2025/7/22, 40, 31, 22, 3, , 
2025/7/23, 32, 23, 21, 6, , 
2025/7/24, 40, 33, 22, 7, , 
2025/7/25, 45, 21, 23, 4, , 
2025/7/26, 45, 17, 19, 4, , 
2025/7/27, 43, 38, 19, 6, , 
2025/7/28, 46, 30, 20, 4, , 
2025/7/29, 40, 23, 14, 5, 1, 
2025/7/30, 33, 15, 19, 3, 1, 
2025/7/31, 23, 16, 19, 5, 1, 
2025/8/1, 32, 14, 22, 2, 1, 
2025/8/2, 25, 17, 25, 2, 1, 
2025/8/3, 29, 27, 24, 8, 1, 
2025/8/4, 46, 19, 22, 2, 1, 
2025/8/5, 37, 17, 24, 3, 1, 
2025/8/6, 33, 22, 30, 6, 1, 
2025/8/7, 39, 29, 23, 6, 1, 
2025/8/8, 36, 20, 17, 4, 1, 
2025/8/9, 36, 20, 18, 4, 1, 
2025/8/10, 32, 35, 30, 10, 1, 
2025/8/11, 43, 41, 20, 9, 1, 
2025/8/12, 63, 35, 20, 5, 1, 
2025/8/13, 41, 23, 18, 5, 1, 
2025/8/14, 40, 32, 37, 7, 3, 
2025/8/15, 58, 37, 23, 7, 1, 
2025/8/16, 58, 39, 21, 4, 1, 
2025/8/17, 59, 28, 23, 5, , 
