date,pm25,pm10,o3,no2,so2,co
2025/11/1, 17, , , , , 
2025/11/3, 29, 18, , 5, , 
2025/11/4, 20, 18, , 4, , 
2025/11/5, 19, 9, , 5, , 
2025/11/6, 7, 12, , 3, , 
2025/11/7, 15, , , , , 
2025/10/1, 18, 14, , 7, , 
2025/10/2, 23, 16, , 6, , 
2025/10/3, 26, 19, , 5, , 
2025/10/4, 24, 17, , 3, , 
2025/10/5, 9, 20, , 5, , 
2025/10/6, 13, 20, , 8, , 
2025/10/7, 20, 24, , 10, , 
2025/10/8, 26, 17, , 4, , 
2025/10/9, 23, 16, , 4, , 
2025/10/10, 17, 15, , 3, , 
2025/10/11, 14, 20, , 3, , 
2025/10/12, 27, 23, , 6, , 
2025/10/13, 42, 19, , 4, , 
2025/10/14, 28, 19, , 2, , 
2025/10/15, 26, 21, , 3, , 
2025/10/16, 30, 26, , 5, , 
2025/10/17, 45, 25, , 7, , 
2025/10/18, 33, 30, , 7, , 
2025/10/19, 37, 16, , 6, , 
2025/10/20, 12, 13, , 4, , 
2025/10/21, 8, 15, , 3, , 
2025/10/22, 10, 33, , 5, , 
2025/10/23, 31, 18, , 5, , 
2025/10/24, 14, 16, , 4, , 
2025/10/25, 13, 10, , 4, , 
2025/10/26, 17, 14, , 6, , 
2025/10/27, 12, 25, , 8, , 
2025/10/28, 31, 22, , 8, , 
2025/10/29, 26, 21, , 7, , 
2025/10/30, 19, 19, , 11, , 
2025/10/31, 16, 14, , 5, , 
2025/7/1, 42, 13, , 2, , 
2025/7/2, 15, 20, , 1, , 
2025/7/3, 23, 22, , 2, , 
2025/7/4, 12, 18, , 2, , 
2025/7/5, 15, 18, , 2, , 
2025/7/6, 10, 15, , 3, , 
2025/7/7, 14, 14, , 1, , 
2025/7/8, 24, 14, , 1, , 
2025/7/9, 17, 21, , 3, , 
2025/7/10, 29, 28, , 6, , 
2025/7/11, 31, 26, , 5, , 
2025/7/12, 32, 19, , 3, , 
2025/7/13, 22, 16, , 2, , 
2025/7/14, 16, 19, , 3, , 
2025/7/15, 23, 19, , 2, , 
2025/7/16, 28, 19, , 1, , 
2025/7/17, 21, 15, , 3, , 
2025/7/18, 20, 11, , 2, , 
2025/7/19, 12, 28, , 5, , 
2025/7/20, 24, 10, , 2, , 
2025/7/21, 9, 16, , 3, , 
2025/7/22, 14, 14, , 2, , 
2025/7/23, 13, 11, , 1, , 
2025/7/24, 12, 15, , 2, , 
2025/7/25, 31, 16, , 1, , 
2025/7/26, 31, 13, , 1, , 
2025/7/27, 24, 9, , 2, , 
2025/7/28, 8, 8, , 1, , 
2025/7/29, 9, 8, , 2, , 
2025/7/30, 8, 4, , 1, , 
2025/7/31, 10, 6, , 2, , 
2025/8/1, 9, 12, , , , 
2025/8/2, 16, 13, , , , 
2025/8/3, 14, 16, , 2, , 
2025/8/4, 16, 13, , 1, , 
2025/8/5, 12, 19, , 1, , 
2025/8/6, 16, 17, , 2, , 
2025/8/7, 15, 16, , 2, , 
2025/8/8, 10, 11, , 1, , 
2025/8/9, 12, 18, , 1, , 
2025/8/10, 14, 33, , 5, , 
2025/8/11, 35, 29, , 3, , 
2025/8/12, 27, 32, , 4, , 
2025/8/13, 28, 20, , 2, , 
2025/8/14, 21, 27, , 2, , 
2025/8/15, 36, 32, , 3, , 
2025/8/16, 40, 35, , 2, , 
2025/8/17, 46, 29, , 3, , 
2025/8/18, 35, 16, , 3, , 
