date,pm25,pm10,o3,no2,so2,co
2025/11/1,, 10, 26, 2, 1,
2025/11/2,, 8, 26, 4, 1,
2025/11/3,, 10, 25, 7, 1,
2025/11/4,, 13, 34, 7, 1,
2025/11/5,, 11, 32, 2, 1,
2025/11/6,, 11, 27, 2, 1,
2025/11/7,, 11, 27, 1, 1,
2025/11/8,, 6, 25, 4, 1,
2025/11/9,, 6, 25, 8, 1,
2025/11/10,, 14, 30, 7, 1,
2025/11/11,, 14, 34, 7, 1,
2025/11/12,, 16, 26, 7, 1,
2025/11/13,, 27, , 1, 1,
2025/11/14,, 65, , , ,
2025/10/1,, 9, 32, 5, 1,
2025/10/2,, 16, 31, 7, 1,
2025/10/3,, 19, 39, 7, 1,
2025/10/4,, 20, 25, 4, ,
2025/10/5,, 19, 26, 6, ,
2025/10/6,, 22, 27, 8, ,
2025/10/7,, 24, 27, 8, ,
2025/10/8,, 24, 26, 5, ,
2025/10/9,, 15, 25, 4, 1,
2025/10/10,, 12, 33, 3, 1,
2025/10/11,, 9, 31, 2, 1,
2025/10/12,, 15, 28, 4, 1,
2025/10/13,, 22, 29, 3, 1,
2025/10/14,, 21, 28, 4, ,
2025/10/15,, 16, 31, 6, ,
2025/10/16,, 18, 27, 10, ,
2025/10/17,, 22, 31, 6, ,
2025/10/18,, 13, 33, 4, ,
2025/10/19,, 10, 34, 2, ,
2025/10/20,, 11, 28, 2, ,
2025/10/21,, 11, 21, 1, 1,
2025/10/22,, 6, 28, 2, ,
2025/10/23,, 18, 30, 6, ,
2025/10/24,, 19, 23, 3, ,
2025/10/25,, 11, 27, 1, 1,
2025/10/26,, 7, 26, 8, 1,
2025/10/27,, 13, 29, 6, 1,
2025/10/28,, 12, 31, 5, ,
2025/10/29,, 9, 27, 5, 1,
2025/10/30,, 8, 28, 6, 1,
2025/10/31,, 11, 30, 5, 1,
2025/7/1,, 23, , 6, 1,
2025/7/2,, 15, , 6, 1,
2025/7/3,, 22, , , ,
2025/7/7,, 65, , 1, 1,
2025/7/8,, 26, , 2, 1,
2025/7/9,, 41, , 6, 1,
2025/7/10,, 28, , , ,
2025/7/30,, 22, 37, 3, ,
