date, pm10, o3, no2, so2
2025/11/1, 11, 28, 6, 
2025/11/2, 12, 31, 6, 1
2025/11/3, 13, 32, 7, 1
2025/11/4, 11, 26, 6, 
2025/11/5, 8, 31, 4, 1
2025/11/6, 14, 31, 8, 1
2025/11/7, 14, 23, 7, 1
2025/11/8, 6, 27, 6, 1
2025/11/9, 9, 33, 8, 1
2025/11/10, 10, 34, 8, 1
2025/11/11, 13, 28, 10, 1
2025/11/12, 14, 20, 9, 1
2025/11/13, 23, , , 
2025/10/1, 13, 38, 7, 1
2025/10/2, 14, 38, 8, 1
2025/10/3, 15, 41, 8, 1
2025/10/4, 13, 28, 5, 
2025/10/5, 19, 32, 5, 1
2025/10/6, 15, 33, 7, 1
2025/10/7, 15, 31, 8, 1
2025/10/8, 12, 29, 7, 1
2025/10/9, 15, 27, 4, 1
2025/10/10, 14, 26, 8, 1
2025/10/11, 9, 29, 5, 1
2025/10/12, 10, 24, 8, 1
2025/10/13, 13, 27, 7, 1
2025/10/14, 15, 23, 7, 1
2025/10/15, 19, 33, 7, 1
2025/10/16, 15, 35, 8, 1
2025/10/17, 14, 34, 7, 1
2025/10/18, 10, 36, 5, 1
2025/10/19, 8, 40, 2, 1
2025/10/20, 16, 33, 5, 1
2025/10/21, 16, 23, 4, 1
2025/10/22, 18, 28, 2, 
2025/10/23, 25, 38, 7, 1
2025/10/24, 18, 29, 8, 1
2025/10/25, 15, 21, 5, 
2025/10/26, 7, 31, 7, 1
2025/10/27, 8, 27, 9, 1
2025/10/28, 8, 31, 9, 1
2025/10/29, 11, 23, 9, 
2025/10/30, 17, 34, 6, 
2025/10/31, 12, 33, 5, 
2025/7/1, 23, , 7, 1
2025/7/2, 13, , 12, 1
2025/7/3, 15, , , 
2025/7/7, 15, , 3, 1
2025/7/8, 18, , 2, 1
2025/7/9, 11, , 5, 1
2025/7/10, 11, , , 
2025/7/30, 11, 36, 5, 1
2025/7/31, 13, 32, 5, 1
2025/8/1, 10, , , 
2025/8/4, 12, 38, , 1
2025/8/5, 7, 45, 8, 1
2025/8/6, 25, 39, 8, 1
2025/8/7, 21, 42, 9, 1
2025/8/8, 25, 35, 6, 1
2025/8/9, 16, 40, 4, 
2025/8/10, 12, 37, 4, 
2025/8/11, 15, 38, 6, 
2025/8/12, 17, 38, 7, 
2025/8/13, 21, 41, 8, 
2025/8/14, 27, 43, 6, 
2025/8/15, 22, 44, 9, 
2025/8/16, 23, 41, 8, 
2025/8/17, 24, 37, 7, 
2025/8/18, 24, 37, 7, 
2025/8/19, 23, 34, 6, 
2025/8/20, 26, 37, 4, 
2025/8/21, 16, 38, 8, 
2025/8/22, 18, , , 
2025/8/25, 20, 39, 11, 
2025/8/26, 26, 40, 3, 
2025/8/27, 48, 36, 1, 
2025/8/28, 39, 33, 2, 
2025/8/29, 22, 41, 6, 
2025/8/30, 20, 35, 7, 
