date, pm10, o3, no2, so2
2025/11/1, 4, 31, 2, 
2025/11/2, 5, 29, 6, 1
2025/11/3, 6, 30, 9, 
2025/11/4, 5, 32, 5, 
2025/11/5, 9, 30, 6, 1
2025/11/6, 7, 29, 13, 1
2025/11/7, 6, 30, 10, 1
2025/11/8, 6, 26, 6, 1
2025/11/9, 5, 30, 11, 1
2025/11/10, 8, 32, 9, 1
2025/11/11, 9, 39, 5, 1
2025/11/12, 12, 12, 4, 1
2025/11/13, 12, , , 
2025/10/1, 8, 36, 7, 
2025/10/2, 8, 39, 5, 
2025/10/3, 8, 42, , 
2025/10/4, 9, 30, 5, 
2025/10/5, 8, 30, 6, 
2025/10/6, 7, 33, 9, 
2025/10/7, 7, 35, , 
2025/10/8, 6, 34, , 
2025/10/9, 7, 34, , 
2025/10/10, 6, 31, , 
2025/10/11, 5, 33, , 
2025/10/12, 6, 27, , 
2025/10/13, 7, 32, 1, 
2025/10/14, 8, 28, 1, 
2025/10/15, 9, 37, 5, 
2025/10/16, 18, 34, 8, 
2025/10/17, 15, 33, 9, 
2025/10/18, 14, 34, 11, 
2025/10/19, 11, 37, 6, 
2025/10/20, 10, 31, 3, 
2025/10/21, 10, 24, 2, 
2025/10/22, 6, 35, 11, 
2025/10/23, 11, 35, 24, 
2025/10/24, 8, 27, 6, 
2025/10/25, 8, 27, 3, 
2025/10/26, 5, 30, 13, 
2025/10/27, 7, 32, 13, 
2025/10/28, 7, 32, 6, 
2025/10/29, 5, 29, 2, 
2025/10/30, 6, 32, 5, 
2025/10/31, 5, 32, 2, 
2025/7/1, 16, , 2, 1
2025/7/2, 15, , 4, 1
2025/7/3, 20, , , 
2025/7/7, 16, , , 1
2025/7/8, 16, , 2, 1
2025/7/9, 13, , 2, 1
2025/7/10, 13, , , 
2025/7/30, 11, 33, 1, 1
2025/7/31, 14, 37, 1, 1
2025/8/1, 12, , , 
2025/8/4, 17, 42, 1, 1
2025/8/5, 9, 35, 2, 1
2025/8/6, 18, 40, 2, 1
2025/8/7, 20, 47, 2, 1
2025/8/8, 23, 35, 2, 1
2025/8/9, 18, 39, 2, 1
2025/8/10, 15, 41, 1, 1
2025/8/11, 20, 40, 2, 1
2025/8/12, 23, 40, 2, 1
2025/8/13, 23, 41, 2, 2
2025/8/14, 24, 43, 2, 2
2025/8/15, 26, 49, 4, 2
2025/8/16, 28, 46, 4, 2
2025/8/17, 29, 42, 2, 1
2025/8/18, 28, 43, 1, 1
2025/8/19, 20, 39, 1, 1
2025/8/20, 22, 40, 1, 1
2025/8/21, 15, 43, 2, 2
2025/8/22, 21, , , 
