date;pm25;pm10;o3;no2;so2;co
2025/11/1;; 10; ; 1; ;
2025/11/2;; 11; 20; 2; ;
2025/11/3;; 14; 27; 2; ;
2025/11/4;; 11; 33; 2; ;
2025/11/5;; 11; 28; 1; ;
2025/11/6;; 13; 28; 2; ;
2025/11/7;; 13; 26; 1; ;
2025/11/8;; 8; 27; 1; ;
2025/11/9;; 10; 27; 2; ;
2025/11/10;; 11; 31; 2; ;
2025/11/11;; 12; 35; 2; ;
2025/11/12;; 17; 17; 4; ;
2025/11/13;; 22; ; ; ;
2025/10/1;; 10; 32; 3; ;
2025/10/2;; 17; 35; 2; ;
2025/10/3;; 15; 39; 2; ;
2025/10/4;; 15; 26; 1; ;
2025/10/5;; 19; 27; 2; ;
2025/10/6;; 20; 28; 2; ;
2025/10/7;; 14; 29; 3; ;
2025/10/8;; 11; 23; 2; ;
2025/10/9;; 10; 25; 1; ;
2025/10/10;; 11; 32; 1; ;
2025/10/11;; 9; 30; 1; ;
2025/10/12;; 14; 29; 1; ;
2025/10/13;; 20; 31; 1; ;
2025/10/14;; 17; 21; 2; ;
2025/10/15;; 12; 33; 1; ;
2025/10/16;; 19; 29; 3; ;
2025/10/17;; 13; 31; 2; ;
2025/10/18;; 10; 35; 1; ;
2025/10/19;; 10; 35; 1; 1;
2025/10/20;; 12; 29; 1; ;
2025/10/21;; 12; 22; 1; 1;
2025/10/22;; 8; 25; 1; 1;
2025/10/23;; 19; 33; 3; ;
2025/10/24;; 20; 25; 2; ;
2025/10/25;; 13; 27; 1; ;
2025/10/26;; 9; 28; 1; ;
2025/10/27;; 9; 27; 3; ;
2025/10/28;; 10; 28; 5; ;
2025/10/29;; 12; 27; 2; ;
2025/10/30;; 7; 31; 2; ;
2025/10/31;; 11; 2; 2; ;
2025/7/1;; 16; ; 2; ;
2025/7/2;; 15; ; 2; 1;
2025/7/3;; 15; ; ; ;
2025/7/7;; 20; ; 1; 1;
2025/7/8;; 22; ; 2; 1;
2025/7/9;; 18; ; 1; 1;
2025/7/10;; 34; ; ; ;
2025/7/30;; 16; 36; 3; ;
2025/7/31;; 18; 29; 2; ;
2025/8/1;; 12; ; ; ;
2025/8/4;; 14; 35; 2; ;
2025/8/5;; 11; 40; 3; ;
2025/8/6;; 18; 33; 2; ;
2025/8/7;; 19; 42; 2; ;
2025/8/8;; 21; 36; 2; ;
2025/8/9;; 20; 37; 3; ;
2025/8/10;; 18; 35; 4; ;
2025/8/11;; 25; 34; 5; ;
2025/8/12;; 30; 31; 7; ;
2025/8/13;; 25; 37; 4; ;
2025/8/14;; 23; 38; 8; ;
2025/8/15;; 24; 42; 7; ;
2025/8/16;; 30; 39; 7; ;
2025/8/17;; 40; 42; 7; ;
2025/8/18;; 38; 41; 1; ;
2025/8/19;; 23; 37; 1; ;
2025/8/20;; 25; 31; 3; ;
2025/8/21;; 20; 35; 4; ;
2025/8/22;; 25; ; ; ;
2025/8/25;; 22; 30; 2; 1;
2025/8/26;; 16; 34; 3; ;
2025/8/27;; 34; 35; 1; ;
2025/8/28;; 40; 38; 2; ;
2025/8/29;; 25; 38; 3; ;
2025/8/30;; 28; 41; 3; ;
2025/8/31;; 23; 38; 1; ;
2025/9/1;; 16; 32; 1; ;
2025/9/2;; 12; 31; 4; ;
2025/9/3;; 20; 8; 2; ;
2025/9/4;; 14; ; ; ;
2025/9/8;; 34; 21; 3; 1;
2025/9/9;; 22; 36; 5; 1;
2025/9/10;; 16; 21; 9; 1;
2025/9/11;; 22; 29; 6; 1;
2025/9/12;; 12; 30; 1; 1;
2025/9/13;; 14; 20; 3; 1;
2025/9/14;; 11; 15; 3; 1;
2025/9/15;; 12; 26; 4; 1;
2025/9/16;; 16; 16; 4; 1;
2025/9/17;; 14; 24; 2; 1;
2025/9/18;; 15; 15; 2; 1;
2025/9/19;; 18; 28; 3; 1;
2025/9/20;; 24; 28; 3; 1;
2025/9/21;; 22; 25; 1; 1;
2025/9/22;; 17; 22; 2; 1;
2025/9/23;; 20; 18; 3; ;
2025/9/24;; 20; 20; 2; ;
2025/9/25;; 23; 17; 2; 1;
2025/9/26;; 22; ; ; ;
2025/9/29;; 18; 30; 2; ;
2025/9/30;; 11; 5; 5; ;
2025/4/1;; 15; ; 1; ;
2025/4/2;; 16; ; 1; ;
2025/4/3;; 28; ; 1; ;
2025/4/4;; 27; ; 1; ;
2025/4/5;; 19; ; 2; 1;
2025/4/6;; 21; ; 4; ;
2025/4/7;; 22; ; 4; ;
2025/4/8;; 28; ; 2; ;
2025/4/9;; 18; ; 1; ;
2025/4/10;; 20; ; ; ;
2025/4/11;; 22; ; 1; ;
2025/4/12;; 15; ; 1; ;
2025/4/13;; 17; ; 1; ;
2025/4/14;; 14; ; 1; ;
2025/4/15;; 15; ; 1; ;
2025/4/16;; 8; ; 1; ;
2025/4/17;; 9; ; 1; ;
2025/4/18;; 16; ; ; ;
2025/4/20;; 9; ; 1; ;
2025/4/21;; 11; ; 1; ;
2025/4/22;; 11; ; 1; ;
2025/4/23;; 8; ; 4; ;
2025/4/24;; 13; ; 4; 1;
2025/4/25;; 20; ; 1; ;
2025/4/26;; 11; ; 1; ;
2025/4/27;; 8; ; 1; ;
2025/4/28;; 9; ; 2; ;
2025/4/29;; 13; ; 1; ;
2025/4/30;; 20; ; 1; ;
2025/5/1;; 38; ; 1; ;
2025/5/2;; 27; ; ; ;
2025/5/5;; 11; ; 1; ;
2025/5/6;; 16; ; 2; ;
2025/5/7;; 21; ; 2; 1;
2025/5/8;; 15; ; 1; 1;
2025/5/9;; 12; ; 1; ;
2025/5/10;; 16; ; 1; 1;
2025/5/11;; 17; ; 1; ;
2025/5/12;; 18; ; 1; ;
2025/5/13;; 15; ; 3; ;
2025/5/14;; 11; ; 3; ;
2025/5/15;; 7; ; 2; ;
2025/5/16;; 10; ; 2; ;
2025/5/17;; 11; ; 1; ;
2025/5/18;; 13; ; 3; ;
2025/5/19;; 20; ; 2; ;
2025/5/20;; 12; ; 2; ;
2025/5/21;; 12; ; 1; ;
2025/5/22;; 10; ; 1; ;
2025/5/23;; 13; ; 2; 1;
2025/5/24;; 13; ; ; ;
2025/5/28;; 11; ; 5; ;
2025/5/29;; 14; ; 4; ;
2025/5/30;; 14; ; 5; ;
2025/5/31;; 14; ; 3; ;
2025/6/1;; 11; ; 1; ;
2025/6/2;; 40; ; 1; ;
2025/6/3;; 24; ; 2; ;
2025/6/4;; 27; ; 4; 1;
2025/6/5;; 28; ; 2; 1;
2025/6/6;; 23; ; 2; ;
2025/6/7;; 20; ; ; ;
2025/6/9;; 17; ; 2; 1;
2025/6/10;; 18; ; 2; ;
2025/6/11;; 20; ; 1; ;
2025/6/12;; 33; ; 1; 1;
2025/6/13;; 35; ; 1; ;
2025/6/14;; 27; ; 1; 1;
2025/6/15;; 27; ; 1; 1;
2025/6/16;; 26; ; 4; 1;
2025/6/17;; 21; ; ; ;
2025/6/20;; 34; ; 7; 1;
2025/6/21;; 21; ; ; ;
2025/6/24;; 20; ; 1; 1;
2025/6/25;; 23; ; 1; 1;
2025/6/26;; 22; ; ; ;
2025/1/1;; 11; 26; 2; ;
2025/1/2;; 12; 30; 3; ;
2025/1/3;; 16; 31; 2; ;
2025/1/4;; 15; 34; 1; ;
2025/1/5;; 15; 31; 1; ;
2025/1/6;; 21; 30; 1; ;
2025/1/7;; 9; 34; 2; ;
2025/1/8;; 15; 30; 1; ;
2025/1/9;; 10; 25; 2; ;
2025/1/10;; 14; 32; ; ;
2025/1/11;; 12; 29; 1; ;
2025/1/12;; 18; 29; 3; ;
2025/1/13;; 18; 30; 1; ;
2025/1/14;; 16; 30; 3; ;
2025/1/15;; 17; 32; 2; ;
2025/1/16;; 15; 32; 1; ;
2025/1/17;; 9; 31; 1; ;
2025/1/18;; 15; 33; 2; ;
2025/1/19;; 14; 35; 2; ;
2025/1/20;; 14; 32; 3; ;
2025/1/21;; 15; 29; 3; ;
2025/1/22;; 33; 28; 6; ;
2025/1/23;; 29; 32; 4; ;
2025/1/24;; 18; 29; 3; ;
2025/1/25;; 19; 32; 1; ;
2025/1/26;; 8; 29; 1; ;
2025/1/27;; 23; 33; ; ;
2025/1/28;; 14; 34; 1; ;
2025/1/29;; 16; 32; 1; ;
2025/1/30;; 16; 28; 3; ;
2025/1/31;; 11; 29; 1; ;
2025/2/1;; 9; 28; 1; ;
2025/2/2;; 9; 11; 1; ;
2025/2/3;; 8; 32; 4; ;
2025/2/4;; 18; 31; 3; ;
2025/2/5;; 17; 32; 2; ;
2025/2/6;; 18; 39; 3; ;
2025/2/7;; 15; 37; 1; ;
2025/2/8;; 16; 33; 2; ;
2025/2/9;; 14; 33; 4; ;
2025/2/10;; 14; 36; 3; ;
2025/2/11;; 16; 34; 2; ;
2025/2/12;; 15; 30; 2; ;
2025/2/13;; 12; 29; 4; ;
2025/2/14;; 17; 38; 3; ;
2025/2/15;; 15; 33; 2; ;
2025/2/16;; 15; 38; 3; ;
2025/2/17;; 17; 38; 1; ;
2025/2/18;; 15; 36; 1; ;
2025/2/19;; 15; 36; 2; ;
2025/2/20;; 20; 38; 2; ;
2025/2/21;; 19; 35; 2; ;
2025/2/22;; 23; 31; 1; ;
2025/2/23;; 8; 35; 1; ;
2025/2/24;; 9; ; ; ;
2025/2/26;; 6; ; ; ;
2025/2/28;; 9; ; ; ;
2025/3/4;; 34; 34; ; ;
2025/3/5;; 31; 32; 1; ;
2025/3/6;; 31; 31; 3; ;
2025/3/7;; 22; 36; 1; ;
2025/3/8;; 30; 37; ; ;
2025/3/9;; 14; 32; 2; ;
2025/3/10;; 14; 38; 4; ;
2025/3/11;; 16; ; 1; ;
2025/3/12;; 9; ; 5; ;
2025/3/13;; 11; ; 2; ;
2025/3/14;; 8; ; 2; ;
2025/3/15;; 8; ; 1; ;
2025/3/16;; 10; ; 1; ;
2025/3/17;; 10; ; ; ;
2025/3/18;; 7; ; 1; ;
2025/3/19;; 18; ; 1; ;
2025/3/20;; 123; ; 1; ;
2025/3/21;; 42; ; 1; ;
2025/3/22;; 20; ; ; ;
2025/3/25;; 15; ; 3; ;
2025/3/26;; 12; ; 3; ;
2025/3/27;; 12; ; 2; ;
2025/3/28;; 11; ; 1; ;
2025/3/29;; 18; ; 2; ;
2025/3/31;; 20; ; 2; ;
2024/10/1;; 9; 38; 7; ;
2024/10/2;; 28; 35; 3; ;
2024/10/3;; 15; 34; 4; ;
2024/10/4;; 24; 33; 3; ;
2024/10/5;; 13; 27; 3; ;
2024/10/6;; 19; 37; 15; ;
2024/10/7;; 27; 36; 1; ;
2024/10/8;; 11; 35; 2; ;
2024/10/9;; 25; 32; 4; ;
2024/10/10;; 18; 34; 5; ;
2024/10/11;; 21; 35; 6; ;
2024/10/12;; 10; 32; 1; ;
2024/10/13;; 8; 31; 5; ;
2024/10/14;; 25; 30; 8; ;
2024/10/15;; 39; 36; 5; ;
2024/10/16;; 34; 35; 2; ;
2024/10/17;; 19; 34; 3; ;
2024/10/18;; 14; 31; 3; ;
2024/10/19;; 14; 32; 5; ;
2024/10/20;; 13; 32; 2; ;
2024/10/21;; 10; 34; 1; ;
2024/10/22;; 6; 32; 2; ;
2024/10/23;; 15; 31; 2; ;
2024/10/24;; 13; 30; 2; ;
2024/10/25;; 11; 28; 2; 1;
2024/10/26;; 14; 32; 1; 1;
2024/10/27;; 6; 31; 1; ;
2024/10/28;; 8; 33; ; ;
2024/10/29;; 31; 27; 5; ;
2024/10/30;; 88; 28; 1; ;
2024/10/31;; 40; 25; 1; ;
2024/11/1;; 17; 36; 1; ;
2024/11/2;; 10; 31; 1; ;
2024/11/3;; 23; 36; 2; ;
2024/11/4;; 30; 31; 3; ;
2024/11/5;; 38; 27; 3; ;
2024/11/6;; 33; 22; 3; ;
2024/11/7;; 17; 29; 2; ;
2024/11/8;; 12; 25; 1; ;
2024/11/9;; 17; 29; 1; ;
2024/11/10;; 9; 21; 1; ;
2024/11/11;; 6; 26; 2; ;
2024/11/12;; 9; 34; ; ;
2024/11/13;; 13; 31; 1; ;
2024/11/14;; 15; 33; 1; ;
2024/11/15;; 16; 32; 1; ;
2024/11/16;; 14; 31; 2; ;
2024/11/17;; 18; 26; 2; ;
2024/11/18;; 25; 27; 2; ;
2024/11/19;; 29; 28; ; ;
2024/11/20;; 18; 29; ; ;
2024/11/21;; 16; 29; 3; ;
2024/11/22;; 18; 32; 1; ;
2024/11/23;; 10; 30; 3; ;
2024/11/24;; 45; 25; 3; ;
2024/11/25;; 56; 27; 3; ;
2024/11/26;; 29; 30; 1; ;
2024/11/27;; 14; 26; 3; ;
2024/11/28;; 19; 8; 3; ;
2024/11/29;; 24; 26; 1; ;
2024/11/30;; 13; 7; 4; ;
2024/12/1;; 28; 26; 14; ;
2024/12/2;; 40; 26; 15; ;
2024/12/3;; 41; ; ; ;
2024/12/5;; 15; 25; 2; ;
2024/12/6;; 14; 32; 1; ;
2024/12/7;; 13; 32; 12; ;
2024/12/8;; 12; 24; 7; ;
2024/12/9;; 8; 24; 3; ;
2024/12/10;; 12; 24; 2; ;
2024/12/11;; 8; 28; 3; ;
2024/12/12;; 12; 28; 2; ;
2024/12/13;; 17; 26; 2; ;
2024/12/14;; 14; 26; 2; ;
2024/12/15;; 10; 25; 3; ;
2024/12/16;; 14; 29; 3; ;
2024/12/17;; 16; 27; 3; ;
2024/12/18;; 17; 32; 1; ;
2024/12/19;; 30; 33; 4; ;
2024/12/20;; 14; 30; 2; ;
2024/12/21;; 12; 29; 1; ;
2024/12/22;; 11; 34; 1; ;
2024/12/23;; 16; 30; 3; ;
2024/12/24;; 13; 28; 2; ;
2024/12/25;; 14; 28; 2; ;
2024/12/26;; 16; 26; 3; ;
2024/12/27;; 17; 29; 3; ;
2024/12/28;; 19; 31; 2; ;
2024/12/29;; 14; ; ; ;
2024/7/1;; 16; 34; 3; ;
2024/7/2;; 10; 38; 6; ;
2024/7/3;; 16; 31; 4; ;
2024/7/4;; 12; 29; 3; ;
2024/7/5;; 13; 30; 5; ;
2024/7/6;; 11; 27; ; ;
2024/7/7;; 15; 28; 2; ;
2024/7/8;; 16; 26; 2; ;
2024/7/9;; 20; 23; 5; ;
2024/7/10;; 24; 21; 5; ;
2024/7/11;; 30; 27; 2; ;
2024/7/12;; 38; 26; ; ;
2024/7/13;; 22; 26; 2; ;
2024/7/14;; 22; 34; 3; ;
2024/7/15;; 19; 31; 2; ;
2024/7/16;; 14; ; ; ;
2024/7/18;; 16; ; ; ;
2024/7/23;; 19; ; ; ;
2024/7/26;; 14; ; ; ;
2024/7/30;; 17; 41; 3; ;
2024/7/31;; 22; 41; 2; 1;
2024/8/1;; 25; 37; 6; ;
2024/8/2;; 25; ; ; ;
2024/8/5;; 19; 8; 12; ;
2024/8/6;; 14; 11; 10; ;
2024/8/7;; 13; 39; 2; ;
2024/8/8;; 15; 40; 4; ;
2024/8/9;; 21; 44; 3; ;
2024/8/10;; 21; 44; 3; ;
2024/8/11;; 16; 35; 4; ;
2024/8/12;; 18; 32; 4; ;
2024/8/13;; 35; 43; 4; ;
2024/8/14;; 37; ; ; ;
2024/8/19;; 12; ; ; ;
2024/8/23;; 20; 36; ; ;
2024/8/24;; 21; 34; 1; ;
2024/8/25;; 17; 34; 1; ;
2024/8/26;; 19; ; ; ;
2024/8/30;; 15; 37; 1; ;
2024/8/31;; 15; 38; 1; ;
2024/9/1;; 17; 41; 4; ;
2024/9/2;; 18; 35; 2; ;
2024/9/3;; 15; 40; 4; ;
2024/9/4;; 9; 31; 1; ;
2024/9/5;; 3; 31; 7; ;
2024/9/6;; 17; 38; 9; ;
2024/9/7;; 15; 30; ; ;
2024/9/8;; 16; 34; 5; ;
2024/9/9;; 10; 37; 3; ;
2024/9/10;; 11; 37; 2; ;
2024/9/11;; 14; 37; 3; ;
2024/9/12;; 8; 30; 1; ;
2024/9/13;; 16; 35; 6; ;
2024/9/14;; 14; 36; 3; ;
2024/9/15;; 8; 38; 7; ;
2024/9/16;; 11; 30; 4; ;
2024/9/17;; 15; 34; 6; ;
2024/9/18;; 8; 36; 4; ;
2024/9/19;; 9; 37; 4; ;
2024/9/20;; 8; 34; 3; ;
2024/9/21;; 10; 30; 2; ;
2024/9/22;; 8; 33; 5; ;
2024/9/23;; 15; 42; 10; ;
2024/9/24;; 30; 42; 2; ;
2024/9/25;; 19; 30; 3; ;
2024/9/26;; 25; 32; 2; ;
2024/9/27;; 13; 32; 3; ;
2024/9/28;; 11; 35; 3; ;
2024/9/29;; 11; 32; 3; ;
2024/9/30;; 10; 31; 3; ;
2024/4/1;; 7; 37; 6; ;
2024/4/2;; 8; 39; 3; ;
2024/4/3;; 12; 43; 7; ;
2024/4/4;; 14; 46; 4; ;
2024/4/5;; 17; 50; 5; ;
2024/4/6;; 34; 38; 4; ;
2024/4/7;; 43; 41; 4; ;
2024/4/8;; 47; 39; 1; ;
2024/4/9;; 18; 42; 2; ;
2024/4/10;; 12; 40; 2; ;
2024/4/11;; 14; 43; 2; ;
2024/4/12;; 16; 46; 6; ;
2024/4/13;; 14; 48; 4; ;
2024/4/14;; 21; 41; 11; ;
2024/4/15;; 29; 40; 5; ;
2024/4/16;; 25; 40; 2; ;
2024/4/17;; 16; 39; 4; ;
2024/4/18;; 17; 43; 3; ;
2024/4/19;; 17; 47; 3; ;
2024/4/20;; 12; 40; 3; ;
2024/4/21;; 16; 38; 4; ;
2024/4/22;; 12; 40; 3; ;
2024/4/23;; 9; 42; 2; ;
2024/4/24;; 9; 49; 4; ;
2024/4/25;; 10; 51; 4; ;
2024/4/26;; 10; 39; 2; ;
2024/4/27;; 20; 37; 4; ;
2024/4/28;; 6; 39; 1; ;
2024/4/29;; 4; 39; 2; ;
2024/4/30;; 4; 39; 1; ;
2024/5/1;; 7; 43; 1; ;
2024/5/2;; 9; 44; 4; ;
2024/5/3;; 9; 46; 3; ;
2024/5/4;; 12; 55; 3; ;
2024/5/5;; 10; 36; 9; ;
2024/5/6;; 16; 39; 2; ;
2024/5/7;; 8; 38; 4; ;
2024/5/8;; 10; 42; 5; ;
2024/5/9;; 10; 44; 4; ;
2024/5/10;; 11; 43; 2; ;
2024/5/11;; 7; 45; 2; ;
2024/5/12;; 7; 41; 4; ;
2024/5/13;; 10; 43; 1; ;
2024/5/14;; 17; 40; 1; ;
2024/5/15;; 12; 38; 1; ;
2024/5/16;; 13; 39; 3; ;
2024/5/17;; 22; 32; 2; ;
2024/5/18;; 14; 31; 1; ;
2024/5/19;; 9; 36; 1; ;
2024/5/20;; 12; 40; 1; ;
2024/5/21;; 19; 42; 3; ;
2024/5/22;; 15; 29; 2; ;
2024/5/23;; 15; 33; ; ;
2024/5/24;; 12; 31; 3; ;
2024/5/25;; 14; 32; 1; ;
2024/5/26;; 19; 34; 1; ;
2024/5/27;; 24; 33; 1; ;
2024/5/28;; 20; 27; 11; ;
2024/5/29;; 17; 33; 4; ;
2024/5/30;; 11; 37; 1; ;
2024/5/31;; 18; 37; 2; ;
2024/6/1;; 16; 38; ; ;
2024/6/2;; 11; 36; 1; ;
2024/6/3;; 8; 33; 1; ;
2024/6/4;; 7; 38; 1; ;
2024/6/5;; 10; 40; 2; ;
2024/6/6;; 13; 42; ; ;
2024/6/7;; 20; 39; 1; ;
2024/6/8;; 27; 39; ; ;
2024/6/9;; 22; 30; 2; ;
2024/6/10;; 24; 35; ; ;
2024/6/11;; 16; 31; 3; ;
2024/6/12;; 9; 31; 4; ;
2024/6/13;; 6; 39; 3; ;
2024/6/14;; 12; 44; 5; ;
2024/6/15;; 18; 40; 2; ;
2024/6/16;; 20; 37; 2; ;
2024/6/17;; 24; 37; 5; ;
2024/6/18;; 30; 32; 2; ;
2024/6/19;; 21; 34; 3; ;
2024/6/20;; 22; 39; 4; ;
2024/6/21;; 12; 39; 9; 1;
