date, pm25, pm10, o3, no2, so2, co
2025/11/1, 16, 8, 25, 3, 3, 
2025/11/2, 21, 10, 25, 5, 3, 
2025/11/3, 23, 12, 22, 6, 3, 
2025/11/4, 26, 8, 26, 5, 3, 
2025/11/5, 19, 7, 32, 3, 10, 
2025/11/6, 18, 6, 33, 2, 3, 
2025/11/7, 15, 4, 32, 2, 3, 
2025/11/8, 11, 5, 33, 2, 3, 
2025/11/9, 14, 8, 32, 2, 3, 
2025/11/10, 19, 7, 29, 5, 3, 
2025/11/11, 19, 10, 27, 3, 3, 
2025/11/12, 21, 6, 30, 2, 3, 
2025/11/13, 14, 8, 28, 3, , 
2025/11/14, 17, , , , , 
2025/10/1, 22, 8, 31, 2, 3, 
2025/10/2, 23, 9, 31, 5, 3, 
2025/10/3, 26, 11, 31, 3, 3, 
2025/10/4, 30, 8, 32, 2, 3, 
2025/10/5, 18, 5, 30, 2, 3, 
2025/10/6, 13, 8, 29, 2, 3, 
2025/10/7, 14, 13, 30, 3, 3, 
2025/10/8, 27, 10, 23, 3, 3, 
2025/10/9, 21, 8, 32, 3, 3, 
2025/10/10, 18, 8, 35, 2, 3, 
2025/10/11, 20, 10, 37, 2, 3, 
2025/10/12, 26, 18, 36, 3, 3, 
2025/10/13, 35, 13, 36, 5, 3, 
2025/10/14, 30, 11, 33, 4, 3, 
2025/10/15, 27, 10, 27, 4, 3, 
2025/10/16, 24, 9, 22, 4, 3, 
2025/10/17, 22, 6, 18, 3, 3, 
2025/10/18, 19, 4, 22, 3, 3, 
2025/10/19, 13, 3, 19, 2, 3, 
2025/10/20, 10, 4, 17, 2, 3, 
2025/10/21, 11, 4, 16, 3, 3, 
2025/10/22, 13, 9, 16, 2, 3, 
2025/10/23, 23, 6, 22, 2, 3, 
2025/10/24, 16, 7, 23, 2, 3, 
2025/10/25, 18, 6, 24, 3, 3, 
2025/10/26, 18, 8, 20, 4, 3, 
2025/10/27, 24, 7, 30, 3, 3, 
2025/10/28, 21, 7, 30, 2, 3, 
2025/10/29, 17, 7, 29, 3, 3, 
2025/10/30, 16, 5, 30, 5, 3, 
2025/10/31, 15, 5, 31, 5, 3, 
2025/7/1, 30, 12, 29, 2, 3, 
2025/7/2, 27, 15, 29, 2, 3, 
2025/7/3, 34, 19, 28, 2, 3, 
2025/7/4, 44, 15, 36, 2, 3, 
2025/7/5, 35, 12, 39, 2, 3, 
2025/7/6, 29, 14, 31, 2, 3, 
2025/7/7, 32, 5, 22, 2, 3, 
2025/7/8, 13, 3, 19, 2, 3, 
2025/7/9, 10, 4, 20, 2, 3, 
2025/7/10, 10, 7, 28, 2, 3, 
2025/7/11, 17, 6, 31, 2, 3, 
2025/7/12, 15, 4, 25, 2, 3, 
2025/7/13, 11, 7, 22, 2, 3, 
2025/7/14, 15, 14, 29, 3, 4, 
2025/7/15, 32, 22, 28, 6, 4, 
2025/7/16, 41, 14, 43, 7, 3, 
2025/7/17, 25, 12, 40, 2, 3, 
2025/7/18, 33, 9, 26, 2, 3, 
2025/7/19, 25, 7, 28, 2, 3, 
2025/7/20, 19, 6, 28, 2, 3, 
2025/7/21, 18, 8, 36, 2, 3, 
2025/7/22, 21, 8, 28, 2, 3, 
2025/7/23, 17, 11, 39, 2, 3, 
2025/7/24, 34, 15, 39, 2, 3, 
2025/7/25, 44, 13, 36, 2, 3, 
2025/7/26, 36, 15, 31, 3, 3, 
2025/7/27, 41, 16, 36, 5, 3, 
2025/7/28, 39, 15, 32, 4, 3, 
2025/7/29, 36, 7, 29, 12, 15, 
2025/7/30, 20, 8, 32, 2, 3, 
2025/7/31, 23, 12, 38, 2, 3, 
2025/8/1, 35, 10, 38, 2, 3, 
2025/8/2, 28, 10, 34, 2, 3, 
2025/8/3, 29, 11, 34, 2, 3, 
2025/8/4, 28, 14, 32, 2, 3, 
2025/8/5, 34, 21, 33, 4, 3, 
2025/8/6, 45, 20, 34, 5, 3, 
2025/8/7, 42, 20, 26, 6, 3, 
2025/8/8, 43, 21, 33, 6, 3, 
2025/8/9, 42, 34, 36, 3, 3, 
2025/8/10, 54, 30, 30, 5, 3, 
2025/8/11, 55, 45, 36, 3, 3, 
2025/8/12, 55, 35, 30, 2, 3, 
2025/8/13, 50, 18, 31, 2, 3, 
2025/8/14, 34, 16, 27, 2, 3, 
2025/8/15, 31, 43, 29, 2, 3, 
2025/8/16, 55, 31, 31, 2, 3, 
2025/8/17, 48, 23, 33, 2, 3, 
