date, pm10, o3, no2, so2, co
2025/11/1, 9, 29, 2, , 
2025/11/2, 12, 20, 3, , 
2025/11/3, 19, 30, 1, 1, 
2025/11/4, 11, 34, 1, 1, 
2025/11/5, 14, 29, 2, 1, 
2025/11/6, 14, 28, 3, 1, 
2025/11/7, 11, 26, 2, , 
2025/11/8, 12, 21, 2, 1, 
2025/11/9, 13, 21, 3, 1, 
2025/11/10, 14, 30, , 1, 
2025/11/11, 8, 29, 1, 1, 
2025/11/12, 14, 29, , 1, 
2025/11/13, 11, , , , 
2025/10/1, 11, 32, 3, , 
2025/10/2, 18, 31, 4, , 
2025/10/3, 21, 27, 2, , 
2025/10/4, 13, 26, 2, , 
2025/10/5, 15, 26, 1, , 
2025/10/6, 15, 27, 4, 1, 
2025/10/7, 17, 28, 4, , 
2025/10/8, 18, 29, 2, , 
2025/10/9, 16, 26, 3, , 
2025/10/10, 15, 27, 2, , 
2025/10/11, 15, 28, 2, , 
2025/10/12, 15, 27, 3, , 
2025/10/13, 14, 24, 3, , 
2025/10/14, 18, 26, 1, , 
2025/10/15, 20, 28, 1, 1, 
2025/10/16, 17, 29, 3, , 
2025/10/17, 25, 26, 4, 1, 
2025/10/18, 19, 32, 1, 1, 
2025/10/19, 19, 24, 3, 1, 
2025/10/20, 13, 25, 3, 1, 
2025/10/21, 15, 18, 3, 1, 
2025/10/22, 12, 31, 1, , 
2025/10/23, 31, 29, 3, 1, 
2025/10/24, 21, 25, 2, , 
2025/10/25, 13, 25, 2, , 
2025/10/26, 8, 27, 3, , 
2025/10/27, 11, 20, 4, 1, 
2025/10/28, 16, 26, 3, 1, 
2025/10/29, 13, 28, 2, 1, 
2025/10/30, 9, 29, , 1, 
2025/10/31, 7, 27, 2, , 
2025/7/1, 12, , 2, , 
2025/7/2, 8, , 3, , 
2025/7/3, 18, , 3, , 
2025/7/4, 18, , 3, , 
2025/7/5, 20, , 3, , 
2025/7/6, 17, , 1, , 
2025/7/7, 11, , 2, , 
2025/7/8, 15, , 2, , 
2025/7/9, 14, , 3, , 
2025/7/10, 19, , 4, 1, 
2025/7/11, 17, , 2, 1, 
2025/7/12, 17, , 2, 1, 
2025/7/13, 16, , 3, , 
2025/7/14, 13, , 3, , 
2025/7/15, 14, , 2, , 
2025/7/16, 18, , 2, , 
2025/7/17, 18, , 2, 1, 
2025/7/18, 12, , 3, 1, 
2025/7/19, 16, , 2, 1, 
2025/7/20, 13, , 2, 1, 
2025/7/21, 17, , 1, 1, 
2025/7/22, 13, , 1, 1, 
2025/7/23, 10, , 2, 1, 
2025/7/24, 12, , 2, , 
2025/7/25, 17, , 2, , 
2025/7/26, 17, , 1, , 
2025/7/27, 12, 20, 1, , 
2025/7/28, 10, 24, 1, , 
2025/7/29, 8, 15, 1, 1, 
2025/7/30, 6, 20, 1, 1, 
