date,pm25,pm10,o3,no2,so2,co
2025/11/2, 38, 18, , 14, , 
2025/11/3, 43, 20, , 17, , 
2025/11/4, 44, 13, , 5, 1, 
2025/11/5, 25, 16, , 7, 1, 
2025/11/6, 30, , , , , 
2025/10/1, 41, 27, , 17, 1, 
2025/10/2, 42, 31, , 18, 1, 
2025/10/3, 37, 20, , 8, 1, 
2025/10/4, 33, 9, , 2, 1, 
2025/10/5, 19, 18, , 11, 1, 
2025/10/6, 30, 39, , 18, 1, 
2025/10/7, 49, 33, , 11, 3, 
2025/10/8, 42, 21, , 4, , 
2025/10/9, 36, 16, , 5, , 
2025/10/10, 30, 29, , 8, , 
2025/10/11, 55, , , , , 
2025/10/13, 29, 28, , 14, 1, 
2025/10/14, 40, 37, , 15, 1, 
2025/10/15, 51, 39, , 14, 1, 
2025/10/16, 44, 48, , 17, 1, 
2025/10/17, 55, 35, , 15, 1, 
2025/10/18, 48, 25, , 7, 1, 
2025/10/19, 34, 11, , 4, , 
2025/10/20, 18, 7, , , , 
2025/10/21, 10, 9, , 4, , 
2025/10/22, 15, 10, , 3, 1, 
2025/10/23, 15, 12, , 10, , 
2025/10/24, 33, 5, , 7, 1, 
2025/10/25, 26, 6, , 4, , 
2025/10/26, 23, 19, , 14, , 
2025/10/27, 42, 23, , 16, 1, 
2025/10/28, 52, 10, , 9, 1, 
2025/10/29, 24, 9, , 8, 1, 
2025/10/30, 25, 8, , 5, , 
2025/10/31, 21, , , , , 
2025/7/1, 41, 32, , 6, 1, 
2025/7/2, 53, 19, , 3, 1, 
2025/7/3, 28, 21, , 5, , 
2025/7/4, 34, 15, , 3, 1, 
2025/7/5, 22, 18, , 2, 1, 
2025/7/6, 29, 10, , 2, 1, 
2025/7/7, 16, 11, , 3, 1, 
2025/7/8, 14, 21, , 6, 1, 
2025/7/9, 27, 21, , 10, 1, 
2025/7/10, 34, 21, , 4, 2, 
2025/7/11, 33, 12, , 2, 1, 
2025/7/12, 17, 15, , 2, 1, 
2025/7/13, 17, 19, , 4, 1, 
2025/7/14, 36, 14, , 3, 1, 
2025/7/15, 23, 22, , 10, 2, 
2025/7/16, 35, 28, , 8, 1, 
2025/7/17, 40, 20, , 3, 1, 
2025/7/18, 30, 10, , 1, 1, 
2025/7/19, 17, 15, , 1, 1, 
2025/7/20, 19, 14, , 4, 1, 
2025/7/21, 11, 23, , 6, 1, 
2025/7/22, 24, 17, , 2, , 
2025/7/23, 18, 13, , 1, 1, 
2025/7/25, 14, 15, , 1, 1, 
2025/7/26, 29, 17, , 3, 1, 
2025/7/27, 37, 18, , 1, 1, 
2025/7/28, 27, 13, , 1, 1, 
2025/7/29, 13, 12, , 3, 1, 
2025/7/30, 14, 14, , 3, 1, 
2025/7/31, 15, 17, , 3, 1, 
2025/8/1, 27, 15, , 1, 1, 
2025/8/2, 21, 15, , 1, 1, 
2025/8/3, 24, 26, , 13, , 
2025/8/4, 34, 34, , 6, 1, 
2025/8/5, 50, 27, , 9, 1, 
2025/8/6, 31, 49, , 16, 1, 
2025/8/7, 53, 52, , 11, 1, 
2025/8/8, 63, 43, , 4, 2, 
2025/8/9, 58, 31, , 4, 1, 
2025/8/10, 42, 45, , 8, 1, 
2025/8/11, 61, 45, , 8, 1, 
2025/8/12, 56, 33, , 9, 1, 
2025/8/13, 55, 32, , 6, 1, 
2025/8/14, 46, 32, , 6, 1, 
2025/8/15, 46, 43, , 12, , 
2025/8/16, 65, 53, , 7, , 
2025/8/17, 77, 67, , 8, 2, 
2025/8/18, 126, 28, , 4, 1, 
2025/8/19, 57, 12, , 3, 1, 
2025/8/20, 19, 16, , 3, 1, 
2025/8/21, 20, 15, , 3, 1, 
2025/8/22, 17, 20, , 6, 1, 
2025/8/23, 35, 29, , 7, 1, 
2025/8/24, 45, 33, , 13, 1, 
2025/8/25, 50, 45, , 9, 1, 
2025/8/26, 63, 25, , 5, 2, 
2025/8/27, 34, 20, , 5, 1, 
2025/8/28, 19, 25, , 5, 1, 
2025/8/29, 34, 14, , 4, 1, 
2025/8/30, 14, 15, , 3, 1, 
2025/8/31, 15, 14, , 5, 1, 
2025/9/1, 9, 14, , 5, 1, 
2025/9/2, 14, 16, , 6, 1, 
2025/9/3, 12, 25, , 8, 1, 
2025/9/4, 22, 25, , 9, 1, 
2025/9/5, 29, 35, , 9, 1, 
2025/9/6, 34, 23, , 6, 1, 
2025/9/7, 35, 13, , 4, 1, 
2025/9/8, 16, 13, , 6, 1, 
2025/9/9, 12, 13, , 4, 1, 
2025/9/10, 9, 12, , 3, 1, 
2025/9/11, 11, 16, , 5, 1, 
2025/9/12, 12, 20, , 7, 1, 
2025/9/13, 23, 16, , 6, 1, 
2025/9/14, 23, 25, , 11, 1, 
2025/9/15, 29, 19, , 5, 1, 
2025/9/16, 26, 41, , 21, 2, 
2025/9/17, 55, 51, , 20, 1, 
2025/9/18, 56, 45, , 13, 1, 
2025/9/19, 56, 27, , 6, 1, 
2025/9/20, 49, 9, , 2, 1, 
2025/9/21, 21, 6, , 5, 1, 
2025/9/22, 14, 11, , 6, 1, 
2025/9/23, 23, 12, , 6, 1, 
2025/9/24, 25, 16, , 12, 1, 
2025/9/25, 33, 29, , 15, 1, 
2025/9/26, 36, 24, , 11, 1, 
2025/9/27, 37, 24, , 7, 2, 
2025/9/28, 44, 16, , 4, 1, 
2025/9/29, 32, 17, , 8, 1, 
2025/9/30, 33, 21, , 9, 2, 
2025/4/1, 36, 22, , 6, 3, 
2025/4/2, 38, 5, , 4, 2, 
2025/4/3, 11, 9, , 3, 2, 
2025/4/4, 16, 6, , 5, 2, 
2025/4/5, 15, 13, , 7, 2, 
2025/4/6, 36, 20, , 10, 2, 
2025/4/7, 33, 27, , 11, 2, 
2025/4/8, 41, 31, , 10, 3, 
2025/4/9, 61, 30, , 6, 3, 
2025/4/10, 38, 19, , 6, 3, 
2025/4/11, 38, 11, , 4, 3, 
2025/4/12, 28, 8, , 4, 3, 
2025/4/13, 15, 11, , 4, 3, 
2025/4/14, 18, 8, , 4, 3, 
2025/4/15, 9, 7, , 5, 2, 
2025/4/16, 16, 7, , 4, 2, 
2025/4/17, 19, 5, , 1, 3, 
2025/4/18, 11, 7, , 2, 3, 
2025/4/19, 14, 4, , , 4, 
2025/4/20, 27, 5, , 5, 3, 
2025/4/21, 9, 9, , 5, 3, 
2025/4/22, 21, 10, , 6, , 
2025/4/23, 34, 18, , 7, 4, 
2025/4/24, 27, 21, , 7, 4, 
2025/4/25, 26, 7, , 2, 3, 
2025/4/26, 18, 8, , 2, 3, 
2025/4/27, 21, 21, , 6, 2, 
2025/4/28, 46, , , , , 
2025/5/6, 18, 14, , 6, 3, 
2025/5/7, 24, 17, , 6, 4, 
2025/5/8, 33, 16, , 5, 4, 
2025/5/9, 33, 9, , 3, 4, 
2025/5/10, 22, , , , , 
2025/5/12, 26, 5, , 2, 5, 
2025/5/13, 11, 9, , 5, 3, 
2025/5/14, 14, 10, , 4, , 
2025/5/15, 18, 12, , 5, , 
2025/5/16, 25, 13, , 5, , 
2025/5/17, 29, 15, , 3, 1, 
2025/5/18, 20, 13, , 4, , 
2025/5/19, 13, 11, , 5, , 
2025/5/20, 21, 15, , 6, , 
2025/5/21, 22, 17, , 3, , 
