date,pm25,pm10,o3,no2,so2,co
2025/11/1, 10, 13, 30, 4, 2, 
2025/11/2, 23, 12, 26, 9, 3, 
2025/11/3, 32, 12, 30, 5, 2, 
2025/11/4, 28, 10, 33, 1, 1, 
2025/11/5, 23, 9, 29, 1, 1, 
2025/11/6, 21, , , , , 
2025/10/1, 27, 17, 35, 12, 2, 
2025/10/2, 27, 24, 42, 7, 2, 
2025/10/3, 28, 15, 22, 3, 2, 
2025/10/4, 23, 13, 30, , 2, 
2025/10/5, 17, 16, 28, 4, 2, 
2025/10/6, 21, 23, 36, 3, 1, 
2025/10/7, 25, 27, 34, 2, 1, 
2025/10/8, 37, 23, 34, , 2, 
2025/10/9, 34, 20, 31, 2, 2, 
2025/10/10, 32, 19, 32, 2, 1, 
2025/10/11, 32, 13, 35, , 1, 
2025/10/12, 21, 24, 35, 4, 1, 
2025/10/13, 24, 32, 32, 9, 2, 
2025/10/14, 33, 23, 35, 7, 3, 
2025/10/15, 28, 36, 31, 11, 3, 
2025/10/16, 70, 27, 35, 6, 1, 
2025/10/17, 30, 19, 34, 2, 1, 
2025/10/18, 32, 23, 34, , 1, 
2025/10/19, 31, 13, 26, , 1, 
2025/10/20, 16, 12, 20, , 1, 
2025/10/21, 13, 14, 24, , 1, 
2025/10/22, 15, 13, 31, , 2, 
2025/10/23, 25, 10, 20, , 1, 
2025/10/24, 18, 9, 27, 2, 1, 
2025/10/25, 14, 7, 27, , 1, 
2025/10/26, 17, 9, 29, 7, 1, 
2025/10/27, 20, 12, 23, 4, 1, 
2025/10/28, 25, 8, 27, 1, 1, 
2025/10/29, 14, 8, 27, 1, 2, 
2025/10/30, 18, 7, 30, , 2, 
2025/10/31, 14, 5, 28, , 1, 
2025/7/1, 30, 28, , 7, 2, 
2025/7/2, 37, 20, , 3, 1, 
2025/7/3, 22, 23, , 5, 1, 
2025/7/4, 28, 17, , 3, 3, 
2025/7/5, 18, 7, , 6, 4, 
2025/7/6, 12, 11, , 2, 1, 
2025/7/7, 15, 13, , 2, 2, 
2025/7/8, 5, 19, , 3, 1, 
2025/7/10, 38, 18, , 2, 1, 
2025/7/11, 23, 10, , 1, 1, 
2025/7/12, 12, 12, , 1, 1, 
2025/7/13, 26, 13, , 3, 2, 
