date,pm25,pm10,o3,no2,so2,co
2025/11/1, 27, 12, 29, 3, , 
2025/11/2, 32, 12, 25, 8, , 
2025/11/3, 23, 13, 33, 9, , 
2025/11/4, 27, 11, 32, 11, , 
2025/11/5, 23, 11, 36, 4, , 
2025/11/6, 17, 7, 20, 3, , 
2025/11/7, 13, , , , , 
2025/10/1, 34, 13, 40, 5, , 
2025/10/2, 28, 17, 40, 7, , 
2025/10/3, 32, 22, 47, 7, , 
2025/10/4, 45, 16, 33, 2, , 
2025/10/5, 35, 11, 29, 6, , 
2025/10/6, 19, 15, 38, 7, , 
2025/10/7, 23, 21, 48, 5, , 
2025/10/8, 35, 19, 37, 7, , 
2025/10/9, 42, 12, 39, 3, , 
2025/10/10, 29, 12, 37, 3, , 
2025/10/11, 21, 11, 34, 4, , 
2025/10/12, 25, 14, 38, 7, , 
2025/10/13, 29, 12, 32, 7, , 
2025/10/14, 35, 16, 33, 6, , 
2025/10/15, 35, 18, 37, 5, , 
2025/10/16, 43, 17, 37, 9, , 
2025/10/17, 43, 17, 33, 8, , 
2025/10/18, 42, 14, 36, 2, , 
2025/10/19, 39, 14, 35, 7, , 
2025/10/20, 27, 11, 29, 11, , 
2025/10/21, 21, 10, 31, 8, , 
2025/10/22, 17, 16, 35, 5, , 
2025/10/23, 15, 20, 33, 11, , 
2025/10/24, 22, 18, 34, 7, , 
2025/10/25, 33, 12, 26, 5, , 
2025/10/26, 30, 9, 25, 9, , 
2025/10/27, 17, 11, 33, 10, 1, 
2025/10/28, 20, 12, 33, 13, , 
2025/10/29, 26, 10, 24, 6, , 
2025/10/30, 25, 12, 26, 8, , 
2025/10/31, 25, 13, 34, 8, 1, 
2025/7/1, 44, 20, 45, 6, , 
2025/7/2, 34, 22, 38, 5, , 
2025/7/3, 43, 26, 46, 6, , 
2025/7/4, 51, 22, 59, 5, , 
2025/7/5, 43, 22, 51, 3, , 
2025/7/6, 46, 16, 43, 3, , 
2025/7/7, 37, 14, 34, 2, , 
2025/7/8, 24, 16, 40, 4, , 
2025/7/9, 23, 25, 43, 3, , 
2025/7/10, 28, 21, 41, 3, , 
2025/7/11, 34, 16, 39, 3, , 
2025/7/12, 34, 11, 51, 2, , 
2025/7/13, 23, 12, 50, 3, , 
2025/7/14, 22, 16, 43, 6, , 
2025/7/15, 31, 19, 43, 4, , 
2025/7/16, 44, 20, 37, 5, , 
2025/7/17, 44, 24, 46, 4, , 
