date, pm25, pm10, o3, no2, so2, co
2025/11/3, 13, 15, 31, 4, 1, 
2025/11/4, 41, 19, 26, 8, 2, 
2025/11/5, 54, 8, 26, 10, 5, 
2025/11/6, 25, , 24, 4, , 
2025/10/2, 70, 26, 32, 8, 1, 
2025/10/3, 78, 29, 36, 9, 3, 
2025/10/4, 78, 11, 26, 3, 1, 
2025/10/5, 29, 13, 27, 8, 1, 
2025/10/6, 30, 21, 29, 9, 2, 
2025/10/7, 59, 35, 1, 16, 3, 
2025/10/8, 98, 12, 24, 5, 1, 
2025/10/9, 40, 14, 19, 8, , 
2025/10/10, 51, 11, 33, 3, , 
2025/10/11, 39, 9, 27, 6, , 
2025/10/12, 34, 17, 23, 10, 1, 
2025/10/13, 51, 18, 35, 8, 1, 
2025/10/14, 54, 17, 32, 6, 1, 
2025/10/15, 53, 28, 33, 7, 2, 
2025/10/16, 80, 24, 33, 6, 1, 
2025/10/17, 71, 14, 31, 5, 1, 
2025/10/18, 44, 15, 31, 4, 1, 
2025/10/19, 49, 22, 20, 10, 5, 
2025/10/20, 50, 10, 20, 9, 3, 
2025/10/21, 22, 7, 21, 5, 1, 
2025/10/22, 17, 13, 26, 3, , 
2025/10/23, 25, 18, 30, 8, 2, 
2025/10/24, 38, 14, 27, 5, 1, 
2025/10/25, 41, 8, 20, 4, , 
2025/10/26, 25, 9, 23, 5, 2, 
2025/10/27, 24, 14, 29, 9, 2, 
2025/10/28, 38, 20, 24, 10, 2, 
2025/10/29, 61, 18, 4, 13, 2, 
2025/10/30, 62, 17, 19, 9, 2, 
2025/10/31, 47, , , 14, 3, 
2025/7/1, 53, 22, 55, 9, 3, 
2025/7/2, 54, 16, 38, 4, 2, 
2025/7/3, 47, 16, 49, 5, 2, 
2025/7/4, 49, 22, 46, 6, 2, 
2025/7/5, 58, 11, 48, 5, 2, 
2025/7/6, 31, 14, 33, 4, 1, 
2025/7/7, 39, 24, 40, 2, , 
2025/7/8, 58, 19, 25, 1, , 
2025/7/9, 56, , , , , 
2025/7/16, 75, , , , , 
2025/7/22, 58, 23, 34, 6, 2, 
2025/7/23, 61, 16, 29, 4, , 
2025/7/24, 35, 10, 37, 4, , 
2025/7/25, 27, 14, 40, 7, 2, 
2025/7/26, 41, 13, 44, 5, 1, 
2025/7/27, 42, 17, 30, 7, 2, 
2025/7/28, 36, 14, 37, 4, , 
2025/7/29, 39, 16, 37, 5, 1, 
2025/7/30, 45, 17, 42, 5, 1, 
2025/7/31, 49, 15, 37, 5, 1, 
2025/8/1, 45, 18, 47, 5, 2, 
2025/8/2, 53, 15, 35, 5, 1, 
2025/8/3, 49, 16, 40, 4, , 
2025/8/4, 48, 17, 43, 5, 2, 
2025/8/5, 47, 16, 44, 6, 2, 
2025/8/6, 46, 20, 46, 6, 2, 
2025/8/7, 57, 14, 15, 6, , 
2025/8/8, 52, , , , , 
2025/8/11, 63, 28, 23, 7, , 
2025/8/12, 68, 26, 47, 5, 1, 
2025/8/13, 68, 23, 43, 6, , 
2025/8/14, 57, 21, 53, 5, , 
2025/8/15, 62, 24, 57, 6, 1, 
2025/8/16, 61, 31, 59, 5, 1, 
2025/8/17, 72, 34, 46, 4, 1, 
2025/8/18, 84, 23, 47, 3, , 
2025/8/19, 62, 26, 30, 3, , 
2025/8/20, 70, 9, 35, 2, , 
2025/8/21, 30, 13, 41, 4, , 
2025/8/22, 44, 13, 39, 3, , 
2025/8/23, 43, 18, 42, 3, 1, 
2025/8/24, 57, 21, 40, 4, , 
2025/8/25, 62, 25, 43, 5, 2, 
2025/8/26, 62, 28, 41, 5, , 
2025/8/27, 67, 34, 37, 5, , 
2025/8/28, 76, 19, 48, 3, , 
2025/8/29, 49, , , , , 
2025/9/2, 21, 14, 45, 4, , 
2025/9/3, 32, 18, 45, 9, 2, 
2025/9/4, 49, 14, 10, 7, , 
2025/9/5, 46, , 17, 3, , 
2025/9/10, 47, 14, 33, 8, 3, 
2025/9/11, 35, 13, 40, 5, 1, 
2025/9/12, 35, 15, 38, 5, 1, 
2025/9/13, 48, 17, 31, 5, 1, 
2025/9/14, 52, 17, 34, 4, 1, 
2025/9/15, 51, 15, 32, 4, 2, 
2025/9/16, 47, 13, 32, 4, 1, 
2025/9/17, 40, 16, 32, 5, 1, 
2025/9/18, 48, 22, 32, 6, 1, 
2025/9/19, 61, , , , , 
2025/9/22, 17, 8, 35, 5, 1, 
2025/9/23, 15, 9, 35, 4, 1, 
2025/9/24, 16, 10, 37, 6, 2, 
2025/9/25, 18, 13, 41, 7, 2, 
2025/9/26, 34, 19, 19, 8, 2, 
2025/9/27, 61, 19, 42, 6, 2, 
2025/9/28, 52, 7, 32, 3, , 
2025/9/29, 26, , , , , 
2025/4/1, 29, 10, 39, 9, 1, 
2025/4/2, 29, 10, 40, 2, , 
2025/4/3, 31, 10, 38, 3, , 
2025/4/4, 31, 11, 36, 7, 2, 
2025/4/5, 33, 13, 22, 2, , 
2025/4/6, 39, 8, 40, 4, , 
2025/4/7, 24, 18, 43, 7, 1, 
2025/4/8, 51, 37, 44, 6, 1, 
2025/4/9, 100, 27, 41, 6, 1, 
2025/4/10, 73, 29, 40, 7, , 
2025/4/11, 76, 36, 37, 7, 1, 
2025/4/12, 91, 39, 40, 5, 1, 
2025/4/13, 104, 30, 40, 5, 1, 
2025/4/14, 82, 11, 35, 5, , 
2025/4/15, 41, 7, 38, 6, 1, 
2025/4/16, 16, 11, 42, 6, 1, 
2025/4/17, 27, 18, 40, 7, 3, 
2025/4/18, 52, 15, 37, 6, 1, 
2025/4/19, 44, 9, 35, 5, 1, 
2025/4/20, 21, 10, 36, 5, 1, 
2025/4/21, 29, 19, 31, 10, 2, 
2025/4/22, 60, 12, 40, 5, , 
2025/4/23, 38, 18, 39, 7, 3, 
2025/4/24, 51, 24, 40, 7, 1, 
2025/4/25, 68, 22, 35, 5, 1, 
2025/4/26, 64, 11, 38, 4, 1, 
2025/4/27, 31, 11, 33, 7, 1, 
2025/4/28, 30, 15, , , , 
2025/4/29, 45, 16, 37, 1, , 
2025/4/30, 47, 22, 42, 4, 1, 
2025/5/1, 61, 31, 40, 3, , 
2025/5/2, 76, 35, 43, 5, 1, 
2025/5/3, 83, 15, 37, 4, 1, 
2025/5/4, 36, 7, 37, 5, 1, 
2025/5/5, 18, 7, 45, 2, , 
2025/5/6, 18, 12, 41, 3, 1, 
2025/5/7, 34, 21, 42, 7, 1, 
2025/5/8, 60, 23, 43, 7, 1, 
2025/5/9, 68, 20, 37, 6, 1, 
2025/5/10, 60, 15, 41, 3, , 
2025/5/11, 50, 13, 40, 5, , 
2025/5/12, 41, 19, 42, 9, 3, 
2025/5/13, 57, 19, 41, 6, 1, 
2025/5/14, 59, 14, 19, 6, , 
2025/5/15, 49, 10, 43, 3, , 
2025/5/16, 30, 20, 44, 5, 2, 
2025/5/17, 57, 25, 46, 5, 1, 
2025/5/18, 72, 19, 48, 6, 2, 
2025/5/19, 49, 15, 45, 6, 3, 
2025/5/20, 35, 14, 48, 5, 1, 
2025/5/21, 39, 14, 40, 6, 1, 
2025/5/22, 35, 13, 41, 4, 1, 
