date,pm25,pm10,o3,no2,so2,co
2025/11/1, 28, 4, 30, 1, 2, 
2025/11/2, 16, 6, 29, 2, 1, 
2025/11/3, 18, 6, 32, 2, , 
2025/11/4, 22, 11, 31, 2, 1, 
2025/11/5, 38, 6, 29, 1, , 
2025/11/6, 27, , , , , 
2025/10/1, 34, 11, 38, 2, 1, 
2025/10/2, 41, 13, 41, 3, 1, 
2025/10/3, 49, 15, 46, 2, 1, 
2025/10/4, 52, 10, 29, 2, 2, 
2025/10/5, 32, 8, 28, 1, 1, 
2025/10/6, 27, 8, 32, 1, 1, 
2025/10/7, 29, 12, 32, 2, 1, 
2025/10/8, 46, 10, 21, 1, 1, 
2025/10/9, 39, 8, 26, 1, 1, 
2025/10/10, 31, 6, 26, 1, 1, 
2025/10/11, 25, 9, 31, 1, 1, 
2025/10/12, 35, 12, 28, 1, 1, 
2025/10/13, 42, 14, 31, 2, 1, 
2025/10/14, 49, 13, 33, 2, 1, 
2025/10/15, 45, 12, 35, 2, 1, 
2025/10/16, 46, 13, 35, 2, 1, 
2025/10/17, 48, 7, 34, 1, 1, 
2025/10/18, 26, 8, 33, 1, 2, 
2025/10/19, 31, 8, 26, 2, 2, 
2025/10/20, 29, 4, 22, 1, 2, 
2025/10/21, 14, 3, 26, 1, 1, 
2025/10/22, 11, 4, 25, 1, 1, 
2025/10/23, 12, 5, 26, 2, 1, 
2025/10/24, 16, 7, 27, 2, 1, 
2025/10/25, 26, 9, 21, 1, 1, 
2025/10/26, 33, 6, 24, 2, 2, 
2025/10/27, 22, 8, 30, 2, 1, 
2025/10/28, 28, 7, 33, 1, 1, 
2025/10/29, 28, 4, 28, 1, 1, 
2025/10/30, 14, 7, 27, 3, 1, 
2025/10/31, 29, 7, 29, 2, 1, 
2025/7/1, 17, 6, , 4, 1, 
2025/7/2, 21, 5, , 3, , 
2025/7/3, 17, 5, , 3, 1, 
2025/7/4, 17, 6, , 2, 1, 
2025/7/5, 19, 4, , 1, 1, 
