date,pm25,pm10,o3,no2,so2,co
2025/11/1, 66, 27, 12, 7, 2, 1
2025/11/2, 66, 31, 10, 10, 2, 1
2025/11/3, 68, 21, 28, 11, 3, 1
2025/11/4, 68, 16, 19, 12, 3, 1
2025/11/5, 68, 23, 21, 11, 3, 1
2025/11/6, 69, 37, 4, 12, 3, 2
2025/11/7, 78, , , , , 
2025/10/1, 52, 36, 35, 12, 1, 1
2025/10/2, 61, 21, 19, 9, 1, 1
2025/10/3, 58, , 19, 5, 1, 1
2025/10/6, 57, 26, 27, 14, 1, 1
2025/10/7, 52, 24, 25, 8, 1, 1
2025/10/8, 61, 16, 25, 5, 1, 1
2025/10/9, 57, 25, 26, 8, 1, 1
2025/10/10, 65, 19, 29, 9, 1, 1
2025/10/11, 56, 18, 27, 11, 2, 1
2025/10/12, 58, 30, 27, 14, 2, 1
2025/10/13, 53, 25, 29, 13, 2, 1
2025/10/14, 58, 40, 28, 13, 2, 1
2025/10/15, 63, 35, 28, 14, 2, 1
2025/10/16, 66, 38, 27, 14, 2, 1
2025/10/17, 67, 35, 31, 11, 2, 1
2025/10/18, 64, 26, 12, 8, 2, 1
2025/10/19, 71, 19, 20, 9, 2, 1
2025/10/20, 60, 15, 11, 11, 2, 1
2025/10/21, 57, 15, 16, 5, 2, 1
2025/10/22, 58, 39, 23, 11, 2, 1
2025/10/23, 64, 29, 14, 9, 2, 1
2025/10/24, 60, 18, 18, 7, 2, 1
2025/10/25, 50, 13, 22, 5, 2, 1
2025/10/26, 53, 24, 9, 10, 2, 1
2025/10/27, 61, 12, 2, 9, 2, 1
2025/10/28, 48, 12, 12, 11, 3, 1
2025/10/29, 56, 20, 24, 9, 3, 1
2025/10/30, 62, 15, 17, 16, 3, 1
2025/10/31, 66, 22, 15, 8, 2, 1
2025/7/1, 79, 23, 23, 2, , 1
2025/7/2, 59, 30, 24, 5, , 1
2025/7/3, 61, 28, 31, 5, , 1
2025/7/4, 70, 27, 33, 2, , 1
2025/7/5, 69, 23, 33, 1, , 1
2025/7/6, 67, 19, 23, 3, , 1
2025/7/7, 55, 24, 29, 4, , 1
2025/7/8, 68, 40, 42, 5, , 1
2025/7/9, 69, 50, 32, 6, , 1
2025/7/10, 74, 28, 23, 4, , 1
2025/7/11, 63, 26, 29, 2, , 1
2025/7/12, 64, 21, 21, 1, , 1
2025/7/13, 61, 26, 29, 3, , 1
2025/7/14, 61, 26, 28, 5, , 1
2025/7/15, 64, 36, 42, 6, , 1
2025/7/16, 73, 37, 29, 4, , 1
2025/7/17, 74, 33, 26, 3, , 1
2025/7/18, 68, 27, 24, 2, , 1
2025/7/19, 64, 23, 26, 3, 1, 1
2025/7/20, 57, 20, 29, 5, , 1
2025/7/21, 59, 22, 20, 6, , 1
2025/7/22, 56, 27, 28, 5, , 1
2025/7/23, 65, 22, 24, 4, 1, 1
2025/7/24, 58, 23, 30, 3, , 1
2025/7/25, 63, 24, 32, 3, , 1
2025/7/26, 70, 26, 26, 2, , 1
2025/7/27, 78, 21, 20, 4, , 2
2025/7/28, 58, 29, 25, 5, , 2
2025/7/29, 74, 27, 24, 4, , 2
2025/7/30, 67, 27, 26, 5, , 2
2025/7/31, 60, 27, 25, 5, 1, 2
2025/8/1, 67, 22, 28, 3, 1, 2
2025/8/2, 62, 27, 31, 2, 1, 2
2025/8/3, 69, 43, 49, 7, 1, 2
2025/8/4, 72, 44, 30, 4, , 3
2025/8/5, 89, 47, 49, 7, 1, 3
2025/8/6, 88, 50, 42, 7, 1, 3
2025/8/7, 81, 41, 41, 6, 1, 3
2025/8/8, 75, 33, 30, 3, 1, 3
2025/8/9, 72, 41, 47, 3, 1, 3
2025/8/10, 75, 48, 42, 11, 1, 3
2025/8/11, 74, 47, 44, 12, 1, 3
2025/8/12, 75, 52, 42, 8, 1, 4
2025/8/13, 85, 41, 52, 7, 1, 4
2025/8/14, 87, 63, 58, 6, 1, 6
2025/8/15, 125, 61, 48, 6, 1, 7
2025/8/16, 113, 55, 53, 4, 1, 6
2025/8/17, 118, 38, 29, 5, 1, 4
2025/8/18, 80, 26, 30, 4, 1, 4
2025/8/19, 67, 28, 29, 5, 1, 4
2025/8/20, 63, 29, 34, 5, 1, 4
2025/8/21, 62, 42, 37, 6, 1, 4
2025/8/22, 94, 50, 45, 5, 1, 5
2025/8/23, 114, 35, 44, 5, 1, 4
2025/8/24, 80, 42, 44, 8, 1, 4
2025/8/25, 77, 32, 24, 6, 1, 4
2025/8/26, 68, 32, 25, 5, 1, 3
2025/8/27, 60, 32, 29, 4, 1, 3
2025/8/28, 56, 27, 22, 4, 1, 3
2025/8/29, 64, 25, 22, 3, 1, 3
2025/8/30, 57, 20, 26, 3, 1, 4
2025/8/31, 51, 20, 20, 6, 1, 3
2025/9/1, 56, 30, 23, 7, 1, 3
2025/9/2, 64, 30, 23, 7, 1, 4
2025/9/3, 63, 28, 24, 7, 1, 3
2025/9/4, 62, 27, 32, 7, 1, 4
2025/9/5, 54, 31, 38, 8, 1, 4
2025/9/6, 63, 25, 26, 4, 1, 4
2025/9/7, 58, 27, 26, 5, , 3
2025/9/8, 53, 27, 22, 6, 1, 3
2025/9/9, 44, 21, 22, 6, 1, 4
2025/9/10, 50, 28, 12, 7, 1, 3
2025/9/11, 52, 22, 27, 5, 1, 3
2025/9/12, 48, 22, 23, 4, 1, 4
2025/9/13, 49, 15, 17, 3, , 4
2025/9/14, 44, 19, 23, 5, , 4
2025/9/15, 42, 24, 31, 8, 1, 3
2025/9/16, 54, 30, 42, 12, 1, 1
2025/9/17, 57, 39, 42, 14, 1, 1
2025/9/18, 64, 48, 48, 14, 1, 2
2025/9/19, 89, 32, 27, 8, 1, 1
2025/9/20, 67, 24, 29, 3, 1, 1
2025/9/21, 51, 29, 26, 6, 1, 1
2025/9/22, 60, 29, 29, 6, 1, 1
2025/9/23, 52, 36, 31, 7, 1, 1
2025/9/24, 60, 30, 31, 9, 1, 1
2025/9/25, 47, 33, 43, 11, 1, 1
2025/9/26, 50, 30, 23, 9, 2, 1
2025/9/27, 55, 29, 27, 3, 1, 1
2025/9/28, 56, 24, 26, 7, 1, 1
2025/9/29, 50, 27, 28, 9, 1, 1
2025/9/30, 51, 24, 25, 11, 1, 1
2025/4/1, 73, 39, 29, 9, , 1
2025/4/2, 73, 20, 3, 4, , 1
2025/4/3, 63, 18, 32, 6, , 1
2025/4/4, 60, 20, 31, 7, , 1
2025/4/5, 59, 23, 34, 5, , 1
2025/4/6, 63, 22, 31, 7, , 1
2025/4/7, 60, 29, 34, 9, , 1
2025/4/8, 65, 34, 38, 11, 1, 1
2025/4/9, 70, 39, 34, 11, , 1
2025/4/10, 67, 35, 21, 9, , 1
2025/4/11, 67, 27, 18, 7, , 1
2025/4/12, 69, 22, 35, 3, , 1
2025/4/13, 64, 21, 27, 6, , 1
2025/4/14, 59, 17, 28, 7, , 1
2025/4/15, 56, 21, 30, 10, , 2
2025/4/16, 62, 20, 19, 5, , 2
2025/4/17, 58, 17, 24, 4, , 1
2025/4/18, 55, 18, 24, 5, , 1
2025/4/19, 60, 23, 26, 4, , 1
2025/4/20, 60, 26, 32, 8, , 1
2025/4/21, 62, 27, 32, 7, , 1
2025/4/22, 58, 22, 25, 5, , 1
2025/4/23, 61, 28, 28, 7, , 4
2025/4/24, 58, 31, 22, 7, , 5
2025/4/25, 65, 20, 33, 4, , 5
2025/4/26, 54, 19, 36, 5, , 8
2025/4/27, 58, 20, 39, 7, 1, 11
2025/4/28, 50, 33, 35, 11, 1, 5
2025/4/29, 62, 35, 27, 13, , 1
2025/4/30, 69, 17, 35, 4, , 1
2025/5/1, 59, 18, 12, 8, , 10
2025/5/2, 62, 19, 24, 7, , 8
2025/5/3, 58, 14, 28, 3, , 8
2025/5/4, 54, 25, 29, 6, , 6
