date, pm25, pm10, o3, no2, so2, co
2025/11/1, 22, 3, 30, , , 
2025/11/2, 26, 2, 31, 2, , 
2025/11/3, 11, 5, 31, 4, , 
2025/11/4, 15, 5, 28, 1, , 
2025/11/5, 15, 2, 31, , , 
2025/11/6, 30, , , , , 
2025/10/1, 20, 8, 43, , , 
2025/10/2, 13, 8, 47, 2, , 
2025/10/3, 12, 5, 41, 1, , 
2025/10/4, 13, 3, 30, , , 
2025/10/5, 12, 4, 42, 1, , 
2025/10/6, 17, 9, 47, 2, , 
2025/10/7, 35, 10, 44, 1, , 
2025/10/8, 33, 7, 34, , , 
2025/10/9, 20, 4, 34, , , 
2025/10/10, 33, 6, 34, , , 
2025/10/11, 21, 8, 35, , , 
2025/10/12, 18, 13, 36, , , 
2025/10/13, 31, 12, 38, 1, , 
2025/10/14, 29, 8, 37, 1, , 
2025/10/15, 26, 8, 40, 1, , 
2025/10/16, 27, 9, 34, 1, , 
2025/10/17, 26, 10, 40, 1, , 
2025/10/18, 31, 10, 35, 1, , 
2025/10/19, 22, 5, 31, 1, , 
2025/10/20, 37, 2, 24, 1, , 
2025/10/21, 28, 2, 27, , , 
2025/10/22, 24, 2, 37, , , 
2025/10/23, 20, 3, 32, 1, , 
2025/10/24, 16, 2, 28, , , 
2025/10/25, 18, 2, 28, , , 
2025/10/26, 31, 3, 27, 3, , 
2025/10/27, 26, 4, 35, 3, , 
2025/10/28, 19, 3, 25, 2, , 
2025/10/29, 22, 4, 21, 3, , 
2025/10/30, 26, 6, 24, 4, , 
2025/10/31, 33, 5, 26, 3, , 
2025/7/1, 39, 12, , 1, 1, 
2025/7/2, 43, 13, , 1, 1, 
2025/7/3, 48, 12, , 1, 1, 
2025/7/4, 38, 10, , 1, 1, 
2025/7/5, 33, 6, , 1, 1, 
2025/7/6, 26, 7, , 1, 1, 
2025/7/7, 26, 5, , , 1, 
2025/7/8, 23, 14, , 1, 1, 
2025/7/9, 46, 9, , 1, 1, 
2025/7/10, 30, 11, , 1, 1, 
2025/7/11, 34, 7, , 1, 1, 
2025/7/12, 16, 8, , 1, 1, 
2025/7/13, 31, 8, , 1, 1, 
