date,pm25,pm10,o3,no2,so2,co
2025/11/1, 39, 12, 31, 6, , 
2025/11/2, 26, 20, 20, 9, , 
2025/11/3, 28, 23, 31, 10, , 
2025/11/4, 37, 25, 32, 10, , 
2025/11/5, 41, 18, 30, 7, , 
2025/11/6, 27, 8, 24, 6, 1, 
2025/11/7, 13, , , , , 
2025/10/1, 32, 28, 24, 10, 1, 
2025/10/2, 53, 23, 43, 5, 1, 
2025/10/3, 45, 22, 48, 7, 2, 
2025/10/4, 48, 23, 33, 5, 1, 
2025/10/5, 49, 18, 27, 3, 1, 
2025/10/6, 39, 20, 34, 5, 2, 
2025/10/7, 41, 21, 33, 7, 1, 
2025/10/8, 46, 15, 28, 5, , 
2025/10/9, 33, 10, 19, 6, , 
2025/10/10, 23, 9, 33, 3, , 
2025/10/11, 22, 16, 36, 3, , 
2025/10/12, 33, 25, 32, 6, , 
2025/10/13, 47, 36, 36, 7, 2, 
2025/10/14, 57, 33, 37, 6, , 
2025/10/15, 56, 25, 35, 8, , 
2025/10/16, 51, 27, 31, 8, , 
2025/10/17, 60, 16, 37, 6, , 
2025/10/18, 42, 16, 36, 5, , 
2025/10/19, 39, 28, 28, 8, , 
2025/10/20, 52, 24, 26, 9, , 
2025/10/21, 31, 21, 25, 8, , 
2025/10/22, 24, 20, 22, 7, , 
2025/10/23, 21, 25, 29, 10, , 
2025/10/24, 30, 23, 31, 8, , 
2025/10/25, 41, 21, 28, 5, , 
2025/10/26, 45, 12, 27, 5, , 
2025/10/27, 24, 17, 28, 8, , 
2025/10/28, 29, 18, 33, 8, 1, 
2025/10/29, 39, 11, 30, 7, , 
2025/10/30, 17, 22, 27, 11, , 
2025/10/31, 38, 17, 29, 8, , 
2025/7/1, 48, 30, 46, 5, 1, 
2025/7/2, 45, 24, 41, 4, 1, 
2025/7/3, 39, 23, 44, 3, 1, 
2025/7/4, 43, 24, 43, 3, 1, 
2025/7/5, 50, 28, 50, 3, 1, 
2025/7/6, 55, 34, 49, 3, 1, 
2025/7/7, 59, 37, 36, 3, 1, 
2025/7/8, 72, 23, 33, 1, 1, 
2025/7/9, 47, 29, 39, 2, 1, 
2025/7/10, 53, 28, 45, 2, 1, 
2025/7/11, 53, 27, 41, 1, 1, 
2025/7/12, 43, 19, 41, 1, 1, 
2025/7/13, 37, 37, 40, 3, 1, 
2025/7/14, 53, 40, 46, 3, 1, 
2025/7/15, 52, 32, 46, 3, 1, 
2025/7/16, 42, 47, 43, 4, 1, 
2025/7/17, 48, 64, 54, 6, 2, 
2025/7/18, 68, 36, 42, 2, 2, 
2025/7/19, 46, 27, 43, 4, 1, 
2025/7/20, 33, 29, 44, 4, 2, 
2025/7/21, 34, 24, 35, 3, 1, 
2025/7/22, 42, 29, 36, 3, 1, 
2025/7/23, 48, 24, 35, 2, , 
2025/7/24, 41, 13, 41, 3, , 
2025/7/25, 22, 16, 49, 3, , 
2025/7/26, 32, 12, 48, 2, , 
2025/7/27, 24, 20, 47, 4, , 
2025/7/28, 36, 22, 37, 3, , 
2025/7/29, 42, 26, 42, 3, , 
2025/7/30, 47, 20, 43, 3, , 
2025/7/31, 40, 19, 40, 4, , 
2025/8/1, 36, 19, 43, 3, , 
2025/8/2, 38, 13, 40, 2, , 
2025/8/3, 30, 19, 44, 3, , 
2025/8/4, 37, 28, 57, 5, , 
2025/8/5, 39, 22, 48, 4, , 
2025/8/6, 36, 26, 50, 4, , 
2025/8/7, 48, 30, 46, 4, 1, 
2025/8/8, 60, 36, 58, 4, , 
2025/8/9, 75, 27, 50, 2, 1, 
2025/8/10, 54, 39, 62, 8, 1, 
2025/8/11, 55, 51, 66, 9, 1, 
