date,pm25,pm10,o3,no2,so2,co
2025/11/1, 12, 2, 36, 1, , 
2025/11/2, 6, 8, 34, 2, , 
2025/11/3, 13, 10, 34, 1, , 
2025/11/4, 23, 10, 35, 1, , 
2025/11/5, 23, 5, 35, 1, , 
2025/11/6, 11, 4, 31, 1, 1, 
2025/11/7, 9, , , , , 
2025/10/1, 15, 12, 40, 2, , 
2025/10/2, 28, 11, 44, 2, , 
2025/10/3, 27, 12, 48, 1, , 
2025/10/4, 29, 11, 39, 1, , 
2025/10/5, 27, 7, 27, 1, , 
2025/10/6, 19, 9, 31, 1, , 
2025/10/7, 22, 14, 31, 2, , 
2025/10/8, 36, 11, 31, 2, , 
2025/10/9, 32, 4, 30, 1, , 
2025/10/10, 10, 5, 34, 1, , 
2025/10/11, 13, 11, 36, 1, , 
2025/10/12, 24, 17, 33, 1, , 
2025/10/13, 34, 27, 32, 1, , 
2025/10/14, 47, 27, 35, 1, , 
2025/10/15, 51, 21, 34, 2, , 
2025/10/16, 48, 14, 36, 2, , 
2025/10/17, 39, 11, 37, 1, , 
2025/10/18, 30, 8, 36, 1, , 
2025/10/19, 23, 9, 29, 1, , 
2025/10/20, 16, 4, 25, 1, , 
2025/10/21, 6, 4, 30, 1, , 
2025/10/22, 7, 4, 27, 1, , 
2025/10/23, 8, 7, 30, 1, , 
2025/10/24, 11, 6, 29, 1, , 
2025/10/25, 9, 7, 21, 1, , 
2025/10/26, 13, 4, 27, 1, , 
2025/10/27, 7, 6, 31, 2, , 
2025/10/28, 11, 8, 31, 2, , 
2025/10/29, 22, 4, 29, 1, , 
2025/10/30, 6, 6, 31, 1, , 
2025/10/31, 11, 5, 32, 1, , 
2025/7/1, 37, 20, 45, 2, 1, 
2025/7/2, 39, 16, 42, 2, 1, 
2025/7/3, 31, 17, 41, 2, 1, 
2025/7/4, 35, 16, 44, 1, 1, 
2025/7/5, 33, 14, 45, 1, 1, 
2025/7/6, 34, 23, 44, 1, 1, 
2025/7/7, 46, 32, 41, 1, 1, 
2025/7/8, 72, 19, 35, 1, 1, 
2025/7/9, 46, 21, 39, 1, 1, 
2025/7/10, 45, 20, 41, 1, , 
2025/7/11, 44, 15, 38, 1, 1, 
2025/7/12, 27, 14, 40, 1, 1, 
2025/7/13, 29, 22, 43, 1, 1, 
2025/7/14, 35, 33, 45, 1, , 
2025/7/15, 45, 26, 45, 1, 1, 
2025/7/16, 38, 27, 47, 1, 1, 
2025/7/17, 39, 32, 51, 1, 1, 
2025/7/18, 45, 16, 39, 1, 1, 
2025/7/19, 22, 13, 39, 1, 1, 
2025/7/20, 19, 14, 38, 1, , 
2025/7/21, 20, 14, 39, 1, 1, 
2025/7/22, 26, 20, 39, 1, 1, 
2025/7/23, 36, 17, 35, 1, 1, 
2025/7/24, 33, 5, 39, 1, 1, 
2025/7/25, 14, 9, 47, 2, 1, 
2025/7/26, 24, 8, 48, 2, 1, 
2025/7/27, 22, 13, 52, 2, 1, 
2025/7/28, 29, 14, 37, 1, 1, 
2025/7/29, 32, 15, 40, 1, 1, 
2025/7/30, 36, 13, 44, 1, 1, 
2025/7/31, 30, 11, 45, 2, 1, 
2025/8/1, 26, 11, 43, 1, 1, 
