date, pm25, pm10, o3, no2, so2, co
2025/11/1, 48, 13, 28, 9, , 
2025/11/2, 36, 13, 28, 11, , 
2025/11/3, 21, 16, 28, 10, , 
2025/11/4, 31, 18, 54, 11, , 
2025/11/5, 45, 18, 29, 10, , 
2025/11/6, 30, 10, 9, 10, , 
2025/11/7, 16, , , , , 
2025/10/1, 29, 17, 37, 11, 1, 
2025/10/2, 40, 16, 42, 7, 1, 
2025/10/3, 41, 22, 38, 10, 1, 
2025/10/4, 55, 24, 33, 5, 2, 
2025/10/5, 50, 26, 34, 1, 1, 
2025/10/6, 51, 20, 29, 7, 1, 
2025/10/7, 35, 18, 35, 8, , 
2025/10/8, 34, 17, 27, 10, , 
2025/10/9, 37, 10, 34, 5, , 
2025/10/10, 22, 10, 37, 4, , 
2025/10/11, 21, 16, 39, 2, , 
2025/10/12, 36, 26, 37, 4, , 
2025/10/13, 53, 32, 36, 6, 1, 
2025/10/14, 57, 27, 35, 9, 2, 
2025/10/15, 53, 22, 37, 9, , 
2025/10/16, 51, 22, 38, 9, , 
2025/10/17, 53, 17, 37, 7, , 
2025/10/18, 42, 13, 34, 10, , 
2025/10/19, 35, 16, 35, 8, , 
2025/10/20, 35, 23, 33, 12, 1, 
2025/10/21, 42, 19, 27, 9, 1, 
2025/10/22, 35, 23, 28, 6, 1, 
2025/10/23, 45, 19, 27, 12, 1, 
2025/10/24, 35, 29, 22, 11, 1, 
2025/10/25, 60, 19, 30, 6, 1, 
2025/10/26, 43, 10, 30, 7, 1, 
2025/10/27, 20, 15, 28, 11, 1, 
2025/10/28, 30, 15, 34, 14, 1, 
2025/10/29, 33, 9, 29, 8, 1, 
2025/10/30, 17, 18, 28, 13, , 
2025/10/31, 43, 18, 30, 8, , 
2025/7/1, 54, 28, 31, 6, , 
2025/7/2, 47, 19, 36, 5, , 
2025/7/3, 36, 22, 36, 4, , 
2025/7/4, 48, 28, 37, 5, , 
2025/7/5, 56, 28, 48, 3, , 
2025/7/6, 61, 30, 38, 6, , 
2025/7/7, 65, 31, 31, 5, , 
2025/7/8, 61, 28, 30, 3, , 
2025/7/9, 54, 26, 29, 5, , 
2025/7/10, 51, 28, 35, 4, , 
2025/7/11, 59, 32, 31, 2, , 
2025/7/12, 57, 27, 34, 2, , 
2025/7/13, 54, 31, 32, 2, , 
2025/7/14, 57, 29, 34, 5, , 
2025/7/15, 53, 22, 32, 5, , 
2025/7/16, 42, 23, 30, 16, , 
2025/7/17, 47, 52, 46, 6, , 
2025/7/18, 85, 39, 37, 4, , 
2025/7/19, 68, 28, 37, 5, , 
2025/7/20, 54, 31, 33, 11, , 
2025/7/21, 53, 25, 30, 3, , 
2025/7/22, 50, 29, 27, 4, , 
2025/7/23, 58, 31, 28, 2, 1, 
2025/7/24, 57, 17, 36, 2, , 
2025/7/25, 34, 15, 34, 6, 1, 
2025/7/26, 33, 12, 44, 5, , 
2025/7/27, 29, 20, 42, 4, 1, 
2025/7/28, 36, 21, 37, 2, , 
2025/7/29, 45, 23, 38, 4, , 
2025/7/30, 45, 18, 38, 2, 1, 
2025/7/31, 41, 18, 34, 4, 1, 
2025/8/1, 36, 18, 35, 4, 1, 
2025/8/2, 38, 14, 33, 1, , 
2025/8/3, 35, 19, 38, 3, 1, 
2025/8/4, 42, 22, 37, 8, 1, 
2025/8/5, 36, 20, 36, 9, 4, 
2025/8/6, 35, 24, 42, 6, 1, 
2025/8/7, 53, 31, 43, 3, 1, 
2025/8/8, 71, 33, 47, 3, , 
2025/8/9, 75, 22, 39, 5, 1, 
2025/8/10, 53, 22, 38, 7, 1, 
2025/8/11, 53, 36, 39, 9, 1, 
2025/8/12, 72, 27, 37, 12, 1, 
2025/8/13, 48, 25, 46, 7, 1, 
2025/8/14, 52, 27, 52, 7, 1, 
2025/8/15, 58, 27, 46, 10, 1, 
2025/8/16, 62, 32, 45, 6, 1, 
2025/8/17, 69, 25, 46, 12, 1, 
2025/8/18, 54, 44, 46, 6, 2, 
2025/8/19, 83, 62, 42, 12, 2, 
2025/8/20, 114, 43, 42, 6, 2, 
2025/8/21, 77, 47, 48, 5, 2, 
2025/8/22, 89, 20, 42, 4, 1, 
2025/8/23, 47, 22, 45, 3, 2, 
2025/8/24, 54, 40, 40, 3, 1, 
2025/8/25, 77, 50, 40, 3, 1, 
2025/8/26, 91, 50, 46, 8, 1, 
2025/8/27, 83, 65, 36, 9, 1, 
2025/8/28, 100, 33, 44, 8, 1, 
2025/8/29, 42, 26, 47, 9, 1, 
2025/8/30, 42, 23, 43, 8, 1, 
2025/8/31, 44, 31, 38, 10, 1, 
2025/9/1, 41, 26, 45, 9, 1, 
2025/9/2, 26, 21, 42, 9, 1, 
2025/9/3, 25, 21, 45, 8, 1, 
2025/9/4, 29, 25, 34, 6, 1, 
2025/9/5, 34, 24, 34, 1, 1, 
2025/9/6, 46, 36, 32, 4, 1, 
2025/9/7, 63, 48, 28, 10, 1, 
2025/9/8, 78, 51, 42, 9, 1, 
2025/9/9, 78, 29, 43, 9, 1, 
2025/9/10, 51, 21, 34, 10, 1, 
2025/9/11, 36, 34, 29, 13, 1, 
2025/9/12, 37, 26, 39, 6, 1, 
2025/9/13, 42, 20, 41, 4, 1, 
2025/9/14, 44, 19, 35, 3, 1, 
2025/9/15, 39, 24, 29, 5, 1, 
2025/9/16, 40, 18, 28, 5, 1, 
2025/9/17, 37, 24, 31, 6, 1, 
2025/9/18, 39, 19, 34, 4, 1, 
2025/9/19, 42, 16, 32, 2, 1, 
2025/9/20, 35, 23, 31, 7, 1, 
