date,pm25,pm10,o3,no2,so2,co
2025/11/1, 15, 9, 27, , , 
2025/11/2, 13, 13, 31, 1, , 
2025/11/3, 19, 26, 29, 2, , 
2025/11/4, 46, 17, 26, 1, , 
2025/11/5, 35, 8, 27, 1, , 
2025/11/6, 16, 12, 26, 1, , 
2025/11/7, 24, 6, 28, , , 
2025/11/8, 11, 7, 25, 1, , 
2025/11/9, 20, 11, 23, 1, , 
2025/11/10, 28, 16, 25, 2, , 
2025/11/11, 37, 23, 31, 1, , 
2025/11/12, 44, 26, 31, 2, , 
2025/11/13, 32, , , , , 
2025/10/1, 17, 23, 40, 1, , 
2025/10/2, 24, 22, 39, 2, , 
2025/10/3, 32, 18, 33, 1, , 
2025/10/4, 27, 9, 29, , , 
2025/10/5, 11, 16, 33, 1, , 
2025/10/6, 39, 32, 40, 1, , 
2025/10/7, 31, 20, 38, 1, , 
2025/10/8, 33, 14, 32, , , 
2025/10/9, 25, 14, 31, , , 
2025/10/10, 19, 18, 34, 1, , 
2025/10/11, 36, 19, 34, 1, , 
2025/10/12, 33, 21, 34, 1, , 
2025/10/13, 36, 20, 33, 1, , 
2025/10/14, 44, 21, 34, 1, , 
2025/10/15, 42, 35, 29, 2, , 
2025/10/16, 57, 38, 33, 2, , 
2025/10/17, 60, 33, 31, 2, , 
2025/10/18, 72, 21, 24, 1, , 
2025/10/19, 44, 11, 28, 1, , 
2025/10/20, 27, 9, 27, 1, , 
2025/10/21, 19, 10, 24, 1, , 
2025/10/22, 15, 15, 33, , , 
2025/10/23, 15, 21, 31, 1, , 
2025/10/24, 32, 19, 22, 1, , 
2025/10/25, 42, 7, 30, , , 
2025/10/26, 12, 10, 30, , , 
2025/10/27, 15, 18, 27, 1, , 
2025/10/28, 25, 16, 20, 1, , 
2025/10/29, 37, 9, 28, 1, , 
2025/10/30, 22, 13, 28, 1, , 
2025/10/31, 22, 11, 25, , , 
2025/7/1, 50, 59, 40, 3, 1, 
2025/7/2, 98, 15, 40, , , 
2025/7/3, 22, 21, 50, 1, 1, 
2025/7/4, 34, 19, 45, , , 
2025/7/5, 53, 18, 41, , , 
2025/7/8, 22, 22, 46, , 1, 
2025/7/9, 27, 27, 51, , 1, 
2025/7/10, 34, 27, 43, , 1, 
2025/7/11, 37, 14, 40, , , 
2025/7/12, 27, 15, 44, , 1, 
2025/7/13, 22, 16, 42, , 5, 
2025/7/14, 34, 10, 30, , 1, 
2025/7/15, 12, 18, 35, , , 
2025/7/16, 28, 22, 45, 1, , 
2025/7/17, 21, 21, 37, , , 
2025/7/18, 40, 11, 31, , , 
2025/7/19, 16, 17, 31, , , 
2025/7/20, 15, 16, 32, , , 
2025/7/21, 24, 21, 39, , , 
2025/7/22, 27, 13, 30, , , 
2025/7/23, 16, 11, 31, , , 
2025/7/24, 15, 14, 32, , , 
2025/7/25, 27, 17, 34, , , 
2025/7/26, 41, 13, 29, , , 
2025/7/27, 34, 11, 31, , , 
2025/7/28, 13, 13, 35, , , 
2025/7/29, 24, 11, 26, , , 
2025/7/30, 13, 12, 29, , , 
2025/7/31, 14, 12, 33, , , 
2025/8/1, 16, 11, 34, , , 
2025/8/2, 13, 13, 38, , , 
2025/8/3, 22, 26, 47, 1, , 
2025/8/4, 31, 20, 43, 1, , 
2025/8/5, 42, 23, 40, 1, , 
2025/8/6, 32, 42, 49, 1, , 
2025/8/7, 46, 41, 52, 1, , 
2025/8/8, 51, 38, 50, 1, , 
2025/8/9, 52, 31, 50, 1, , 
2025/8/10, 42, 53, 51, 1, , 
2025/8/11, 57, 52, 49, 1, , 
2025/8/12, 63, 34, 45, 1, , 
2025/8/13, 47, 38, 57, 2, , 
2025/8/14, 53, 41, 57, 1, , 
2025/8/15, 59, 46, 60, 1, 1, 
2025/8/16, 72, 48, 54, 1, 1, 
2025/8/17, 76, 20, 32, 1, , 
2025/8/18, 43, 14, 29, 1, , 
2025/8/19, 27, 11, 32, , , 
2025/8/20, 18, 15, 38, 1, , 
2025/8/21, 31, 15, 36, , , 
2025/8/22, 29, 17, 40, , , 
2025/8/23, 30, 25, 46, 1, , 
2025/8/24, 45, 35, 36, 1, , 
2025/8/25, 50, 37, 41, 1, , 
2025/8/26, 62, 22, 36, 1, , 
2025/8/27, 46, 13, 34, , , 
2025/8/28, 25, 16, 33, 1, , 
2025/8/29, 25, 15, 31, 1, , 
2025/8/30, 19, 17, 33, 1, , 
2025/8/31, 19, 10, 29, , , 
2025/9/1, 15, 13, 25, 1, , 
2025/9/2, 18, 20, 36, 1, , 
2025/9/3, 20, 18, 33, , , 
2025/9/4, 29, 19, 36, , , 
2025/9/5, 18, 23, 35, , , 
2025/9/6, 21, 23, 32, 1, , 
2025/9/7, 31, 11, 29, , , 
2025/9/8, 16, 11, 31, , , 
2025/9/9, 13, 16, 29, 1, , 
2025/9/10, 22, 14, 33, , , 
2025/9/11, 18, 11, 28, , , 
2025/9/12, 15, 14, 31, , , 
2025/9/13, 27, 14, 31, , , 
2025/9/14, 28, 16, 31, , , 
2025/9/15, 21, 13, 34, , , 
2025/9/16, 20, 28, 44, 1, , 
2025/9/17, 31, 41, 44, 2, , 
2025/9/18, 39, 29, 37, 1, , 
2025/9/19, 24, 20, 35, 1, , 
2025/9/20, 26, 6, 29, , , 
2025/9/21, 15, 6, 32, , , 
2025/9/22, 12, 9, 32, , , 
2025/9/23, 13, 11, 29, 1, , 
2025/9/24, 16, 10, 33, 1, , 
2025/9/25, 19, 17, 38, 1, , 
2025/9/26, 23, 20, 41, 1, , 
2025/9/27, 31, 27, 37, 1, , 
2025/9/28, 36, 16, 35, , , 
2025/9/29, 26, 14, 34, , , 
2025/9/30, 24, 12, 35, , , 
2025/4/1, 51, 20, 34, 1, 1, 
2025/4/2, 37, 10, 32, , 1, 
2025/4/3, 29, 19, 40, 1, , 
2025/4/4, 40, 9, 34, , 1, 
2025/4/5, 18, 8, 37, , 1, 
2025/4/6, 14, 14, 42, , 1, 
2025/4/7, 30, 22, 41, 1, 1, 
2025/4/8, 39, 24, 37, 1, 1, 
2025/4/9, 48, , 37, 1, 1, 
2025/4/10, 46, 23, 35, 1, 1, 
2025/4/11, 45, 17, 31, 1, 1, 
2025/4/12, 28, 9, 35, , 1, 
2025/4/13, 17, 10, 32, , 1, 
2025/4/14, 18, 10, 33, , 1, 
2025/4/15, 16, 9, 33, , 1, 
2025/4/16, 12, 9, 38, , 1, 
2025/4/17, 20, 12, 29, , 1, 
2025/4/18, 16, 8, 33, , 1, 
2025/4/19, 13, 7, 30, , 1, 
2025/4/20, 13, 9, 30, , 1, 
2025/4/21, 20, 8, 37, , , 
2025/4/22, 14, 11, 33, , 1, 
2025/4/23, 18, 12, 26, , 1, 
2025/4/24, 20, 19, 35, , 1, 
2025/4/25, 25, 8, 32, , , 
2025/4/26, 14, 9, 38, , , 
2025/4/27, 17, 16, 29, , 7, 
2025/4/28, 34, 18, 41, 1, 1, 
2025/4/29, 22, 22, 39, , 1, 
2025/4/30, 31, 23, 41, , 1, 
2025/5/1, 31, 21, 32, 1, 1, 
2025/5/2, 38, 17, 35, 1, , 
2025/5/3, 31, 9, 31, , , 
2025/5/4, 17, 13, 36, , 1, 
2025/5/5, 23, 13, 36, , 1, 
2025/5/6, 26, 14, 38, , 1, 
2025/5/7, 30, 18, 36, 1, 1, 
2025/5/8, 34, 19, 33, 1, 1, 
2025/5/9, 44, 12, 30, 1, , 
2025/5/10, 27, 9, 29, , , 
2025/5/11, 17, 9, 37, , , 
2025/5/12, 19, 9, 27, , , 
2025/5/13, 14, 13, 36, , , 
2025/5/14, 23, 11, 32, , 1, 
2025/5/15, 17, 20, 41, , , 
2025/5/16, 34, 18, 45, , 1, 
2025/5/17, 36, 22, 40, 1, , 
2025/5/18, 32, 17, 30, 1, , 
2025/5/19, 25, 15, 37, , , 
2025/5/20, 30, 16, 35, , , 
2025/5/21, 30, 12, 41, , , 
2025/5/22, 21, 14, 39, 1, , 
2025/5/23, 23, 12, 42, 1, , 
2025/5/24, 24, 14, 40, 1, , 
2025/5/25, 21, 13, 32, , , 
2025/5/26, 23, 12, 39, , , 
2025/5/27, 19, 17, 36, , , 
2025/5/28, 24, 19, 29, 1, , 
2025/5/29, 29, 32, 44, 1, , 
2025/5/30, 33, 30, 45, 1, , 
2025/5/31, 35, 29, 31, 1, , 
2025/6/1, 45, 13, 17, 1, , 
2025/6/2, 31, 19, 26, 1, , 
2025/6/3, 39, 14, 29, 1, , 
2025/6/4, 18, 13, 42, 1, , 
2025/6/5, 19, 19, 39, 1, , 
2025/6/6, 36, 14, 30, , , 
2025/6/7, 20, 15, 38, 1, , 
2025/6/8, 38, 30, 43, 1, 1, 
2025/6/9, 60, 45, 39, 1, 1, 
2025/6/10, 54, 38, 47, 1, 1, 
2025/6/11, 35, 20, 41, 1, 1, 
2025/6/12, 30, 41, 48, 1, 1, 
2025/6/13, 56, 35, 43, 1, 1, 
2025/6/14, 52, 10, 31, 1, 1, 
2025/6/15, 10, 18, 34, 1, 1, 
2025/6/16, 17, 26, 42, 1, 1, 
2025/6/17, 32, 30, 60, 1, 1, 
2025/6/18, 28, 38, 46, 1, 1, 
2025/6/19, 41, 32, 42, 1, , 
2025/6/20, 46, 40, 49, 1, , 
2025/6/21, 51, 31, 44, 1, , 
2025/6/22, 44, 42, 50, 2, 1, 
2025/6/23, 50, 47, 56, 1, 1, 
2025/6/24, 56, 30, 47, 1, 1, 
2025/6/25, 42, 21, 40, 1, 1, 
2025/6/26, 34, 18, 43, 1, 1, 
2025/6/27, 27, 20, 46, 1, 1, 
2025/6/28, 31, 20, 44, 1, 1, 
2025/6/29, 26, 31, 47, , 1, 
2025/6/30, 39, 43, 52, 1, 1, 
2025/1/1, 52, 8, 10, 2, , 
2025/1/2, 57, 13, 20, 3, , 
2025/1/3, 52, 12, 22, 1, , 
2025/1/4, 54, 13, 26, 1, , 
2025/1/5, 41, 9, 29, , , 
2025/1/6, 26, 9, 22, 1, , 
2025/1/7, 23, 7, 28, 1, , 
2025/1/8, 26, 7, 26, , , 
2025/1/9, 26, 9, 26, 1, , 
2025/1/10, 29, 11, 31, , , 
2025/1/11, 24, 7, 32, , , 
2025/1/12, 14, 10, 29, , 1, 
2025/1/13, 25, 11, 28, 1, , 
2025/1/14, 39, 10, 30, 1, , 
2025/1/15, 32, 16, 26, 1, , 
2025/1/16, 35, 26, 27, 3, , 
2025/1/17, 65, 15, 28, 2, , 
2025/1/18, 62, 17, 23, 2, , 
2025/1/19, 56, 22, 20, 4, , 
2025/1/20, 65, 19, 18, 3, , 
2025/1/21, 60, 15, 25, 2, , 
2025/1/22, 56, 10, 25, 1, , 
2025/1/23, 29, 15, 29, 2, , 
2025/1/24, 64, 8, 30, , , 
2025/1/25, 21, 8, 24, , , 
2025/1/26, 19, 7, 32, , , 
2025/1/27, 6, 7, 31, , , 
2025/1/28, 11, 8, 28, 1, , 
2025/1/29, 17, 8, 32, , , 
2025/1/30, 19, 12, 32, , , 
2025/1/31, 15, 8, 30, , , 
2025/2/1, 17, 7, 35, , , 
2025/2/2, 14, 6, 33, 1, , 
2025/2/3, 15, 12, 27, 2, , 
2025/2/4, 38, 11, 31, 1, , 
2025/2/5, 29, 20, 30, 2, , 
2025/2/6, 44, 28, 27, 3, , 
2025/2/7, 69, 6, 32, , , 
2025/2/8, 17, 11, 23, 1, , 
2025/2/9, 30, 15, 18, 3, , 
2025/2/10, 46, 16, 27, 2, , 
2025/2/11, 51, 13, 27, 1, , 
2025/2/12, 34, 10, 27, 1, , 
2025/2/13, 21, 10, 29, 1, , 
2025/2/14, 26, 16, 23, 1, , 
2025/2/15, 35, 16, 21, 2, , 
2025/2/16, 53, 15, 28, 1, 1, 
2025/2/17, 44, 34, 26, 3, 1, 
2025/2/18, 69, 35, 25, 3, , 
2025/2/19, 67, 33, 16, 4, , 
2025/2/20, 83, 26, 27, 3, , 
2025/2/21, 67, 13, 34, 1, , 
2025/2/22, 33, 9, 34, , , 
2025/2/23, 18, 17, 24, 2, , 
2025/2/24, 39, 8, 34, 1, , 
2025/2/25, 18, 7, 35, , , 
2025/2/26, 14, 14, 26, 1, , 
2025/2/27, 43, 15, 29, 1, , 
2025/2/28, 44, 9, 31, , , 
2025/3/1, 22, 7, 31, 1, , 
2025/3/2, 32, 12, 25, 1, , 
2025/3/3, 52, 20, 29, 2, , 
2025/3/4, 48, 26, 33, 1, , 
2025/3/5, 38, 20, 28, 1, , 
2025/3/6, 36, 17, 30, 1, , 
2025/3/7, 36, 12, 35, , 1, 
2025/3/8, 21, 6, 32, , , 
2025/3/9, 12, 7, 30, , 1, 
2025/3/10, 16, 9, 29, , , 
2025/3/11, 20, 7, 30, , 1, 
2025/3/12, 10, 10, 29, , , 
2025/3/13, 17, 9, 35, , 1, 
2025/3/14, 20, 10, 34, , , 
2025/3/15, 29, 10, 34, , , 
2025/3/16, 28, 14, 33, 1, , 
2025/3/17, 32, 13, 27, 1, , 
2025/3/18, 36, 8, 30, , , 
2025/3/19, 19, 31, 34, , , 
2025/3/20, 40, 25, 34, , 1, 
2025/3/21, 54, 6, 34, , 1, 
2025/3/24, 7, 8, 31, , , 
2025/3/25, 20, 11, 32, , , 
2025/3/26, 26, 15, 31, 1, , 
2025/3/27, 33, 18, 37, 1, , 
2025/3/28, 28, 16, 37, , , 
2025/3/29, 18, 12, 36, , 1, 
2025/3/30, 17, 13, 36, , 1, 
2025/3/31, 22, 22, 39, 1, 1, 
2024/10/1, 31, 4, 25, 1, , 
2024/10/2, 20, 5, 34, , , 
2024/10/3, 13, 5, 33, , , 
2024/10/4, 14, 9, 30, 1, , 
2024/10/5, 21, 13, 23, 1, , 
2024/10/6, 37, 25, 28, 1, , 
2024/10/7, 45, 5, 26, , , 
2024/10/8, 13, 9, 35, , , 
2024/10/9, 12, 5, 32, , , 
2024/10/10, 9, 9, 32, 1, , 
2024/10/11, 16, 7, 27, 1, , 
2024/10/12, 22, 10, 25, 1, , 
2024/10/13, 39, 11, 21, 2, , 
2024/10/14, 28, 19, 30, 1, , 
2024/10/15, 36, 19, 29, 1, , 
2024/10/16, 32, 7, 34, 1, , 
2024/10/17, 18, 7, 34, , , 
2024/10/18, 16, 7, 30, , , 
2024/10/19, 19, 5, 27, , , 
2024/10/20, 21, 9, 33, 1, , 
2024/10/21, 20, 4, 31, , , 
2024/10/22, 9, 10, 29, 1, , 
2024/10/23, 20, 20, 30, 1, , 
2024/10/24, 36, 9, 30, 1, , 
2024/10/25, 29, 5, 30, , , 
2024/10/26, 11, 5, 30, , , 
2024/10/27, 14, 7, 23, 1, , 
2024/10/28, 17, 12, 22, 1, , 
2024/10/29, 21, 19, 35, 1, , 
2024/10/30, 35, 19, 26, 2, , 
2024/10/31, 32, 13, 29, 1, , 
2024/11/1, 36, 16, 22, 1, , 
2024/11/2, 40, 16, 30, , , 
2024/11/3, 35, 13, 32, 1, , 
2024/11/4, 32, 24, 30, 1, , 
2024/11/5, 45, 20, 30, 2, , 
2024/11/6, 38, 17, 30, 2, , 
2024/11/7, 52, 15, 29, 2, , 
2024/11/8, 49, 13, 39, 1, , 
2024/11/9, 33, 8, 39, , , 
2024/11/10, 14, 6, 37, , , 
2024/11/11, 11, 7, 35, , , 
2024/11/12, 13, 8, 32, 1, , 
2024/11/13, 20, 12, 38, 2, , 
2024/11/14, 32, 15, 25, 2, , 
2024/11/15, 57, 24, 32, 1, , 
2024/11/16, 50, 27, 30, , , 
2024/11/17, 48, 16, 32, 1, , 
2024/11/18, 43, 26, 25, 3, , 
2024/11/19, 50, 13, 22, 1, , 
2024/11/20, 28, 10, 25, 1, , 
2024/11/21, 15, 7, 28, , , 
2024/11/22, 18, 10, 20, 1, , 
2024/11/23, 29, 13, 27, 1, , 
2024/11/24, 36, 33, 25, , , 
2024/11/25, 46, 10, 22, 1, , 
2024/11/26, 30, 15, 21, 2, , 
2024/11/27, 51, 18, 14, 4, , 
2024/11/28, 69, 17, 14, 4, , 
2024/11/29, 79, 31, 15, 4, , 
2024/11/30, 67, 10, 4, 5, , 
2024/12/1, 54, 10, 19, 3, , 
2024/12/2, 55, 4, 26, , , 
2024/12/3, 17, 2, 27, , , 
2024/12/4, 14, 6, 23, 1, , 
2024/12/5, 30, 6, 18, 1, , 
2024/12/6, 23, 6, 32, , , 
2024/12/7, 13, 6, 32, , , 
2024/12/8, 17, 4, 27, , , 
2024/12/9, 19, 5, 23, , , 
2024/12/10, 20, 10, 20, 1, , 
2024/12/11, 39, 17, 16, 3, , 
2024/12/12, 63, 15, 18, 4, 1, 
2024/12/13, 56, 10, 25, 2, , 
2024/12/14, 42, 6, 30, , , 
2024/12/15, 19, 16, 24, 3, , 
2024/12/16, 34, 19, 16, 4, , 
2024/12/17, 67, 27, 13, 5, , 
