date,pm25,pm10,o3,no2,so2,co
2025/10/5, 13, 11, 22, , , 
2025/10/6, 39, 24, 24, 3, , 
2025/10/7, 32, 32, 29, 5, , 
2025/10/8, 33, 25, 29, 3, , 
2025/10/9, 25, 27, 23, 1, , 
2025/10/10, 19, 21, 23, 1, , 
2025/10/11, 33, 24, 25, 3, , 
2025/10/12, 20, 16, 25, 2, , 
2025/10/13, 36, 19, 25, 3, , 
2025/10/14, 44, 24, 26, 3, , 
2025/10/15, 42, 30, 24, 5, , 
2025/10/16, 57, 34, 19, 6, , 
2025/10/17, 60, 36, 23, 6, , 
2025/10/18, 72, 35, 22, 5, , 
2025/10/19, 44, 24, 23, 2, , 
2025/10/20, 30, 12, 23, 2, , 
2025/10/21, 23, 14, 21, 4, , 
2025/10/22, 18, 12, 17, 3, , 
2025/10/23, 18, 19, 28, 1, , 
2025/10/24, 36, 21, 25, 3, , 
2025/10/25, 50, 13, 19, 3, , 
2025/7/13, 22, , , , 1, 
2025/7/14, 35, 21, 31, 1, 5, 
2025/7/15, 12, 13, 24, , 1, 
2025/7/16, 28, 24, 32, 2, , 
2025/7/17, 21, 28, 33, 1, , 
2025/7/18, 40, 30, 28, 1, , 
2025/7/19, 16, 11, 25, 1, , 
2025/7/20, 15, 17, 24, 1, , 
2025/7/21, 24, 15, 26, 1, , 
2025/7/22, 27, 17, 31, 1, , 
2025/7/23, 16, 27, 24, 1, , 
2025/7/24, 15, 15, 25, , , 
2025/7/25, 24, 17, 26, , , 
2025/7/27, 8, 15, 24, , , 
2025/7/28, 19, 15, 24, , , 
2025/7/29, 22, 18, 28, , , 
2025/7/30, 8, 12, 20, , , 
2025/7/31, 14, 27, 23, 1, , 
2025/8/1, 16, 24, 27, 1, , 
2025/8/2, 13, 18, 27, , , 
2025/8/3, 23, 15, 30, , , 
2025/8/4, 31, 26, 35, 2, , 
2025/8/5, 43, 42, 32, 1, , 
2025/9/5, 27, 18, 28, 2, , 
2025/9/6, 21, 21, 27, , , 
2025/9/7, 31, 21, 23, 1, , 
2025/9/8, 16, 22, 23, , , 
2025/9/9, 13, 15, 25, , , 
2025/9/10, 22, 14, 21, 1, , 
2025/9/11, 18, 14, 24, 1, , 
2025/9/18, 44, 39, 31, 5, , 
2025/9/19, 45, 30, 27, 1, , 
2025/9/20, 26, 18, 25, 1, , 
2025/9/21, 15, 5, 23, , , 
2025/9/22, 12, 8, 26, 2, , 
2025/9/23, 13, 10, 27, 1, , 
2025/9/24, 16, 11, 23, 2, , 
2025/9/25, 19, 13, 26, 2, , 
2025/9/26, 19, 16, 30, 5, , 
2025/4/5, 19, 4, 26, , 1, 
2025/4/6, 15, 7, 26, , 1, 
2025/4/7, 30, 14, 28, 2, 1, 
2025/4/8, 39, 20, 28, 4, 1, 
2025/4/9, 48, 23, 30, 3, 1, 
2025/4/10, 46, 25, 26, 3, 1, 
2025/4/11, 46, 18, 31, 1, 1, 
2025/5/8, 27, 15, 28, 2, 1, 
2025/5/9, 44, 14, 24, 2, 1, 
2025/5/10, 27, 7, 21, , , 
2025/5/11, 17, 6, 26, , , 
2025/5/12, 19, 7, 31, 2, , 
2025/5/13, 14, 5, 23, 1, , 
2025/5/14, 23, 9, 26, 2, , 
2025/5/15, 17, 7, 25, 1, 1, 
2025/5/16, 34, 18, 30, 1, , 
2025/5/17, 37, 19, 28, 1, 1, 
2025/5/18, 33, 16, 27, 1, , 
2025/5/25, 16, 16, 30, , , 
2025/5/26, 23, 12, 24, , , 
2025/5/27, 19, 15, 31, , , 
2025/5/28, 24, 20, 27, 1, , 
2025/5/29, 29, 21, 23, 2, , 
2025/5/30, 33, 32, 30, 2, , 
2025/5/31, 40, 28, 33, 1, , 
2025/6/10, 59, 37, 26, 3, 1, 
2025/6/11, 44, 30, 36, 2, 1, 
2025/6/12, 40, 20, 31, 1, 1, 
2025/6/13, 61, 42, 35, 2, 1, 
2025/6/14, 50, 31, 32, 1, 1, 
2025/6/15, 10, 11, 23, , 1, 
2025/6/16, 21, 20, 25, , 1, 
2025/6/17, 32, 25, 33, 2, 1, 
2025/6/18, 28, 32, 40, 3, 1, 
2025/6/19, 33, 40, 35, 3, 1, 
2025/6/23, 62, 37, 35, 3, 1, 
2025/6/24, 56, 44, 38, 4, 1, 
2025/6/25, 42, 28, 35, 3, 1, 
2025/6/26, 34, 23, 30, 1, 1, 
2025/6/27, 28, 22, 33, 2, 1, 
2025/6/28, 31, 20, 33, 1, 1, 
2025/6/29, 26, 17, 32, 1, 1, 
2025/1/1, 52, 4, 10, 2, , 
2025/1/2, 57, 10, 9, 5, , 
2025/1/3, 52, 9, 18, 3, , 
