date;pm25;pm10;o3;no2;so2;co
2025/11/1; 15; 20; 29; 5; 4; 
2025/11/2; 20; 17; 25; 6; 2; 
2025/11/3; 27; 9; 29; 2; 2; 
2025/11/4; 17; 12; 34; 2; 2; 
2025/11/5; 23; 11; 30; 2; 2; 
2025/11/6; 16; 17; 21; 3; 3; 
2025/11/7; 20; ; ; ; ; 
2025/10/1; 46; 19; 33; 9; 2; 
2025/10/2; 48; 21; 33; 16; 2; 
2025/10/3; 59; 26; 34; 24; 3; 
2025/10/4; 36; 18; 29; 17; 2; 
2025/10/5; 20; 22; 26; 13; 2; 
2025/10/6; 28; 23; 31; 17; 2; 
2025/10/7; 50; 19; 29; 14; 2; 
2025/10/8; 47; 16; 31; 9; 2; 
2025/10/9; 24; 14; 27; 9; 2; 
2025/10/10; 28; 17; 26; 10; 2; 
2025/10/11; 40; 18; 28; 12; 2; 
2025/10/12; 46; 16; 29; 11; 2; 
2025/10/13; 40; 20; 27; 11; 2; 
2025/10/14; 52; 17; 24; 9; 2; 
2025/10/15; 50; 18; 25; 9; 2; 
2025/10/16; 53; 21; 28; 9; 2; 
2025/10/17; 59; 21; 30; 11; 2; 
2025/10/18; 56; 18; 32; 4; 2; 
2025/10/19; 44; 17; 25; 8; 2; 
2025/10/20; 25; 16; 25; 5; 2; 
2025/10/21; 20; 12; 24; 5; 2; 
2025/10/22; 19; 28; 31; 3; 2; 
2025/10/23; 34; 26; 30; 9; 3; 
2025/10/24; 29; 18; 28; 7; 2; 
2025/10/25; 24; 12; 31; 3; 2; 
2025/10/26; 13; 14; 29; ; 2; 
2025/10/27; 25; 12; 23; 5; 2; 
2025/10/28; 32; 14; 30; 4; 2; 
2025/10/29; 20; 11; 31; 5; 2; 
2025/10/30; 20; 7; 31; 3; 2; 
2025/10/31; 12; 8; 27; 5; 2; 
2025/7/9; 39; 16; 37; 4; 2; 
2025/7/10; 62; 20; 44; 4; 2; 
2025/7/11; 72; 24; 41; 6; 2; 
2025/7/14; 20; 14; 26; 2; 1; 
2025/7/15; 32; 16; 29; 3; 1; 
2025/7/16; 47; 27; 30; 3; 1; 
2025/7/17; 45; 22; 27; 3; 1; 
2025/7/18; 28; 12; 24; 1; 1; 
2025/7/19; 17; 7; 26; 1; 1; 
2025/7/20; 24; 20; 29; 2; 1; 
2025/7/21; 22; 24; 26; 1; 1; 
2025/7/22; 21; 17; 29; 3; 1; 
2025/7/23; 34; 10; 26; 1; 1; 
2025/7/24; 24; 10; 27; 1; 1; 
2025/7/25; 55; 29; 28; 2; 1; 
2025/7/26; 57; 19; 27; 4; 1; 
2025/7/27; 36; 13; 21; 2; 1; 
2025/7/28; 23; 10; 27; 1; 1; 
2025/7/29; 18; 9; 30; 1; 1; 
2025/7/30; 15; 7; 17; 2; 1; 
2025/7/31; 18; 6; 25; 2; 1; 
2025/8/1; 22; 9; 21; 3; 1; 
2025/8/2; 23; 17; 32; 1; 1; 
2025/8/3; 25; 16; 33; 2; 1; 
2025/8/4; 39; 10; 41; 2; 1; 
2025/8/5; 38; 14; 30; 3; 1; 
2025/8/6; 22; 16; 34; 1; 1; 
2025/8/7; 39; 24; 35; 4; 1; 
2025/8/8; 28; 17; 35; 4; 1; 
2025/8/9; 27; 16; 25; 4; 1; 
2025/8/10; 36; 25; 29; 2; 1; 
2025/8/11; 48; 27; 32; 4; 1; 
2025/8/12; 63; 34; 33; 5; 1; 
2025/8/13; 57; 29; 29; 3; 1; 
2025/8/14; 51; 23; 28; 2; 1; 
2025/8/15; 49; 22; 22; 2; 1; 
2025/8/18; 43; 15; 28; 3; 1; 
2025/8/19; 36; 13; 24; 5; 1; 
2025/8/20; 21; 10; 27; 2; 1; 
2025/8/21; 34; 15; 35; 1; 1; 
2025/8/22; 27; 14; 34; 4; 1; 
2025/8/23; 46; 16; 35; 5; 2; 
2025/8/24; 42; 17; 37; 5; 1; 
2025/8/25; 52; 19; 38; 5; 1; 
2025/8/26; 50; 30; 33; 3; 2; 
2025/8/27; 39; 34; 23; 2; 1; 
2025/8/28; 27; 24; 30; 1; 1; 
2025/8/29; 34; 27; 28; 2; 1; 
2025/8/30; 21; 16; 24; 2; 1; 
2025/8/31; 24; 15; 27; 3; 1; 
2025/9/1; 24; 24; 27; 2; 1; 
2025/9/2; 31; 23; 27; 4; 2; 
2025/9/3; 30; 25; 27; 1; 2; 
2025/9/4; 21; 21; 27; 3; 1; 
2025/9/5; 25; 14; 34; 5; 2; 
2025/9/6; 28; 14; 32; 2; 1; 
2025/9/7; 32; 18; 30; 1; 1; 
2025/9/8; 14; 11; 26; 2; 1; 
2025/9/9; 20; 12; 24; 4; 2; 
2025/9/10; 34; 19; 23; 6; 2; 
2025/9/11; 37; 30; 25; 3; 2; 
2025/9/12; 24; 21; 25; 4; 2; 
2025/9/13; 25; 19; 29; 4; 2; 
2025/9/14; 21; 16; 23; 4; 2; 
2025/9/15; 22; 22; 26; 3; 2; 
2025/9/16; 30; 26; 28; 4; 2; 
2025/9/17; 44; 24; 35; 6; 3; 
2025/9/18; 58; 26; 35; 3; 2; 
2025/9/19; 59; 22; 33; 5; 2; 
2025/9/20; 36; 17; 32; 2; 2; 
2025/9/21; 15; 7; 29; 2; 2; 
2025/9/22; 9; 10; 29; 2; 2; 
2025/9/23; 30; 11; 26; 6; 2; 
2025/9/24; 32; 11; 24; 8; 2; 
2025/9/25; 27; 11; 31; 8; 2; 
2025/9/26; 30; 12; 31; 7; 2; 
2025/9/27; 35; 14; 35; 9; 2; 
2025/9/28; 39; 21; 32; 7; 2; 
2025/9/29; 25; 12; 31; 4; 2; 
2025/9/30; 38; 13; 32; 8; 2; 
2025/4/1; 42; 27; 31; 6; 3; 
2025/4/2; 46; 7; 36; 3; 2; 
2025/4/3; 20; 13; 37; 2; 2; 
2025/4/4; 27; 5; 36; 1; 2; 
2025/4/5; 9; 12; 36; 5; 2; 
2025/4/6; 30; 15; 38; 4; 3; 
2025/4/7; 38; 21; 36; 6; 2; 
2025/4/8; 53; 26; 38; 6; 3; 
2025/4/9; 62; 26; 35; 7; 3; 
2025/4/10; 56; 17; 36; 2; 2; 
2025/4/11; 42; 17; 33; 3; 2; 
2025/4/12; 44; 15; 39; 1; 2; 
2025/4/13; 31; 17; 32; 3; 2; 
2025/4/14; 33; 19; 37; 1; 2; 
2025/4/15; 22; 15; 36; 2; 2; 
2025/4/16; 15; 17; 36; 1; 3; 
2025/4/17; 16; 7; 28; 1; 2; 
2025/4/18; 11; 9; 33; 1; 2; 
2025/4/19; 13; 18; 36; 1; 4; 
2025/4/20; 15; 17; 35; 2; 2; 
2025/4/21; 20; 15; 38; 4; 2; 
2025/4/22; 26; 17; 29; 5; 2; 
2025/4/23; 31; 16; 23; 1; 2; 
2025/4/24; 18; 18; 29; 3; 2; 
2025/4/25; 29; 13; 33; ; 2; 
2025/4/26; 16; 16; 35; 1; 2; 
2025/4/27; 30; 13; 22; 8; 2; 
2025/4/28; 49; 10; 39; 1; 2; 
2025/4/29; 32; 12; 40; 1; 2; 
2025/4/30; 26; 19; 34; 1; 2; 
2025/5/1; 25; 20; 35; 3; 2; 
2025/5/2; 32; 18; 38; 2; 2; 
2025/5/3; 25; 15; 33; 3; 2; 
2025/5/4; 32; 15; 36; ; 2; 
2025/5/5; 22; 12; 37; 1; 2; 
2025/5/6; 22; 17; 37; 4; 2; 
2025/5/7; 37; 19; 38; 5; 2; 
2025/5/8; 46; 19; 33; 7; 2; 
2025/5/9; 47; 12; 33; 3; 2; 
2025/5/10; 28; 14; 42; 3; 2; 
2025/5/11; 30; 22; 37; 4; 3; 
2025/5/12; 37; 15; 30; 4; 2; 
2025/5/13; 35; 16; 28; 3; 2; 
2025/5/14; 24; 10; 31; ; 2; 
2025/5/15; 15; 17; 46; 1; 2; 
2025/5/16; 35; 26; 36; 3; 2; 
2025/5/17; 48; 22; 35; 4; 2; 
2025/5/18; 49; 16; 38; 1; 2; 
2025/5/19; 30; 16; 38; 1; 2; 
2025/5/20; 33; 20; 31; 5; 2; 
2025/5/21; 38; 16; 42; 1; 2; 
2025/5/22; 24; 14; 38; 3; 2; 
2025/5/23; 33; 14; 40; 5; 2; 
2025/5/24; 37; 13; 37; 4; 3; 
2025/5/25; 34; 14; 34; 1; 2; 
2025/5/26; 18; 28; 33; 4; 2; 
2025/5/27; 31; 25; 30; 4; 2; 
2025/5/28; 40; 31; 33; 6; 2; 
2025/5/29; 45; 27; 29; 6; 2; 
2025/5/30; 57; 11; 25; 1; 2; 
2025/5/31; 26; 7; 24; 2; 2; 
2025/6/1; 14; 17; 29; 2; 2; 
2025/6/2; 26; 22; 29; 2; 2; 
2025/6/3; 44; 23; 27; 5; 2; 
2025/6/4; 37; 18; 31; 5; 2; 
2025/6/5; 35; 19; 26; 4; 2; 
2025/6/6; 28; 16; 32; 2; 2; 
2025/6/7; 23; 25; 32; 2; 3; 
2025/6/8; 42; 29; 32; 4; 2; 
2025/6/9; 60; 33; 34; 3; 2; 
2025/6/10; 78; 30; 33; 3; 2; 
2025/6/11; 60; 29; 35; 2; 2; 
2025/6/12; 58; 36; 35; 3; 2; 
2025/6/13; 77; 16; 33; 1; 2; 
2025/6/14; 24; 17; 30; 1; 2; 
2025/6/15; 18; 17; 32; 3; 2; 
2025/6/16; 28; 24; 37; 4; 2; 
2025/6/17; 65; 23; 45; 6; 2; 
2025/6/18; 57; 29; 42; 5; 2; 
2025/6/19; 68; 32; 37; 2; ; 
2025/6/20; 65; 23; 28; 1; 2; 
2025/6/21; 64; 19; 25; 2; 2; 
2025/6/26; 31; 19; 23; 4; 2; 
2025/6/27; 32; 23; 25; 2; 2; 
2025/1/1; 28; 6; 25; 6; 2; 
2025/1/2; 16; 7; 23; 6; 2; 
2025/1/3; 21; 8; 31; 4; 2; 
2025/1/4; 22; 9; 36; 3; 2; 
2025/1/5; 20; 16; 32; 4; 2; 
2025/1/6; 26; 9; 26; 4; 2; 
2025/1/7; 12; 6; 30; 1; 2; 
2025/1/8; 11; 18; 29; 4; 2; 
2025/1/9; 21; 9; 23; 6; 2; 
2025/1/10; 17; 22; 31; 2; 2; 
2025/1/11; 25; 11; 26; 4; 2; 
2025/1/12; 24; 12; 26; 11; 2; 
2025/1/13; 32; 19; 20; 13; 3; 
2025/1/14; 50; 25; 19; 15; 4; 
2025/1/15; 59; 21; 24; 10; 4; 
2025/1/16; 50; 23; 17; 12; 3; 
2025/1/17; 49; 20; 18; 12; 4; 
2025/1/18; 49; 11; 33; 5; 2; 
2025/1/19; 29; 11; 27; 4; 2; 
2025/1/20; 25; 7; 23; 3; 2; 
2025/1/21; 21; 7; 28; 3; 2; 
2025/1/22; 14; 11; 27; 5; 2; 
2025/1/23; 19; 8; 29; 1; 2; 
2025/1/24; 11; 28; 31; 2; 2; 
2025/1/25; 21; 10; 32; 1; 2; 
2025/1/26; 11; 27; 32; 4; 2; 
2025/1/27; 25; 44; 32; 1; 2; 
2025/1/28; 38; 18; 31; 3; 2; 
2025/1/29; 17; 27; 35; 1; 2; 
2025/1/30; 22; 30; 27; 12; 2; 
2025/1/31; 35; 12; 29; 5; 2; 
2025/2/1; 22; 13; 34; 5; 2; 
2025/2/2; 25; 27; 27; 10; 2; 
2025/2/3; 27; 27; 21; 11; 3; 
2025/2/4; 43; 29; 24; 13; 4; 
2025/2/5; 58; 23; 24; 10; 2; 
2025/2/6; 57; 12; 30; 3; 2; 
2025/2/7; 33; 13; 25; 8; 4; 
