date,pm25,pm10,o3,no2,so2,co
2025/11/1, 30, 9, , 7, 2, 
2025/11/2, 21, 15, , 14, 2, 
2025/11/3, 28, 13, , 8, , 
2025/11/4, 21, 12, , 4, , 
2025/11/5, 18, 6, , 4, 1, 
2025/11/6, 13, 7, , 4, 1, 
2025/11/7, 16, , , , , 
2025/10/1, 53, 28, , 18, 3, 
2025/10/2, 55, 31, , 17, 5, 
2025/10/3, 62, 19, , 10, 2, 
2025/10/4, 46, 11, , 6, 2, 
2025/10/5, 24, 18, , 11, 2, 
2025/10/6, 43, 29, , 18, 3, 
2025/10/7, 47, 24, , 11, 2, 
2025/10/8, 49, 15, , 9, 1, 
2025/10/9, 39, 22, , 13, 2, 
2025/10/10, 46, 18, , 11, 3, 
2025/10/11, 48, 19, , 12, 2, 
2025/10/12, 49, 21, , 14, 3, 
2025/10/13, 46, 25, , 10, 3, 
2025/10/14, 60, 30, , 10, , 
2025/10/15, 65, 31, , 11, , 
2025/10/16, 69, 34, , 13, 1, 
2025/10/17, 72, 27, , 16, 2, 
2025/10/18, 62, 23, , 3, , 
2025/10/19, 40, 11, , 11, , 
2025/10/20, 23, 9, , 6, , 
2025/10/21, 22, 11, , 6, , 
2025/10/22, 23, 18, , 5, 3, 
2025/10/23, 40, 14, , 10, 2, 
2025/10/24, 33, 11, , 8, 2, 
2025/10/25, 26, 7, , 5, 1, 
2025/10/26, 15, 14, , 12, 1, 
2025/10/27, 31, 18, , 15, 2, 
2025/10/28, 36, 10, , 6, , 
2025/10/29, 20, 13, , 7, , 
2025/10/30, 23, 9, , 3, , 
2025/10/31, 27, 10, , 5, , 
2025/7/1, 59, 9, , 5, 1, 
2025/7/2, 22, 16, , 5, 1, 
2025/7/3, 33, 21, , 7, 1, 
2025/7/4, 48, 15, , 4, 1, 
2025/7/5, 37, 12, , 3, 2, 
2025/7/6, 31, 9, , 4, 1, 
2025/7/7, 24, 16, , 6, 1, 
2025/7/8, 32, 20, , 8, 1, 
2025/7/9, 39, 22, , 10, 1, 
2025/7/10, 44, 29, , 15, 2, 
2025/7/11, 59, 18, , 6, 1, 
2025/7/12, 50, 17, , 3, 1, 
2025/7/13, 46, 15, , 7, 1, 
2025/7/14, 38, 16, , 7, 1, 
2025/7/15, 42, 25, , 9, 1, 
2025/7/16, 60, 27, , 7, 1, 
2025/7/17, 62, 11, , 3, 1, 
2025/7/18, 36, 8, , 3, 1, 
2025/7/19, 20, 12, , 4, 2, 
2025/7/20, 30, 14, , 5, 4, 
2025/7/21, 27, 15, , 8, 2, 
2025/7/22, 30, 11, , 4, 1, 
2025/7/23, 23, 10, , 3, 1, 
2025/7/24, 24, 15, , 4, 2, 
2025/7/25, 51, 15, , 4, 4, 
2025/7/26, 53, 10, , 3, 2, 
2025/7/27, 34, 9, , 3, 1, 
2025/7/28, 25, 7, , 2, 1, 
2025/7/29, 20, 7, , 5, 1, 
2025/7/30, 17, 7, , 3, 1, 
2025/7/31, 17, 9, , 5, 1, 
2025/8/1, 22, 10, , 3, 1, 
2025/8/2, 22, 11, , 4, 1, 
2025/8/3, 33, 17, , 6, 1, 
2025/8/4, 46, 13, , 5, 1, 
2025/8/5, 36, 15, , 4, 1, 
2025/8/6, 29, 20, , 7, 2, 
2025/8/7, 40, 18, , 7, 1, 
2025/8/8, 37, 10, , 4, 4, 
2025/8/9, 29, 21, , 7, , 
2025/8/10, 53, 33, , 11, , 
2025/8/11, 65, 40, , 12, 1, 
2025/8/12, 73, 35, , 8, 1, 
2025/8/13, 67, 30, , 7, 1, 
2025/8/14, 69, 22, , 2, 1, 
2025/8/15, 63, , , , , 
2025/8/18, 54, 20, , 9, 2, 
2025/8/19, 46, 12, , 6, 2, 
2025/8/20, 29, 13, , 4, 1, 
2025/8/21, 40, 12, , 6, 1, 
2025/8/22, 32, 14, , 6, 2, 
2025/8/23, 38, 17, , 9, 2, 
2025/8/24, 48, 22, , 8, 1, 
2025/8/25, 60, 23, , 7, 1, 
2025/8/26, 50, 15, , 7, 1, 
2025/8/27, 37, 13, , 4, 2, 
2025/8/28, 31, 13, , 5, 2, 
2025/8/29, 28, 8, , 6, 2, 
2025/8/30, 19, 10, , 7, 2, 
2025/8/31, 24, 14, , 7, 2, 
2025/9/1, 25, 14, , 7, 2, 
2025/9/2, 30, 16, , 4, 1, 
2025/9/3, 37, 11, , 6, 1, 
2025/9/4, 26, 14, , 9, 1, 
2025/9/5, 33, 18, , 6, 1, 
2025/9/6, 34, 15, , 2, 1, 
2025/9/7, 33, 9, , 6, 1, 
2025/9/8, 20, 11, , 8, 2, 
2025/9/9, 24, 16, , 8, 2, 
2025/9/10, 37, 15, , 6, 2, 
2025/9/11, 35, 14, , 7, 1, 
2025/9/12, 32, 13, , 6, 2, 
2025/9/13, 33, 9, , 7, 2, 
2025/9/14, 24, 13, , 8, 2, 
2025/9/15, 25, 18, , 7, 1, 
2025/9/16, 36, 23, , 11, 2, 
2025/9/17, 52, 30, , 11, 2, 
2025/9/18, 68, 42, , 14, 1, 
2025/9/19, 78, 17, , 3, 1, 
2025/9/20, 38, 5, , 3, 2, 
2025/9/21, 13, 5, , 5, 1, 
2025/9/22, 11, 13, , 10, 2, 
2025/9/23, 32, 15, , 13, 2, 
2025/9/24, 32, 16, , 11, 3, 
2025/9/25, 32, 19, , 14, 3, 
2025/9/26, 40, 17, , 15, 4, 
2025/9/27, 42, 15, , 8, 5, 
2025/9/28, 39, 24, , 12, 1, 
2025/9/29, 44, 25, , 13, 2, 
2025/9/30, 48, 24, , 13, 2, 
2025/4/1, 51, 22, , 12, 5, 
2025/4/2, 49, 9, , 7, 1, 
2025/4/3, 17, 15, , 4, 1, 
2025/4/4, 27, 4, , 5, 1, 
2025/4/5, 11, 15, , 9, 1, 
2025/4/6, 41, 18, , 10, 2, 
2025/4/7, 52, 37, , 15, 5, 
2025/4/8, 76, 35, , 11, 2, 
2025/4/9, 91, 30, , 17, 3, 
2025/4/10, 61, 17, , 6, 2, 
2025/4/11, 37, 14, , 6, 2, 
2025/4/12, 44, 13, , 4, 1, 
2025/4/13, 44, 19, , 10, 2, 
2025/4/14, 44, 8, , 5, 3, 
2025/4/15, 17, 7, , 6, 2, 
2025/4/16, 12, 8, , 6, 3, 
2025/4/17, 20, 5, , 4, 2, 
2025/4/18, 14, 3, , 3, 2, 
2025/4/19, 8, 7, , 3, 2, 
2025/4/20, 19, 9, , 4, 3, 
2025/4/21, 26, 10, , 8, 3, 
2025/4/22, 24, 15, , 11, 3, 
2025/4/23, 32, 14, , 7, 3, 
2025/4/24, 31, 18, , 8, 5, 
2025/4/25, 40, 7, , 3, 2, 
2025/4/26, 24, 9, , 4, 2, 
2025/4/27, 28, 22, , 12, 3, 
2025/4/28, 54, 16, , 7, 3, 
2025/4/29, 29, 16, , 5, 2, 
2025/4/30, 24, 12, , 7, 3, 
2025/5/1, 30, 17, , 9, 3, 
2025/5/2, 37, 11, , 4, 3, 
2025/5/3, 26, 10, , 4, 2, 
2025/5/4, 31, 11, , 6, 2, 
2025/5/5, 28, 9, , 6, 3, 
2025/5/6, 21, 16, , 11, 3, 
2025/5/7, 38, 21, , 10, 3, 
2025/5/8, 47, 25, , 15, 3, 
2025/5/9, 60, 13, , 11, 3, 
2025/5/10, 39, 12, , 6, 3, 
2025/5/11, 32, 13, , 9, 3, 
2025/5/12, 33, 17, , 10, 2, 
2025/5/13, 43, 17, , 8, 2, 
2025/5/14, 38, 9, , 6, 3, 
2025/5/15, 25, 19, , 7, 8, 
2025/5/16, 48, 22, , 8, 8, 
2025/5/17, 63, 20, , 10, 5, 
2025/5/18, 55, 18, , 7, 3, 
2025/5/19, 40, 11, , 6, 5, 
2025/5/20, 33, 19, , 9, 5, 
2025/5/21, 46, 10, , 3, 2, 
2025/5/22, 27, 18, , 9, 2, 
2025/5/23, 38, 12, , 9, 5, 
2025/5/24, 43, 11, , 7, 3, 
2025/5/25, 34, 9, , 5, 1, 
2025/5/26, 22, 17, , 8, 3, 
2025/5/27, 38, 18, , 9, 4, 
2025/5/28, 41, 30, , 17, 5, 
2025/5/29, 52, 27, , 12, 4, 
2025/5/30, 60, 11, , 3, 1, 
2025/5/31, 34, 7, , 2, 1, 
2025/6/1, 20, 14, , 8, 1, 
2025/6/2, 40, 19, , 11, 1, 
2025/6/3, 51, 18, , 9, 1, 
2025/6/4, 43, 14, , 8, 1, 
2025/6/5, 30, 15, , 8, 6, 
2025/6/6, 31, 8, , 4, 2, 
2025/6/7, 22, 18, , 4, 3, 
2025/6/8, 51, 32, , 10, 3, 
2025/6/9, 74, 35, , 8, 2, 
2025/6/10, 88, 38, , 16, 2, 
2025/6/11, 72, 29, , 8, 2, 
2025/6/12, 72, 37, , 10, 2, 
2025/6/13, 85, 12, , 4, 2, 
