date, pm25, pm10, o3, no2, so2, co
2025/11/1, 10, 5, 26, 3, , 
2025/11/2, 12, 12, 18, 12, , 
2025/11/3, 21, 11, 21, 10, , 
2025/11/4, 20, 10, 26, 9, , 
2025/11/5, 22, 3, 30, 1, , 
2025/11/6, 8, 3, 27, 5, , 
2025/11/7, 8, 3, 27, 4, , 
2025/11/8, 8, 7, 23, 5, , 
2025/11/9, 16, 9, 22, 6, , 
2025/11/10, 18, 10, 20, 9, , 
2025/11/11, 27, 16, 23, 8, , 
2025/11/12, 26, 29, 28, 7, , 
2025/11/13, 38, , , , , 
2025/10/1, 19, 8, 26, 11, 1, 
2025/10/2, 14, 14, 29, 12, 1, 
2025/10/3, 22, 12, 22, 5, , 
2025/10/4, 21, 4, 25, 1, , 
2025/10/5, 8, 10, 20, 15, 2, 
2025/10/6, 14, 15, 24, 11, 2, 
2025/10/7, 18, 15, 27, 9, 1, 
2025/10/8, 24, 10, 25, 2, 1, 
2025/10/9, 22, 9, 20, 6, 1, 
2025/10/10, 16, 10, 21, 5, , 
2025/10/11, 22, 8, 24, 4, 1, 
2025/10/12, 20, 8, 24, 6, 2, 
2025/10/13, 16, 19, 18, 11, , 
2025/10/14, 33, 16, 23, 12, , 
2025/10/15, 31, 15, 24, 12, , 
2025/10/16, 28, 19, 24, 11, 1, 
2025/10/17, 37, 17, 26, 8, , 
2025/10/18, 40, 13, 29, 5, 1, 
2025/10/19, 31, 7, 25, 2, 1, 
2025/10/20, 11, 4, 22, 4, 1, 
2025/10/21, 8, 3, 21, 2, , 
2025/10/22, 8, 7, 26, 3, , 
2025/10/23, 12, 9, 20, 7, 2, 
2025/10/24, 22, 3, 21, 4, 2, 
2025/10/25, 9, 3, 23, 2, 1, 
2025/10/26, 8, 10, 18, 11, 1, 
2025/10/27, 22, 11, 18, 18, 1, 
2025/10/28, 21, 6, 15, 12, 2, 
2025/10/29, 15, 9, 22, 7, 2, 
2025/10/30, 20, 9, 27, 8, , 
2025/10/31, 16, 4, 26, 4, , 
2025/7/1, 44, 42, , 6, , 
2025/7/2, 87, 17, , 5, , 
2025/7/3, 44, 17, , 5, , 
2025/7/4, 40, 10, , 3, 1, 
2025/7/5, 24, 14, , 3, , 
2025/7/6, 40, 6, , 2, , 
2025/7/7, 13, 8, , 3, , 
2025/7/8, 15, 18, , 5, , 
2025/7/9, 36, 20, , 6, , 
2025/7/10, 47, 22, , 6, , 
2025/7/11, 46, 8, , 4, , 
2025/7/12, 21, 10, , 3, , 
2025/7/13, 30, 15, , 5, , 
2025/7/14, 39, 15, , 4, , 
2025/7/15, 37, 12, , 6, , 
2025/7/16, 30, 20, , 8, , 
2025/7/17, 39, 20, , 6, , 
2025/7/18, 43, 12, , 2, , 
2025/7/19, 32, 11, , 1, , 
2025/7/20, 19, 17, , 4, , 
2025/7/21, 21, 21, , 6, , 
2025/7/22, 25, 20, , 5, , 
2025/7/23, 27, 6, , 1, , 
2025/7/24, 9, 9, , 2, , 
2025/7/25, 21, 9, , 2, , 
2025/7/26, 26, 9, , 3, , 
2025/7/27, 25, 9, 35, 1, , 
2025/7/28, 18, 7, 38, 1, 1, 
2025/7/29, 18, 7, 27, 3, 1, 
2025/7/30, 14, 12, 33, 5, , 
2025/7/31, 21, 15, 33, 5, , 
2025/8/1, 29, 10, 36, 3, 1, 
2025/8/2, 23, 9, 43, 2, , 
2025/8/3, 23, 19, 42, 7, 1, 
2025/8/4, 41, 25, 43, 6, 2, 
2025/8/5, 56, 27, 38, 6, , 
2025/8/6, 47, 41, 46, 7, , 
2025/8/7, 60, 48, 41, 8, , 
2025/8/8, 64, 41, 43, 4, 1, 
2025/8/9, 60, 35, 33, 4, 1, 
2025/8/10, 61, 38, 42, 10, , 
2025/8/11, 62, 34, 40, 9, , 
2025/8/12, 59, 27, 42, 9, , 
2025/8/13, 52, 25, 43, 9, 1, 
2025/8/14, 55, 30, 52, 5, 1, 
2025/8/15, 65, 40, 49, 6, , 
2025/8/16, 81, 47, 50, 6, , 
2025/8/17, 89, 50, 39, 9, , 
2025/8/18, 79, 26, 37, 4, , 
2025/8/19, 66, 16, 31, 6, , 
2025/8/20, 39, 13, 40, 4, , 
2025/8/21, 26, 10, 38, 4, , 
2025/8/22, 24, 12, 43, 4, 1, 
2025/8/23, 30, 18, 44, 3, 1, 
2025/8/24, 49, 30, 39, 8, 1, 
2025/8/25, 58, 35, 32, 8, , 
2025/8/26, 59, 49, 34, 8, 1, 
2025/8/27, 75, 18, 33, 6, 1, 
2025/8/28, 35, 30, 32, 4, , 
2025/8/29, 56, 7, 27, 3, , 
2025/8/30, 11, 9, 32, 3, 1, 
2025/8/31, 14, 17, 29, 4, 1, 
2025/9/1, 18, 18, 29, 4, , 
2025/9/2, 18, 18, 28, 4, , 
2025/9/3, 17, 20, 28, 4, , 
2025/9/4, 26, 19, 29, 5, , 
2025/9/5, 28, 16, 33, 4, 1, 
2025/9/6, 26, 22, 33, 3, 1, 
2025/9/7, 34, 11, 23, 4, , 
2025/9/8, 20, 10, 29, 5, , 
2025/9/9, 14, 13, 23, 4, 1, 
2025/9/10, 16, 13, 25, 3, 1, 
2025/9/11, 15, 9, 24, 5, , 
2025/9/12, 12, 16, 34, 4, , 
2025/9/13, 40, 9, 27, 3, , 
2025/9/14, 18, 12, 26, 6, , 
2025/9/15, 17, 16, 33, 5, , 
2025/9/16, 23, 18, 35, 10, , 
2025/9/17, 27, 26, 33, 10, , 
2025/9/18, 39, 31, 30, 11, , 
2025/9/19, 48, 24, 26, 5, 2, 
2025/9/20, 45, 12, 26, 3, 2, 
2025/9/21, 24, 6, 23, 7, 1, 
2025/9/22, 8, 9, 26, 3, , 
2025/9/23, 9, 8, 25, 7, , 
2025/9/24, 11, 8, 27, 7, , 
2025/9/25, 13, 16, 28, 9, 1, 
2025/9/26, 22, 16, 35, 7, 1, 
2025/9/27, 29, 14, 28, 5, , 
2025/9/28, 28, 8, 27, 3, , 
2025/9/29, 19, 11, 27, 6, 1, 
2025/9/30, 21, 11, 14, 6, , 
2025/4/1, 55, 60, , 7, , 
2025/4/2, 56, 7, , 9, 1, 
2025/4/3, 16, 24, , 7, , 
2025/4/4, 29, 24, , 3, , 
2025/4/5, 20, 36, , 3, , 
2025/4/6, 28, 58, , 8, 1, 
