Year	CCAA	Type	Value
2002	andalucia	indice	71,9023333333
2002	andalucia	variacion_anual	3,9
2002	aragon	indice	71,3498333333
2002	aragon	variacion_anual	4,1
2002	asturias	indice	72,1818333333
2002	asturias	variacion_anual	3,8
2002	baleares	indice	71,3040833333
2002	baleares	variacion_anual	4,5
2002	canarias	indice	76,6946666667
2002	canarias	variacion_anual	3,2
2002	cantabria	indice	71,0246666667
2002	cantabria	variacion_anual	3,7
2002	castilla_la_mancha	indice	71,664
2002	castilla_la_mancha	variacion_anual	3,8
2002	castilla_leon	indice	71,1808333333
2002	castilla_leon	variacion_anual	3,6
2002	catalunya	indice	68,0394166667
2002	catalunya	variacion_anual	4,3
2002	ceuta	indice	74,6813333333
2002	ceuta	variacion_anual	3,8
2002	comunidad_valenciana	indice	71,8
2002	comunidad_valenciana	variacion_anual	4,1
2002	extremadura	indice	73,6516666667
2002	extremadura	variacion_anual	3,5
2002	galicia	indice	71,1089166667
2002	galicia	variacion_anual	4,3
2002	madrid	indice	71,66075
2002	madrid	variacion_anual	3,9
2002	melilla	indice	71,9955
2002	melilla	variacion_anual	4,2
2002	murcia	indice	71,3029166667
2002	murcia	variacion_anual	4,4
2002	nacional	indice	71,0923333333
2002	nacional	variacion_anual	4,0
2002	navarra	indice	72,0740833333
2002	navarra	variacion_anual	4,0
2002	pais_vasco	indice	70,2214166667
2002	pais_vasco	variacion_anual	3,9
2002	rioja	indice	70,5786666667
2002	rioja	variacion_anual	3,8
2003	andalucia	indice	74,05225
2003	andalucia	variacion_anual	2,6
2003	aragon	indice	73,446
2003	aragon	variacion_anual	2,4
2003	asturias	indice	74,3248333333
2003	asturias	variacion_anual	2,4
2003	baleares	indice	73,4236666667
2003	baleares	variacion_anual	2,3
2003	canarias	indice	78,4184166667
2003	canarias	variacion_anual	1,9
2003	cantabria	indice	72,9613333333
2003	cantabria	variacion_anual	2,6
2003	castilla_la_mancha	indice	73,72375
2003	castilla_la_mancha	variacion_anual	2,6
2003	castilla_leon	indice	73,1130833333
2003	castilla_leon	variacion_anual	2,1
2003	catalunya	indice	70,4325
2003	catalunya	variacion_anual	3,1
2003	ceuta	indice	77,3004166667
2003	ceuta	variacion_anual	3,8
2003	comunidad_valenciana	indice	73,86875
2003	comunidad_valenciana	variacion_anual	2,4
2003	extremadura	indice	75,4650833333
2003	extremadura	variacion_anual	2,1
2003	galicia	indice	73,28775
2003	galicia	variacion_anual	2,3
2003	madrid	indice	73,8200833333
2003	madrid	variacion_anual	2,6
2003	melilla	indice	74,434
2003	melilla	variacion_anual	3,4
2003	murcia	indice	73,9353333333
2003	murcia	variacion_anual	3,2
2003	nacional	indice	73,25275
2003	nacional	variacion_anual	2,6
2003	navarra	indice	74,2896666667
2003	navarra	variacion_anual	2,8
2003	pais_vasco	indice	72,204
2003	pais_vasco	variacion_anual	2,6
2003	rioja	indice	72,9298333333
2003	rioja	variacion_anual	2,4
2004	andalucia	indice	76,2609166667
2004	andalucia	variacion_anual	3,1
2004	aragon	indice	75,4646666667
2004	aragon	variacion_anual	3,2
2004	asturias	indice	76,4951666667
2004	asturias	variacion_anual	3,1
2004	baleares	indice	75,441
2004	baleares	variacion_anual	3,0
2004	canarias	indice	80,19625
2004	canarias	variacion_anual	2,5
2004	cantabria	indice	74,9655
2004	cantabria	variacion_anual	2,8
2004	castilla_la_mancha	indice	76,0085
2004	castilla_la_mancha	variacion_anual	3,4
2004	castilla_leon	indice	75,16225
2004	castilla_leon	variacion_anual	3,1
2004	catalunya	indice	72,8786666667
2004	catalunya	variacion_anual	3,6
2004	ceuta	indice	80,0044166667
2004	ceuta	variacion_anual	2,7
2004	comunidad_valenciana	indice	76,0841666667
2004	comunidad_valenciana	variacion_anual	3,4
2004	extremadura	indice	77,3490833333
2004	extremadura	variacion_anual	2,8
2004	galicia	indice	75,4923333333
2004	galicia	variacion_anual	3,3
2004	madrid	indice	76,0313333333
2004	madrid	variacion_anual	3,1
2004	melilla	indice	77,39975
2004	melilla	variacion_anual	4,2
2004	murcia	indice	76,4271666667
2004	murcia	variacion_anual	3,3
2004	nacional	indice	75,4790833333
2004	nacional	variacion_anual	3,2
2004	navarra	indice	76,5326666667
2004	navarra	variacion_anual	3,3
2004	pais_vasco	indice	74,3935
2004	pais_vasco	variacion_anual	3,2
2004	rioja	indice	74,9783333333
2004	rioja	variacion_anual	3,3
2005	andalucia	indice	78,7675
2005	andalucia	variacion_anual	3,6
2005	aragon	indice	78,0841666667
2005	aragon	variacion_anual	3,8
2005	asturias	indice	78,8615
2005	asturias	variacion_anual	3,5
2005	baleares	indice	77,7711666667
2005	baleares	variacion_anual	3,5
2005	canarias	indice	82,1959166667
2005	canarias	variacion_anual	2,8
2005	cantabria	indice	77,34725
2005	cantabria	variacion_anual	3,6
2005	castilla_la_mancha	indice	78,6366666667
2005	castilla_la_mancha	variacion_anual	3,8
2005	castilla_leon	indice	77,6351666667
2005	castilla_leon	variacion_anual	3,7
2005	catalunya	indice	75,7339166667
2005	catalunya	variacion_anual	4,3
2005	ceuta	indice	82,0439166667
2005	ceuta	variacion_anual	3,2
2005	comunidad_valenciana	indice	78,63825
2005	comunidad_valenciana	variacion_anual	3,5
2005	extremadura	indice	79,5156666667
2005	extremadura	variacion_anual	3,1
2005	galicia	indice	78,02575
2005	galicia	variacion_anual	3,7
2005	madrid	indice	78,4139166667
2005	madrid	variacion_anual	3,7
2005	melilla	indice	79,7516666667
2005	melilla	variacion_anual	4,3
2005	murcia	indice	79,0569166667
2005	murcia	variacion_anual	4,1
2005	nacional	indice	78,0218333333
2005	nacional	variacion_anual	3,7
2005	navarra	indice	79,11625
2005	navarra	variacion_anual	3,7
2005	pais_vasco	indice	76,84375
2005	pais_vasco	variacion_anual	3,7
2005	rioja	indice	77,7619166667
2005	rioja	variacion_anual	4,4
2006	andalucia	indice	81,54775
2006	andalucia	variacion_anual	2,9
2006	aragon	indice	80,9906666667
2006	aragon	variacion_anual	2,9
2006	asturias	indice	81,4776666667
2006	asturias	variacion_anual	2,4
2006	baleares	indice	80,4699166667
2006	baleares	variacion_anual	2,8
2006	canarias	indice	84,569
2006	canarias	variacion_anual	2,0
2006	cantabria	indice	80,066
2006	cantabria	variacion_anual	2,7
2006	castilla_la_mancha	indice	81,5145833333
2006	castilla_la_mancha	variacion_anual	2,6
2006	castilla_leon	indice	80,3989166667
2006	castilla_leon	variacion_anual	2,7
2006	catalunya	indice	78,5128333333
2006	catalunya	variacion_anual	2,8
2006	ceuta	indice	84,6938333333
2006	ceuta	variacion_anual	2,4
2006	comunidad_valenciana	indice	81,3025833333
2006	comunidad_valenciana	variacion_anual	2,6
2006	extremadura	indice	81,9264166667
2006	extremadura	variacion_anual	2,4
2006	galicia	indice	80,7764166667
2006	galicia	variacion_anual	2,6
2006	madrid	indice	81,19325
2006	madrid	variacion_anual	2,7
2006	melilla	indice	83,2599166667
2006	melilla	variacion_anual	2,9
2006	murcia	indice	81,9731666667
2006	murcia	variacion_anual	2,5
2006	nacional	indice	80,76475
2006	nacional	variacion_anual	2,7
2006	navarra	indice	81,7144166667
2006	navarra	variacion_anual	2,1
2006	pais_vasco	indice	79,4599166667
2006	pais_vasco	variacion_anual	2,6
2006	rioja	indice	80,8779166667
2006	rioja	variacion_anual	3,1
2007	andalucia	indice	83,8045
2007	andalucia	variacion_anual	4,2
2007	aragon	indice	83,354
2007	aragon	variacion_anual	4,4
2007	asturias	indice	83,6095
2007	asturias	variacion_anual	4,1
2007	baleares	indice	82,6134166667
2007	baleares	variacion_anual	3,9
2007	canarias	indice	86,5398333333
2007	canarias	variacion_anual	4,3
2007	cantabria	indice	82,26475
2007	cantabria	variacion_anual	4,4
2007	castilla_la_mancha	indice	83,6525833333
2007	castilla_la_mancha	variacion_anual	4,5
2007	castilla_leon	indice	82,664
2007	castilla_leon	variacion_anual	4,5
2007	catalunya	indice	80,8406666667
2007	catalunya	variacion_anual	4,3
2007	ceuta	indice	86,3305833333
2007	ceuta	variacion_anual	3,0
2007	comunidad_valenciana	indice	83,60025
2007	comunidad_valenciana	variacion_anual	4,3
2007	extremadura	indice	84,1219166667
2007	extremadura	variacion_anual	4,2
2007	galicia	indice	82,7560833333
2007	galicia	variacion_anual	4,1
2007	madrid	indice	83,4491666667
2007	madrid	variacion_anual	4,0
2007	melilla	indice	85,5105
2007	melilla	variacion_anual	3,8
2007	murcia	indice	84,4915833333
2007	murcia	variacion_anual	4,7
2007	nacional	indice	83,0155
2007	nacional	variacion_anual	4,2
2007	navarra	indice	83,7050833333
2007	navarra	variacion_anual	4,2
2007	pais_vasco	indice	81,7230833333
2007	pais_vasco	variacion_anual	4,2
2007	rioja	indice	83,1629166667
2007	rioja	variacion_anual	3,9
2008	andalucia	indice	87,1641666667
2008	andalucia	variacion_anual	1,3
2008	aragon	indice	87,0485
2008	aragon	variacion_anual	1,6
2008	asturias	indice	87,1558333333
2008	asturias	variacion_anual	1,6
2008	baleares	indice	85,7795833333
2008	baleares	variacion_anual	1,3
2008	canarias	indice	90,36325
2008	canarias	variacion_anual	1,6
2008	cantabria	indice	85,8311666667
2008	cantabria	variacion_anual	1,3
2008	castilla_la_mancha	indice	87,2383333333
2008	castilla_la_mancha	variacion_anual	0,9
2008	castilla_leon	indice	86,1535833333
2008	castilla_leon	variacion_anual	1,1
2008	catalunya	indice	84,1464166667
2008	catalunya	variacion_anual	1,6
2008	ceuta	indice	89,6031666667
2008	ceuta	variacion_anual	2,1
2008	comunidad_valenciana	indice	86,949
2008	comunidad_valenciana	variacion_anual	1,5
2008	extremadura	indice	87,5765833333
2008	extremadura	variacion_anual	1,3
2008	galicia	indice	86,2376666667
2008	galicia	variacion_anual	1,2
2008	madrid	indice	86,6878333333
2008	madrid	variacion_anual	1,6
2008	melilla	indice	88,8586666667
2008	melilla	variacion_anual	1,8
2008	murcia	indice	87,84425
2008	murcia	variacion_anual	1,1
2008	nacional	indice	86,3986666667
2008	nacional	variacion_anual	1,4
2008	navarra	indice	86,9709166667
2008	navarra	variacion_anual	1,2
2008	pais_vasco	indice	85,0773333333
2008	pais_vasco	variacion_anual	1,9
2008	rioja	indice	86,5749166667
2008	rioja	variacion_anual	1,6
2009	andalucia	indice	86,7600833333
2009	andalucia	variacion_anual	0,6
2009	aragon	indice	86,701
2009	aragon	variacion_anual	0,8
2009	asturias	indice	86,7684166667
2009	asturias	variacion_anual	0,7
2009	baleares	indice	85,633
2009	baleares	variacion_anual	0,8
2009	canarias	indice	89,45025
2009	canarias	variacion_anual	-0,4
2009	cantabria	indice	85,5445833333
2009	cantabria	variacion_anual	1,0
2009	castilla_la_mancha	indice	86,2346666667
2009	castilla_la_mancha	variacion_anual	0,5
2009	castilla_leon	indice	85,539
2009	castilla_leon	variacion_anual	0,7
2009	catalunya	indice	84,28125
2009	catalunya	variacion_anual	1,2
2009	ceuta	indice	90,0855833333
2009	ceuta	variacion_anual	1,4
2009	comunidad_valenciana	indice	86,7428333333
2009	comunidad_valenciana	variacion_anual	0,8
2009	extremadura	indice	87,1683333333
2009	extremadura	variacion_anual	0,5
2009	galicia	indice	85,7339166667
2009	galicia	variacion_anual	0,9
2009	madrid	indice	86,6314166667
2009	madrid	variacion_anual	0,9
2009	melilla	indice	88,9506666667
2009	melilla	variacion_anual	1,3
2009	murcia	indice	87,3075833333
2009	murcia	variacion_anual	0,6
2009	nacional	indice	86,15
2009	nacional	variacion_anual	0,8
2009	navarra	indice	86,4645833333
2009	navarra	variacion_anual	0,5
2009	pais_vasco	indice	85,3056666667
2009	pais_vasco	variacion_anual	1,0
2009	rioja	indice	86,16325
2009	rioja	variacion_anual	0,5
2010	andalucia	indice	88,3139166667
2010	andalucia	variacion_anual	3,2
2010	aragon	indice	88,25725
2010	aragon	variacion_anual	2,9
2010	asturias	indice	88,46925
2010	asturias	variacion_anual	3,2
2010	baleares	indice	87,0914166667
2010	baleares	variacion_anual	2,7
2010	canarias	indice	90,3136666667
2010	canarias	variacion_anual	2,0
2010	cantabria	indice	87,1555833333
2010	cantabria	variacion_anual	3,1
2010	castilla_la_mancha	indice	87,9333333333
2010	castilla_la_mancha	variacion_anual	3,4
2010	castilla_leon	indice	87,16075
2010	castilla_leon	variacion_anual	3,2
2010	catalunya	indice	85,9983333333
2010	catalunya	variacion_anual	3,0
2010	ceuta	indice	91,4744166667
2010	ceuta	variacion_anual	1,9
2010	comunidad_valenciana	indice	88,1475
2010	comunidad_valenciana	variacion_anual	2,9
2010	extremadura	indice	88,6758333333
2010	extremadura	variacion_anual	3,0
2010	galicia	indice	87,3405833333
2010	galicia	variacion_anual	3,1
2010	madrid	indice	88,2305
2010	madrid	variacion_anual	3,0
2010	melilla	indice	90,8218333333
2010	melilla	variacion_anual	2,4
2010	murcia	indice	88,8105833333
2010	murcia	variacion_anual	3,0
2010	nacional	indice	87,7005833333
2010	nacional	variacion_anual	3,0
2010	navarra	indice	87,8406666667
2010	navarra	variacion_anual	2,8
2010	pais_vasco	indice	86,7485833333
2010	pais_vasco	variacion_anual	2,8
2010	rioja	indice	87,6039166667
2010	rioja	variacion_anual	3,0
2011	andalucia	indice	91,1585833333
2011	andalucia	variacion_anual	2,1
2011	aragon	indice	91,0523333333
2011	aragon	variacion_anual	2,4
2011	asturias	indice	91,6123333333
2011	asturias	variacion_anual	2,7
2011	baleares	indice	89,5791666667
2011	baleares	variacion_anual	2,3
2011	canarias	indice	92,6635
2011	canarias	variacion_anual	2,0
2011	cantabria	indice	90,1239166667
2011	cantabria	variacion_anual	2,3
2011	castilla_la_mancha	indice	91,1470833333
2011	castilla_la_mancha	variacion_anual	2,6
2011	castilla_leon	indice	90,17325
2011	castilla_leon	variacion_anual	2,7
2011	catalunya	indice	88,7970833333
2011	catalunya	variacion_anual	2,5
2011	ceuta	indice	93,6425833333
2011	ceuta	variacion_anual	2,0
2011	comunidad_valenciana	indice	90,876
2011	comunidad_valenciana	variacion_anual	2,1
2011	extremadura	indice	91,543
2011	extremadura	variacion_anual	2,4
2011	galicia	indice	90,2919166667
2011	galicia	variacion_anual	2,5
2011	madrid	indice	90,9616666667
2011	madrid	variacion_anual	2,5
2011	melilla	indice	92,9138333333
2011	melilla	variacion_anual	1,5
2011	murcia	indice	91,5789166667
2011	murcia	variacion_anual	2,2
2011	nacional	indice	90,5035833333
2011	nacional	variacion_anual	2,4
2011	navarra	indice	90,6343333333
2011	navarra	variacion_anual	2,6
2011	pais_vasco	indice	89,4341666667
2011	pais_vasco	variacion_anual	2,4
2011	rioja	indice	90,6349166667
2011	rioja	variacion_anual	2,7
2012	andalucia	indice	93,1281666667
2012	andalucia	variacion_anual	2,6
2012	aragon	indice	93,2036666667
2012	aragon	variacion_anual	2,7
2012	asturias	indice	93,6925
2012	asturias	variacion_anual	2,6
2012	baleares	indice	91,8179166667
2012	baleares	variacion_anual	3,1
2012	canarias	indice	94,54325
2012	canarias	variacion_anual	2,5
2012	cantabria	indice	92,4631666667
2012	cantabria	variacion_anual	3,6
2012	castilla_la_mancha	indice	93,3329166667
2012	castilla_la_mancha	variacion_anual	2,7
2012	castilla_leon	indice	92,6910833333
2012	castilla_leon	variacion_anual	3,1
2012	catalunya	indice	91,35675
2012	catalunya	variacion_anual	3,6
2012	ceuta	indice	95,5735833333
2012	ceuta	variacion_anual	2,2
2012	comunidad_valenciana	indice	93,0990833333
2012	comunidad_valenciana	variacion_anual	3,0
2012	extremadura	indice	93,6911666667
2012	extremadura	variacion_anual	2,8
2012	galicia	indice	92,4319166667
2012	galicia	variacion_anual	2,6
2012	madrid	indice	93,1224166667
2012	madrid	variacion_anual	2,5
2012	melilla	indice	94,4466666667
2012	melilla	variacion_anual	1,6
2012	murcia	indice	93,7008333333
2012	murcia	variacion_anual	2,9
2012	nacional	indice	92,7174166667
2012	nacional	variacion_anual	2,9
2012	navarra	indice	92,9665833333
2012	navarra	variacion_anual	2,7
2012	pais_vasco	indice	91,502
2012	pais_vasco	variacion_anual	2,7
2012	rioja	indice	92,9461666667
2012	rioja	variacion_anual	2,8
2013	andalucia	indice	94,3136666667
2013	andalucia	variacion_anual	0,3
2013	aragon	indice	94,4249166667
2013	aragon	variacion_anual	0,2
2013	asturias	indice	94,9770833333
2013	asturias	variacion_anual	0,2
2013	baleares	indice	93,2465
