Year	CCAA	Type	Value
2008	andalucia	renta_media_por_unidad_de_consumo	13859
2008	andalucia	renta_neta_media_por_persona	9007
2008	aragon	renta_media_por_unidad_de_consumo	17107
2008	aragon	renta_neta_media_por_persona	11485
2008	asturias	renta_media_por_unidad_de_consumo	17383
2008	asturias	renta_neta_media_por_persona	11880
2008	baleares	renta_media_por_unidad_de_consumo	16496
2008	baleares	renta_neta_media_por_persona	11229
2008	canarias	renta_media_por_unidad_de_consumo	13418
2008	canarias	renta_neta_media_por_persona	8902
2008	cantabria	renta_media_por_unidad_de_consumo	16727
2008	cantabria	renta_neta_media_por_persona	11232
2008	castilla_la_mancha	renta_media_por_unidad_de_consumo	13898
2008	castilla_la_mancha	renta_neta_media_por_persona	9064
2008	castilla_leon	renta_media_por_unidad_de_consumo	15533
2008	castilla_leon	renta_neta_media_por_persona	10488
2008	catalunya	renta_media_por_unidad_de_consumo	18566
2008	catalunya	renta_neta_media_por_persona	12436
2008	ceuta	renta_media_por_unidad_de_consumo	13458
2008	ceuta	renta_neta_media_por_persona	8047
2008	comunidad_valenciana	renta_media_por_unidad_de_consumo	14796
2008	comunidad_valenciana	renta_neta_media_por_persona	9864
2008	extremadura	renta_media_por_unidad_de_consumo	12484
2008	extremadura	renta_neta_media_por_persona	8107
2008	galicia	renta_media_por_unidad_de_consumo	14374
2008	galicia	renta_neta_media_por_persona	9482
2008	madrid	renta_media_por_unidad_de_consumo	18941
2008	madrid	renta_neta_media_por_persona	12496
2008	melilla	renta_media_por_unidad_de_consumo	17420
2008	melilla	renta_neta_media_por_persona	11065
2008	murcia	renta_media_por_unidad_de_consumo	14147
2008	murcia	renta_neta_media_por_persona	9119
2008	navarra	renta_media_por_unidad_de_consumo	19907
2008	navarra	renta_neta_media_por_persona	13123
2008	pais_vasco	renta_media_por_unidad_de_consumo	20887
2008	pais_vasco	renta_neta_media_por_persona	14038
2008	rioja	renta_media_por_unidad_de_consumo	15917
2008	rioja	renta_neta_media_por_persona	10916
2008	total_nacional	renta_media_por_unidad_de_consumo	16190
2008	total_nacional	renta_neta_media_por_persona	10737
2009	andalucia	renta_media_por_unidad_de_consumo	14393
2009	andalucia	renta_neta_media_por_persona	9406
2009	aragon	renta_media_por_unidad_de_consumo	18561
2009	aragon	renta_neta_media_por_persona	12411
2009	asturias	renta_media_por_unidad_de_consumo	18561
2009	asturias	renta_neta_media_por_persona	12630
2009	baleares	renta_media_por_unidad_de_consumo	17548
2009	baleares	renta_neta_media_por_persona	11821
2009	canarias	renta_media_por_unidad_de_consumo	13612
2009	canarias	renta_neta_media_por_persona	8932
2009	cantabria	renta_media_por_unidad_de_consumo	18108
2009	cantabria	renta_neta_media_por_persona	12184
2009	castilla_la_mancha	renta_media_por_unidad_de_consumo	14712
2009	castilla_la_mancha	renta_neta_media_por_persona	9631
2009	castilla_leon	renta_media_por_unidad_de_consumo	16415
2009	castilla_leon	renta_neta_media_por_persona	11147
2009	catalunya	renta_media_por_unidad_de_consumo	18978
2009	catalunya	renta_neta_media_por_persona	12733
2009	ceuta	renta_media_por_unidad_de_consumo	14261
2009	ceuta	renta_neta_media_por_persona	8702
2009	comunidad_valenciana	renta_media_por_unidad_de_consumo	15703
2009	comunidad_valenciana	renta_neta_media_por_persona	10502
2009	extremadura	renta_media_por_unidad_de_consumo	13833
2009	extremadura	renta_neta_media_por_persona	9028
2009	galicia	renta_media_por_unidad_de_consumo	15113
2009	galicia	renta_neta_media_por_persona	10026
2009	madrid	renta_media_por_unidad_de_consumo	20597
2009	madrid	renta_neta_media_por_persona	13564
2009	melilla	renta_media_por_unidad_de_consumo	17120
2009	melilla	renta_neta_media_por_persona	11048
2009	murcia	renta_media_por_unidad_de_consumo	14139
2009	murcia	renta_neta_media_por_persona	9150
2009	navarra	renta_media_por_unidad_de_consumo	21318
2009	navarra	renta_neta_media_por_persona	14175
2009	pais_vasco	renta_media_por_unidad_de_consumo	22138
2009	pais_vasco	renta_neta_media_por_persona	14838
2009	rioja	renta_media_por_unidad_de_consumo	16447
