Year	CCAA	Value
1971	andalucia	5990874
1971	aragon	1153053
1971	asturias	1052039
1971	baleares	532942
1971	canarias	1125433
1971	cantabria	469079
1971	castilla_la_mancha	1732601
1971	castilla_leon	2668279
1971	catalunya	5107469
1971	ceuta	62607
1971	comunidad_valenciana	3077955
1971	extremadura	1169355
1971	galicia	2676330
1971	madrid	3761320
1971	melilla	60815
1971	murcia	832005
1971	navarra	466593
1971	pais_vasco	1867274
1971	rioja	234620
1971	total_nacional	34040642
1972	andalucia	6038130
1972	aragon	1157487
1972	asturias	1060233
1972	baleares	545498
1972	canarias	1151259
1972	cantabria	473066
1972	castilla_la_mancha	1724105
1972	castilla_leon	2660966
1972	catalunya	5190741
1972	ceuta	62918
1972	comunidad_valenciana	3130401
1972	extremadura	1160383
1972	galicia	2687418
1972	madrid	3855573
1972	melilla	60260
1972	murcia	844541
1972	navarra	471227
1972	pais_vasco	1897790
1972	rioja	236342
1972	total_nacional	34408338
1973	andalucia	6088717
1973	aragon	1163195
1973	asturias	1069075
1973	baleares	558493
1973	canarias	1176886
1973	cantabria	477491
1973	castilla_la_mancha	1716748
1973	castilla_leon	2654877
1973	catalunya	5280043
1973	ceuta	63192
1973	comunidad_valenciana	3186172
1973	extremadura	1151738
1973	galicia	2701066
1973	madrid	3951653
1973	melilla	59549
1973	murcia	857760
1973	navarra	476088
1973	pais_vasco	1929631
1973	rioja	238226
1973	total_nacional	34800600
1974	andalucia	6135074
1974	aragon	1167683
1974	asturias	1077057
1974	baleares	571291
1974	canarias	1203346
1974	cantabria	481767
1974	castilla_la_mancha	1708726
1974	castilla_leon	2647041
1974	catalunya	5367372
1974	ceuta	63291
1974	comunidad_valenciana	3241819
1974	extremadura	1142123
1974	galicia	2713462
1974	madrid	4047656
1974	melilla	58854
1974	murcia	870490
1974	navarra	480492
1974	pais_vasco	1959844
1974	rioja	239905
1974	total_nacional	35177294
1975	andalucia	6182072
1975	aragon	1173017
1975	asturias	1085361
1975	baleares	584351
1975	canarias	1229259
1975	cantabria	486312
1975	castilla_la_mancha	1700000
1975	castilla_leon	2639524
1975	catalunya	5460778
1975	ceuta	63496
1975	comunidad_valenciana	3300076
1975	extremadura	1131416
1975	galicia	2727535
1975	madrid	4147492
1975	melilla	58275
1975	murcia	883768
1975	navarra	485040
1975	pais_vasco	1989739
1975	rioja	241862
1975	total_nacional	35569375
1976	andalucia	6226573
1976	aragon	1177605
1976	asturias	1093550
1976	baleares	596495
1976	canarias	1253443
1976	cantabria	490873
1976	castilla_la_mancha	1691766
1976	castilla_leon	2630855
1976	catalunya	5551665
1976	ceuta	63812
1976	comunidad_valenciana	3357758
1976	extremadura	1120500
1976	galicia	2741638
1976	madrid	4244740
1976	melilla	57251
1976	murcia	895470
1976	navarra	489629
1976	pais_vasco	2018991
1976	rioja	243810
1976	total_nacional	35946425
1977	andalucia	6271866
1977	aragon	1182640
1977	asturias	1102125
1977	baleares	608638
1977	canarias	1276862
1977	cantabria	495852
1977	castilla_la_mancha	1684472
1977	castilla_leon	2623383
1977	catalunya	5638387
1977	ceuta	64068
1977	comunidad_valenciana	3417687
1977	extremadura	1109697
1977	galicia	2756653
1977	madrid	4342419
1977	melilla	56395
1977	murcia	908323
1977	navarra	494252
1977	pais_vasco	2049266
1977	rioja	246214
1977	total_nacional	36329199
1978	andalucia	6317098
1978	aragon	1187206
1978	asturias	1109883
1978	baleares	620149
1978	canarias	1299614
1978	cantabria	500527
1978	castilla_la_mancha	1675864
1978	castilla_leon	2614721
1978	catalunya	5723931
1978	ceuta	64336
1978	comunidad_valenciana	3477070
