Year	CCAA	Type	Value
2013	madrid	co	1.3728094548736263
2013	madrid	no2	14.666666666666666
2013	madrid	o3	27.947460395155343
2013	madrid	pm10	9.666666666666666
2013	madrid	pm25	41.83348813157957
2013	madrid	so2	2.179957764079657
2013	total_nacional	co	1.3728094548736263
2013	total_nacional	no2	14.666666666666666
2013	total_nacional	o3	27.947460395155343
2013	total_nacional	pm10	9.666666666666666
2013	total_nacional	pm25	41.83348813157957
2013	total_nacional	so2	2.179957764079657
2014	andalucia	co	2.64029664131621
2014	andalucia	no2	10.092136324795685
2014	andalucia	o3	27.941723147613633
2014	andalucia	pm10	27.28164473571349
2014	andalucia	pm25	56.92302204815794
2014	andalucia	so2	3.558723309081648
2014	asturias	co	1.966585289170682
2014	asturias	no2	14.660432194199453
2014	asturias	o3	15.328796702289262
2014	asturias	pm10	28.861089212517417
2014	asturias	pm25	59.92756100433032
2014	asturias	so2	4.211341843233132
2014	canarias	co	1.2495550044036403
2014	canarias	no2	5.086497533183068
2014	canarias	o3	28.142750187046047
2014	canarias	pm10	23.263152199167056
2014	canarias	pm25	38.077567328007326
2014	canarias	so2	1.8916366151534754
2014	cantabria	co	1.6164966541174786
2014	cantabria	no2	12.564701945487844
2014	cantabria	o3	37.53814630258463
2014	cantabria	pm10	20.214985575573884
2014	cantabria	pm25	49.259344299159636
2014	cantabria	so2	2.5726037802960895
2014	castilla_leon	co	1.1250904116536116
2014	castilla_leon	no2	6.422314604482311
2014	castilla_leon	o3	16.734783732718736
2014	castilla_leon	pm10	15.95513031723905
2014	castilla_leon	pm25	34.28476997719835
2014	castilla_leon	so2	3.749311855759026
2014	catalunya	co	1.799463263722986
2014	catalunya	no2	16.516399923756317
2014	catalunya	o3	32.72641223926107
2014	catalunya	pm10	23.65441173291082
2014	catalunya	pm25	54.83486788273806
2014	catalunya	so2	2.6699376041078207
2014	comunidad_valenciana	co	1.150715757013648
2014	comunidad_valenciana	no2	8.305871261024114
2014	comunidad_valenciana	o3	22.681176408640656
2014	comunidad_valenciana	pm10	12.401720028478278
2014	comunidad_valenciana	pm25	35.06564861784363
2014	comunidad_valenciana	so2	1.5596603185937894
2014	galicia	co	1.1432742187517244
2014	galicia	no2	8.821193588878362
2014	galicia	o3	24.300681823490315
2014	galicia	pm10	29.71605587088034
2014	galicia	pm25	51.28134334443157
2014	galicia	so2	1.4924715278960397
2014	madrid	co	1.442554907072432
2014	madrid	no2	18.740039747074665
2014	madrid	o3	31.52087443396304
2014	madrid	pm10	21.12339976699469
2014	madrid	pm25	43.95883446892612
2014	madrid	so2	2.3225388427007188
2014	murcia	co	1.7425503513009268
2014	murcia	no2	9.99638343695683
2014	murcia	o3	45.20656547092977
2014	murcia	pm10	21.71406039172583
2014	murcia	pm25	53.100566273807935
2014	murcia	so2	3.4401818237302417
2014	navarra	co	0.9293378508315798
2014	navarra	no2	4.481539854243169
2014	navarra	o3	27.604682907177253
2014	navarra	pm10	13.614367540301123
2014	navarra	pm25	28.31962135383851
2014	navarra	so2	1.597708624004144
2014	pais_vasco	co	1.6578717059129486
2014	pais_vasco	no2	10.80378403557934
2014	pais_vasco	o3	28.420932159903405
2014	pais_vasco	pm10	18.503197921899176
2014	pais_vasco	pm25	38.02117582873932
2014	pais_vasco	so2	2.315480225897853
