Year	CCAA	Value
2008	andalucia	97,9101463667
2008	aragon	102,3316421128
2008	asturias	102,6772749197
2008	baleares	100,9042790201
2008	canarias	97,8262021336
2008	cantabria	102,3335114387
2008	castilla_la_mancha	100,1024525567
2008	castilla_leon	99,0622201464
2008	catalunya	100,3227409391
2008	ceuta	96,7930242044
2008	comunidad_valenciana	100,6479439866
2008	extremadura	98,8910302491
2008	galicia	97,4494213737
2008	madrid	100,6569357448
2008	melilla	98,5754519793
2008	murcia	100,350001474
2008	navarra	105,1153747494
2008	pais_vasco	101,8325309051
2008	rioja	103,3018667088
2008	total_nacional	100,0
2009	andalucia	97,4774344068
2009	aragon	102,7111359142
2009	asturias	102,1632054092
2009	baleares	100,8379626081
2009	canarias	97,1167116256
2009	cantabria	101,9234415382
2009	castilla_la_mancha	99,831446767
2009	castilla_leon	98,9335110479
2009	catalunya	99,6336577538
2009	ceuta	97,3216786273
2009	comunidad_valenciana	100,681155458
2009	extremadura	98,5396786579
2009	galicia	96,7166288523
2009	madrid	100,337919811
2009	melilla	98,2394349161
2009	murcia	99,2977983981
2009	navarra	104,8267117694
2009	pais_vasco	102,058390675
2009	rioja	103,2383756123
2009	total_nacional	99,6345693643
2010	andalucia	97,7496540237
2010	aragon	102,8373595504
2010	asturias	102,4969545774
2010	baleares	101,3079897835
2010	canarias	97,7407005079
2010	cantabria	101,7578546713
2010	castilla_la_mancha	100,316749432
2010	castilla_leon	98,9832337011
2010	catalunya	100,2736180322
2010	ceuta	96,9548554755
2010	comunidad_valenciana	101,0416645447
2010	extremadura	98,35108277
2010	galicia	96,9369240158
2010	madrid	100,8508982226
2010	melilla	97,4647299905
2010	murcia	99,1661544006
2010	navarra	104,7893232497
2010	pais_vasco	101,9157419033
2010	rioja	103,6229034108
2010	total_nacional	99,9651315252
2011	andalucia	97,651952402
2011	aragon	102,9013772542
2011	asturias	102,8999781491
2011	baleares	101,1589343267
2011	canarias	97,6640352382
2011	cantabria	101,8692619546
2011	castilla_la_mancha	100,5267209955
2011	castilla_leon	99,1828146745
2011	catalunya	101,1070734056
2011	ceuta	96,8355402995
2011	comunidad_valenciana	101,6228016185
2011	extremadura	98,8898989817
2011	galicia	97,0394190511
2011	madrid	101,197793958
2011	melilla	100,2132803561
2011	murcia	100,1658688596
2011	navarra	104,8361341673
2011	pais_vasco	101,7633884104
2011	rioja	102,8447821184
2011	total_nacional	100,2598432652
2012	andalucia	97,8995710498
2012	aragon	103,1080735887
2012	asturias	103,4524609648
2012	baleares	101,8782116204
2012	canarias	97,3502411669
2012	cantabria	102,2460661031
2012	castilla_la_mancha	100,3888624452
2012	castilla_leon	99,4710162136
2012	catalunya	100,2991324889
2012	ceuta	95,8414305933
2012	comunidad_valenciana	101,2750965559
2012	extremadura	98,7989343302
2012	galicia	96,8006217825
2012	madrid	101,3264784847
2012	melilla	99,4943516488
2012	murcia	99,5261393256
2012	navarra	104,9966134313
2012	pais_vasco	102,0158679973
2012	rioja	103,2570363551
2012	total_nacional	100,1625625445
2013	andalucia	97,6762240488
2013	aragon	102,1374037874
2013	asturias	102,4171115186
2013	baleares	101,0033483765
2013	canarias	97,3387982621
2013	cantabria	101,8539468845
2013	castilla_la_mancha	100,1032661927
2013	castilla_leon	99,4753287908
2013	catalunya	100,6343333057
2013	ceuta	95,1280149795
2013	comunidad_valenciana	101,3852803632
2013	extremadura	97,7541750353
2013	galicia	96,5802004544
2013	madrid	100,4259594671
2013	melilla	98,5701195189
2013	murcia	99,450700631
2013	navarra	104,8884201741
2013	pais_vasco	101,6194902118
2013	rioja	103,5019081138
2013	total_nacional	99,9108305825
2014	andalucia	97,5392113703
2014	aragon	102,9002139619
2014	asturias	103,1629346898
2014	baleares	101,196319945
2014	canarias	97,3987721758
2014	cantabria	102,3260808282
2014	castilla_la_mancha	100,5755632593
2014	castilla_leon	99,5175420744
2014	catalunya	101,0469428626
2014	ceuta	94,5177120848
2014	comunidad_valenciana	101,1865304019
2014	extremadura	98,1684932039
2014	galicia	96,3834677979
2014	madrid	100,9453580659
2014	melilla	98,049692233
2014	murcia	99,2017006752
2014	navarra	104,7299017865
2014	pais_vasco	102,2719166277
2014	rioja	103,4186233107
2014	total_nacional	100,0899887114
2015	andalucia	98,2242026809
2015	aragon	102,9476570726
2015	asturias	102,8080190496
2015	baleares	101,7947773872
2015	canarias	97,1033907385
2015	cantabria	102,422537115
2015	castilla_la_mancha	100,1586929907
2015	castilla_leon	99,6973963373
2015	catalunya	100,9793274808
2015	ceuta	96,6594448777
2015	comunidad_valenciana	101,5496901591
2015	extremadura	98,779746723
2015	galicia	96,9726688173
2015	madrid	101,3224233095
2015	melilla	98,2234788191
2015	murcia	99,2794403491
2015	navarra	104,9106959402
