date;pm25;pm10;o3;no2;so2;co
2025/11/1; 22; 6; 40; ; 2; 
2025/11/2; 19; 6; 43; 1; 3; 
2025/11/3; 30; 8; 41; 1; 3; 
2025/11/4; 25; 9; 39; 1; 3; 
2025/11/5; 19; 5; 43; 4; 3; 
2025/11/6; 47; 8; 43; 4; 3; 
2025/11/7; 57; 8; 38; 3; 3; 
2025/11/8; 38; 7; 38; 3; 3; 
2025/11/9; 27; 8; 42; 5; ; 
2025/11/10; 28; 13; 38; 5; 3; 
2025/11/11; 35; 15; 45; 5; 3; 
2025/11/12; 34; 15; 32; 9; 3; 
2025/11/13; 34; ; ; ; ; 
2025/10/1; 28; 10; 45; 3; 2; 
2025/10/2; 17; 11; 38; 9; 3; 
2025/10/3; 23; 11; 62; 4; 2; 
2025/10/4; 27; 10; 51; 3; 2; 
2025/10/5; 26; 20; 46; 1; 2; 
2025/10/6; 26; 18; 43; 1; ; 
2025/10/7; 23; 16; 48; 4; 2; 
2025/10/8; 28; 15; 48; 6; 2; 
2025/10/9; 26; 14; 46; 5; 2; 
2025/10/10; 22; 14; 46; 2; 2; 
2025/10/11; 27; 21; 48; 2; 2; 
2025/10/12; 31; 24; 45; 4; 2; 
2025/10/13; 33; 24; 43; 6; 2; 
2025/10/14; 32; 24; 44; 5; 2; 
2025/10/15; 35; 21; 46; 3; 2; 
2025/10/16; 30; 15; 47; 2; 2; 
2025/10/17; 26; 13; 47; 1; 2; 
2025/10/18; 25; 11; 46; 2; 2; 
2025/10/19; 19; 9; 35; 4; 2; 
2025/10/20; 32; 7; 32; 2; 2; 
2025/10/21; 34; 8; 33; 2; 2; 
2025/10/22; 17; 9; 32; 5; 2; 
2025/10/23; 21; 11; 35; 9; 3; 
2025/10/24; 28; 10; 31; 4; 2; 
2025/10/25; 20; 8; 27; 1; 2; 
2025/10/26; 17; 9; 33; 3; 2; 
2025/10/27; 18; 7; 33; 2; 3; 
2025/10/28; 13; 9; 30; 2; 3; 
2025/10/29; 49; 6; 40; 2; 3; 
2025/10/30; 20; 6; 31; 2; 3; 
2025/10/31; 38; 6; 36; 1; 3; 
2025/7/1; 31; 15; 27; 4; 3; 
2025/7/2; 27; 13; 26; 3; 3; 
2025/7/3; 31; 18; 36; 2; 3; 
2025/7/4; 30; 14; 29; 7; 3; 
2025/7/5; 36; 15; 31; 11; 3; 
2025/7/6; 37; 20; 28; 10; 3; 
2025/7/7; 43; 23; 36; 8; 3; 
2025/7/8; 45; 22; 27; 3; 3; 
2025/7/9; 42; 20; 32; 2; 3; 
2025/7/10; 31; 19; 32; 3; 3; 
2025/7/11; 39; 14; 30; 2; 4; 
2025/7/12; 27; 11; 28; 10; 5; 
2025/7/13; 14; 19; 15; 18; 5; 
2025/7/14; 17; 25; 23; 11; 3; 
2025/7/18; 39; 16; 35; 3; 1; 
2025/7/19; 26; 11; 31; 7; ; 
2025/7/21; 37; 19; 37; 9; 7; 
2025/7/22; 36; 23; 43; 4; 1; 
2025/7/23; 43; 20; 43; 4; 1; 
2025/7/24; 35; 21; ; 2; 1; 
2025/7/25; 32; 17; ; 2; 1; 
2025/7/26; 25; 13; ; 12; 1; 
2025/7/27; 25; 19; 59; 7; 1; 
2025/7/28; 45; 19; 44; 2; 1; 
2025/7/29; 40; 17; 51; 3; 2; 
2025/7/30; 28; 20; 66; 3; 2; 
2025/7/31; 35; 18; 50; 2; 2; 
2025/8/1; 33; 13; 40; ; 2; 
2025/8/2; 23; 13; 38; ; 2; 
2025/8/3; 22; 19; 39; ; 2; 
2025/8/4; 27; 18; 37; 3; 2; 
2025/8/5; 31; 15; 40; 4; 2; 
2025/8/6; 27; 16; 37; 6; 2; 
2025/8/7; 30; 18; 42; 4; 2; 
2025/8/8; 49; 19; 46; ; 2; 
2025/8/9; 47; 18; 42; ; 2; 
