date;pm25;pm10;o3;no2;so2;co
2025/11/1; 52; 26; 25; 8; 3; 
2025/11/2; 54; 39; 21; 13; 6; 
2025/11/3; 68; 47; 23; 19; 5; 
2025/11/4; 77; 21; 29; 11; 2; 
2025/11/5; 44; 30; 17; 11; 5; 
2025/11/6; 58; ; ; ; ; 
2025/10/1; 49; 27; 25; 12; 6; 
2025/10/2; 55; 31; 19; 13; 4; 
2025/10/3; 55; 26; 23; 8; 4; 
2025/10/4; 49; 16; 25; 3; 2; 
2025/10/5; 35; 33; 25; 8; 3; 
2025/10/6; 50; 27; 28; 13; 8; 
2025/10/7; 49; 140; 15; 11; 2; 
2025/10/8; 49; 94; 31; 7; 1; 
2025/10/9; 39; 35; 24; 7; 4; 
2025/10/10; 57; 20; 29; 4; 1; 
2025/10/11; 46; 27; 28; 6; 8; 
2025/10/12; 59; 29; 25; 6; 3; 
2025/10/13; 70; 24; 23; 7; 1; 
2025/10/14; 56; 23; 26; 3; ; 
2025/10/15; 49; 26; 27; 5; 1; 
2025/10/16; 58; 37; 24; 9; 2; 
2025/10/17; 80; 48; 18; 13; 7; 
2025/10/18; 75; 42; 22; 12; 8; 
2025/10/19; 57; 23; 21; 9; 2; 
2025/10/20; 38; 30; 19; 8; 4; 
2025/10/21; 35; 98; 22; 9; 6; 
2025/10/22; 70; 40; 26; 6; 3; 
2025/10/23; 57; 29; 24; 10; 1; 
2025/10/24; 50; 29; 22; 10; 2; 
2025/10/25; 54; 17; 25; 6; 1; 
2025/10/26; 41; 29; 22; 12; 3; 
2025/10/27; 56; 42; 21; 13; 6; 
2025/10/28; 71; 42; 20; 13; 3; 
2025/10/29; 65; 33; 13; 12; 5; 
2025/10/30; 62; 39; 13; 25; 4; 
2025/10/31; 64; 28; 21; 10; 2; 
2025/7/1; 24; 13; 28; 3; ; 
2025/7/2; 15; 24; 25; 2; ; 
2025/7/3; 17; 23; 27; 4; ; 
2025/7/4; 14; 23; 34; 3; ; 
2025/7/5; 16; 19; 23; 1; 1; 
2025/7/6; 14; 14; 25; 3; 1; 
2025/7/7; 15; 18; 27; 2; ; 
2025/7/8; 25; 17; 30; 2; 1; 
2025/7/9; 27; 25; 37; 4; 1; 
