date;pm25;pm10;o3;no2;so2;co
2025/11/1; 16; 15; 28; 6; ; 
2025/11/2; 21; 21; 29; 7; ; 
2025/11/3; 23; 19; 33; 8; ; 
2025/11/4; 24; 16; 26; 7; ; 
2025/11/5; 18; 13; 29; 3; ; 
2025/11/6; 14; 11; 33; 3; ; 
2025/11/7; 11; 12; 35; 4; ; 
2025/11/8; 12; 11; 32; 4; ; 
2025/11/9; 13; 14; 35; 3; ; 
2025/11/10; 12; 18; 34; 4; ; 
2025/11/11; 11; 25; 34; 2; ; 
2025/11/12; 13; 17; 35; 2; ; 
2025/11/13; 20; 12; 20; 5; ; 
2025/11/14; 16; ; ; ; ; 
2025/10/1; 19; 22; 37; 5; ; 
2025/10/2; 19; 21; 33; 5; ; 
2025/10/3; 26; 24; 42; 5; ; 
2025/10/4; 33; 23; 33; 3; ; 
2025/10/5; 19; 13; 31; 3; ; 
2025/10/6; 66; 20; 34; 3; ; 
2025/10/7; 21; 28; 37; 5; ; 
2025/10/8; 27; 29; 31; 4; ; 
2025/10/9; 26; 21; 32; 3; ; 
2025/10/10; 23; 16; 36; 3; ; 
2025/10/11; 16; 17; 40; 4; ; 
2025/10/12; 31; 28; 37; 8; ; 
2025/10/13; 32; 24; 38; 8; ; 
2025/10/14; 27; 24; 33; 8; ; 
2025/10/15; 27; 24; 31; 8; ; 
2025/10/16; 28; 14; 24; 8; ; 
2025/10/17; 18; 9; 21; 7; ; 
2025/10/18; 16; 3; 21; 5; ; 
2025/10/19; 9; 6; 19; 7; ; 
2025/10/20; 13; 6; 14; 5; ; 
2025/10/21; 11; 7; 16; 4; ; 
2025/10/22; 8; 15; 23; 6; ; 
2025/10/23; 16; 14; 27; 5; ; 
2025/10/24; 11; 11; 25; 4; ; 
2025/10/25; 11; 12; 23; 6; ; 
2025/10/26; 17; 14; 22; 6; ; 
2025/10/27; 13; 21; 30; 4; ; 
2025/10/28; 12; 18; 32; 5; ; 
2025/10/29; 12; 14; 30; 4; ; 
2025/10/30; 17; 9; 30; 4; ; 
2025/10/31; 12; 10; 31; 6; ; 
2025/7/1; 35; 34; 31; 6; 1; 
2025/7/2; 34; 33; 33; 3; ; 
2025/7/3; 33; 40; 32; 4; ; 
2025/7/4; 44; 42; 34; 3; ; 
2025/7/5; 44; 28; 40; 4; ; 
2025/7/6; 31; 31; 33; 4; ; 
2025/7/7; 31; 87; 21; 5; ; 
2025/7/8; 39; 9; 21; 5; ; 
2025/7/9; 7; 12; 23; 3; ; 
