date;pm25;pm10;o3;no2;so2;co
2025/11/1; 8; 13; 35; 4; 2; 
2025/11/2; 13; 19; 35; 4; 2; 
2025/11/3; 20; 20; 28; 5; 2; 
2025/11/4; 17; 15; 31; 3; 2; 
2025/11/5; 14; 11; 38; 2; 2; 
2025/11/6; 9; 9; 37; 2; 2; 
2025/11/7; 6; 8; 33; 3; ; 
2025/11/8; 5; 8; 36; 2; ; 
2025/11/9; 6; 11; 37; 3; ; 
2025/11/10; 7; 11; 33; 5; ; 
2025/11/11; 6; 12; 35; 2; ; 
2025/11/12; 31; 11; 37; 4; ; 
2025/11/13; 17; ; ; ; ; 
2025/10/1; 7; 12; 37; 6; 3; 
2025/10/2; 7; 16; 36; 7; 3; 
2025/10/3; 8; 18; 37; 3; 3; 
2025/10/4; 9; 15; 34; 2; 3; 
2025/10/5; 13; 10; 29; 3; 3; 
2025/10/6; 7; 14; 31; 3; 3; 
2025/10/7; 5; 23; 34; 4; 3; 
2025/10/8; 28; 23; 29; 5; 2; 
2025/10/9; 17; 16; 32; 7; 2; 
2025/10/10; 8; 17; 35; 2; 2; 
2025/10/11; 11; 17; 40; 2; 2; 
2025/10/12; 10; 25; 40; 4; 2; 
2025/10/13; 20; 23; 35; 5; 2; 
2025/10/14; 17; 22; 31; 6; 2; 
2025/10/15; 19; 19; 27; 7; 2; 
2025/10/16; 18; 15; 24; 5; 2; 
2025/10/17; 13; 10; 22; 6; 2; 
2025/10/18; 9; 5; 19; 2; 2; 
2025/10/19; 5; 7; 20; 2; 2; 
2025/10/20; 5; 4; 23; 2; 2; 
2025/10/22; 5; 13; 26; 3; 2; 
2025/10/23; 8; 9; 24; 3; 2; 
2025/10/24; 8; 9; 27; 3; 2; 
2025/10/25; 7; 10; 25; 4; 2; 
2025/10/26; 5; 8; 24; 5; 2; 
2025/10/27; 10; 9; 29; 4; 2; 
2025/10/28; 7; 10; 35; 5; 2; 
2025/10/29; 6; 8; 31; 3; 2; 
2025/10/30; 5; 5; 31; 4; 2; 
2025/10/31; 7; 8; 36; 5; 2; 
2025/7/1; 30; 24; 26; 4; 2; 
2025/7/2; 23; 28; 28; 4; 2; 
2025/7/3; 36; 41; 28; 3; 2; 
2025/7/4; 45; 38; 34; 3; 2; 
2025/7/5; 44; 26; 40; 2; 2; 
2025/7/6; 33; 30; 30; 3; 2; 
2025/7/7; 34; 14; 15; 4; 2; 
2025/7/8; 18; 7; 18; 2; 2; 
2025/7/9; 8; 10; 22; 2; 2; 
2025/7/10; 11; 15; 23; 3; 2; 
2025/7/11; 13; 15; 27; 3; 2; 
2025/7/12; 12; 12; 21; 2; 2; 
2025/7/13; 9; 11; 20; 3; 2; 
2025/7/14; 9; 26; 26; 6; 2; 
2025/7/15; 24; 72; 37; 4; 2; 
2025/7/16; 65; 58; 39; 3; 2; 
2025/7/17; 57; 47; 39; 4; 2; 
2025/7/18; 54; 21; 26; 3; 2; 
2025/7/19; 22; 14; 25; 3; 2; 
2025/7/20; 14; 14; 21; 4; 2; 
2025/7/21; 16; 15; 30; 2; 2; 
2025/7/22; 11; 18; 26; 3; 2; 
2025/7/23; 14; 16; 31; 3; 2; 
2025/7/24; 14; 26; 29; 4; 3; 
2025/7/25; 37; 23; 35; 3; 2; 
2025/7/26; 27; 21; 29; 4; 2; 
2025/7/27; 28; 27; 39; 5; 2; 
2025/7/28; 30; 33; 27; 5; 2; 
2025/7/29; 33; 21; 24; 3; 2; 
2025/7/30; 13; 13; 24; 2; 2; 
2025/7/31; 6; 14; 34; 6; 3; 
2025/8/1; 12; 17; 34; 4; 3; 
2025/8/2; 11; 18; 35; 2; 2; 
2025/8/3; 12; 21; 34; 3; 2; 
2025/8/4; 7; 24; 34; 5; 2; 
2025/8/5; 16; 36; 35; 4; 2; 
2025/8/6; 27; 31; 35; 4; 2; 
2025/8/7; 21; 35; 40; 5; 2; 
2025/8/8; 31; 41; 42; 5; 2; 
2025/8/9; 42; 51; 34; 4; 2; 
2025/8/10; 50; 62; 30; 6; 2; 
2025/8/11; 55; 69; 26; 7; 2; 
2025/8/12; 64; 63; 31; 4; 2; 
2025/8/13; 54; 41; 29; 4; 2; 
2025/8/14; 33; 31; 28; 2; 2; 
2025/8/15; 13; 101; 28; 2; 3; 
2025/8/16; 60; 129; 26; 2; 2; 
2025/8/17; 86; 68; 31; 2; 2; 
2025/8/18; 62; 46; 29; 2; 3; 
2025/8/19; 28; 23; 29; 3; 3; 
2025/8/20; 13; 22; 32; 2; 3; 
2025/8/21; 11; 25; 29; 3; 3; 
2025/8/22; 14; 31; 34; 4; 3; 
2025/8/23; 23; 23; 29; 2; 3; 
2025/8/24; 12; 19; 21; 4; 3; 
2025/8/25; 10; 11; 21; 2; 3; 
2025/8/26; 7; 17; 24; 3; 3; 
2025/8/27; 5; 11; 33; 2; 2; 
2025/8/28; 7; 16; 33; 2; 3; 
2025/8/29; 7; 17; 36; 3; 3; 
2025/8/30; 6; 15; 26; 2; 3; 
2025/8/31; 9; 19; 31; 3; 3; 
2025/9/1; 9; 19; 33; 2; 3; 
2025/9/2; 10; 19; 30; 2; 3; 
2025/9/3; 8; 18; 26; 4; 3; 
2025/9/4; 7; 20; 30; 4; 3; 
2025/9/5; 9; 23; 33; 3; 3; 
2025/9/6; 19; 40; 34; 3; 3; 
2025/9/7; 40; 79; 30; 3; 3; 
2025/9/8; 74; 18; 33; 2; 3; 
2025/9/9; 11; 16; 33; 5; 3; 
2025/9/10; 6; 14; 29; 3; 3; 
2025/9/11; 7; 16; 25; 3; 3; 
2025/9/12; 6; ; 28; 3; 3; 
2025/9/13; 12; ; 30; 3; 3; 
2025/9/14; 15; 35; 28; 3; 2; 
2025/9/15; 19; 110; 27; 3; 3; 
2025/9/16; 72; 237; 31; 2; 2; 
2025/9/17; 165; 133; 28; 6; 2; 
2025/9/18; 118; 65; 31; 5; 3; 
2025/9/19; 69; 57; 30; 7; 3; 
2025/9/20; 65; 49; 30; 3; 3; 
2025/9/21; 56; 25; 30; 2; 3; 
2025/9/22; 16; 11; 33; 4; 3; 
2025/9/23; 9; 8; 33; 4; 3; 
2025/9/24; 5; 9; 34; 4; 3; 
2025/9/26; 5; 10; 32; 3; 3; 
2025/9/27; 10; 7; 29; 2; 3; 
2025/9/28; 11; 12; 34; ; 3; 
2025/9/29; 7; 11; 32; 2; 3; 
2025/9/30; 9; 11; 35; 2; 3; 
2025/4/1; 28; 13; 38; 6; 2; 
2025/4/2; 30; 13; 36; 2; 2; 
2025/4/3; 18; 14; 31; 8; 2; 
2025/4/4; 23; 11; 31; 5; 2; 
2025/4/5; 22; 10; 24; 3; 2; 
2025/4/6; 21; 8; 27; 4; 2; 
2025/4/7; 19; 7; 28; 4; 2; 
2025/4/8; 20; 8; 36; 4; 2; 
2025/4/9; 12; 7; 36; 3; 2; 
2025/4/10; 9; 9; 32; 7; 2; 
2025/4/11; 11; 11; 36; 4; 2; 
2025/4/12; 13; 16; 35; 6; 2; 
2025/4/13; 28; 16; 34; 5; 2; 
2025/4/14; 21; 11; 37; 2; 2; 
2025/4/15; 10; 13; 37; 2; 2; 
2025/4/16; 20; 15; 34; 3; 2; 
2025/4/17; 14; 10; 28; 2; 2; 
2025/4/18; 15; 13; 36; 3; 2; 
2025/4/19; 18; 12; 39; 2; 2; 
2025/4/20; 17; 13; 38; 8; 2; 
2025/4/21; 21; 9; 38; 7; 2; 
2025/4/22; 19; 18; 39; 4; 2; 
2025/4/23; 26; 19; 38; 5; 2; 
2025/4/24; 29; 15; 37; 3; 2; 
2025/4/25; 27; 17; 37; ; 2; 
2025/4/26; 24; 22; 37; 2; 2; 
2025/4/27; 27; 22; 32; 5; 2; 
2025/4/28; 24; 15; 38; 4; 2; 
