date;pm25;pm10;o3;no2;so2;co
2025/11/1; 6; 6; 27; 3; 2; 
2025/11/2; 13; 4; 28; 5; 1; 
2025/11/3; 18; 7; 36; 4; 2; 
2025/11/4; 21; 4; 34; 1; 4; 
2025/11/5; 16; 2; 29; 1; 1; 
2025/11/6; 8; ; ; ; ; 
2025/10/1; 37; 11; 39; 9; 1; 
2025/10/2; 29; 12; 43; 10; 1; 
2025/10/3; 27; 9; 29; 4; 2; 
2025/10/4; 24; 5; 31; 1; 2; 
2025/10/5; 21; 12; 36; 6; 3; 
2025/10/6; 25; 8; 37; 11; 3; 
2025/10/7; 27; 12; 42; 4; 1; 
2025/10/8; 37; 11; 36; 2; ; 
2025/10/9; 37; 9; 35; 3; 2; 
2025/10/10; 42; 8; 33; 4; 4; 
2025/10/11; 31; 2; 34; 4; 2; 
2025/10/12; 29; 3; 36; 5; 1; 
2025/10/13; 27; 3; 36; 4; 1; 
2025/10/14; 27; 4; 35; 6; 1; 
2025/10/15; 30; 15; 39; 7; 1; 
2025/10/16; 19; 16; 35; 7; 2; 
2025/10/17; 30; 17; 40; 8; 2; 
2025/10/18; 31; 13; 35; 1; 1; 
2025/10/19; 21; 4; 29; 1; 1; 
2025/10/20; 7; 3; 23; 1; 1; 
2025/10/21; 8; 5; 26; ; 1; 
2025/10/22; 6; 6; 36; 1; 2; 
2025/10/23; 18; 9; 26; 1; 1; 
2025/10/24; 15; 3; 25; 1; 2; 
2025/10/25; 7; 4; 32; 1; 3; 
2025/10/26; 11; 4; 30; 8; 2; 
2025/10/27; 19; 5; 34; 8; 1; 
2025/10/28; 21; 3; 30; 1; 2; 
2025/10/29; 8; 5; 28; 2; 2; 
2025/10/30; 11; 4; 32; ; 1; 
2025/10/31; 14; 3; 30; ; 2; 
2025/7/1; 49; 26; ; 2; 1; 
2025/7/2; 61; 15; ; 3; ; 
2025/7/3; 43; 16; ; 2; 1; 
2025/7/4; 42; 14; ; 1; 1; 
2025/7/5; 45; 16; ; 2; 1; 
2025/7/6; 42; 6; ; 1; 1; 
2025/7/7; 14; 17; ; 5; ; 
2025/7/8; 48; 19; ; 3; ; 
2025/7/9; 41; 19; ; 3; 1; 
2025/7/10; 54; 17; ; 3; 2; 
2025/7/11; 49; 14; ; 1; 1; 
2025/7/12; 33; 13; ; 2; ; 
2025/7/13; 35; 17; ; 2; 1; 
2025/7/14; 43; 13; ; 3; 1; 
2025/7/15; 41; 14; ; 3; 2; 
2025/7/16; 35; 18; ; 3; 1; 
2025/7/17; 44; 18; ; 3; 1; 
2025/7/18; 51; 8; ; ; 2; 
2025/7/19; 20; 9; ; ; 1; 
2025/7/20; 26; 10; ; 2; 1; 
2025/7/21; 27; 15; ; 2; 2; 
2025/7/22; 34; 10; ; 2; 2; 
2025/7/23; 27; 9; ; 2; 1; 
2025/7/24; 23; 14; ; 2; ; 
2025/7/25; 43; 17; ; 3; 1; 
2025/7/26; 53; 17; ; 2; 1; 
2025/7/27; 41; 12; 33; 2; 3; 
2025/7/28; 28; 11; 40; 1; 3; 
2025/7/29; 26; 16; 25; 3; 1; 
2025/7/30; 74; 17; 36; 5; 1; 
2025/7/31; 44; 22; 39; 5; ; 
2025/8/1; 55; 20; 39; 5; 2; 
2025/8/2; 52; 18; 44; 4; 2; 
2025/8/3; 47; 17; 57; 6; 2; 
2025/8/4; 40; 27; 47; 4; 2; 
2025/8/5; 61; 18; 37; 2; 2; 
2025/8/6; 38; 29; 60; 7; 1; 
2025/8/7; 62; 33; 56; 4; 5; 
2025/8/8; 67; 28; 47; 5; 3; 
2025/8/9; 58; 24; 46; 3; 6; 
2025/8/10; 53; 29; 50; 2; 6; 
2025/8/11; 66; 34; 45; 6; 4; 
2025/8/12; 68; 23; 46; 4; 2; 
2025/8/13; 55; 24; 54; 7; 2; 
2025/8/14; 60; 25; 52; 4; 2; 
2025/8/15; 59; 34; 48; 11; 1; 
2025/8/16; 77; 40; 51; 5; 3; 
2025/8/17; 85; 28; 35; 1; 2; 
2025/8/18; 63; 12; 32; 1; 2; 
2025/8/19; 103; 11; 30; 2; 1; 
2025/8/20; 22; 8; 43; 1; 2; 
2025/8/21; 20; 11; 41; 2; 1; 
2025/8/22; 24; 12; 49; 3; 2; 
2025/8/23; 35; 17; 57; 4; 2; 
2025/8/24; 50; 23; 47; 4; 2; 
2025/8/25; 57; 29; 46; 4; 1; 
2025/8/26; 59; 16; 37; 1; 1; 
2025/8/27; 39; 8; 36; ; 1; 
2025/8/28; 19; 11; 32; 1; 2; 
2025/8/29; 25; 5; 27; 1; 3; 
2025/8/30; 13; 6; 28; ; 2; 
2025/8/31; 13; 6; 31; 1; 1; 
2025/9/1; 17; 9; 30; 1; 1; 
2025/9/2; 20; 9; 29; ; 1; 
2025/9/3; 14; 10; 35; 2; 2; 
2025/9/4; 26; 16; 35; 6; 2; 
2025/9/5; 36; 14; 44; 1; ; 
2025/9/6; 30; 17; 38; 1; 2; 
2025/9/7; 38; 9; 28; 4; 2; 
2025/9/8; 23; 6; 33; 4; ; 
2025/9/9; 21; 6; 29; 1; 1; 
2025/9/10; 14; 6; 28; 1; 1; 
2025/9/11; 14; 7; 29; 2; 1; 
2025/9/12; 12; 11; 37; 2; 1; 
2025/9/13; 25; 6; 25; 3; 1; 
2025/9/14; 17; 11; 32; 4; 1; 
2025/9/15; 23; 10; 45; 2; ; 
2025/9/16; 20; 16; 46; 10; 1; 
2025/9/17; 33; 17; 48; 7; 2; 
2025/9/18; 40; 20; 39; 5; 2; 
2025/9/19; 46; 18; 34; 1; 1; 
2025/9/20; 47; 3; 30; 1; 1; 
2025/9/21; 12; 4; 31; 2; 1; 
2025/9/22; 13; 4; 31; 2; 2; 
2025/9/23; 18; 8; 34; 5; 2; 
2025/9/24; 22; 8; 40; 4; 1; 
2025/9/25; 26; 9; 40; 7; 1; 
2025/9/26; 25; 12; 45; 6; ; 
2025/9/27; 28; 17; 37; 4; 1; 
2025/9/28; 41; 13; 38; 2; 3; 
2025/9/29; 38; 13; 38; 3; 3; 
2025/9/30; 30; 8; 18; 2; 1; 
2025/4/1; 38; 15; ; 3; 2; 
2025/4/2; 86; 4; ; ; 2; 
