date;pm25;pm10;o3;no2;so2;co
2021/4/1; 57; 41; 41; 2; 4; 
2021/4/2; 61; 47; 40; 1; 3; 
2021/4/3; 58; 13; 38; 3; 8; 
2021/4/4; 18; 12; 37; 3; 6; 
2021/4/5; 13; 14; 33; 3; 9; 
2021/4/6; 21; 16; 37; 4; 9; 
2021/4/7; 23; 17; 35; 4; 6; 
2021/4/8; 34; 18; 28; 5; 7; 
2021/4/9; 43; 7; 30; 2; 6; 
2021/4/10; 24; 4; 35; ; 1; 
2021/4/12; 10; 10; 32; 3; 8; 
2021/4/13; 11; 11; 37; 2; 5; 
2021/1/4; 6; 9; 24; 6; 5; 
2021/1/5; 8; 7; 24; 2; 5; 
2021/1/6; 8; 7; 25; 4; 6; 
2021/1/7; 8; 14; 32; 11; 22; 
2021/1/8; 7; 6; 31; 1; 7; 
2021/1/9; 9; 6; 32; 1; 4; 
2021/1/10; 14; 10; 31; 6; 16; 
2021/1/11; 8; 10; 25; 10; 12; 
2021/1/12; 9; 14; 20; 9; 15; 
2021/1/13; 21; 12; 27; 16; 24; 
2021/1/14; 22; 8; 29; 6; 8; 
2021/1/15; 10; 5; 32; 3; 7; 
2021/1/16; 18; 5; 31; 4; 5; 
2021/1/17; 27; 8; 23; 6; 15; 
2021/1/18; 20; 10; 27; 7; 11; 
2021/1/19; 27; 10; 28; 3; 13; 
2021/1/20; 32; 8; 28; 3; 12; 
2021/1/21; 10; 5; 32; 2; 5; 
2021/1/22; 6; 4; 29; 1; 3; 
2021/2/1; 12; 4; 21; 2; 8; 
2021/2/2; 7; 6; 32; 2; 8; 
2021/2/3; 12; 8; 26; 5; 9; 
2021/2/4; 12; 7; 23; 4; 6; 
2021/2/5; 13; 4; 30; ; 2; 
2021/2/6; 9; 6; 26; 1; 5; 
2021/2/7; 6; 5; 27; 5; 5; 
2021/2/8; 7; 7; 31; 3; 13; 
2021/2/9; 5; 8; 28; 4; 8; 
2021/2/10; 7; 7; 21; 5; 8; 
2021/2/11; 11; 4; 31; 3; 2; 
2021/2/12; 9; 10; 30; 3; 7; 
2021/2/13; 10; 9; 26; 3; 7; 
2021/2/14; 14; 13; 26; 5; 9; 
2021/2/15; 15; 11; 25; 6; 7; 
2021/2/16; 24; 8; 25; 5; 11; 
2021/2/17; 14; 21; 28; 3; 14; 
2021/2/18; 24; 53; 27; 4; 14; 
