date;pm25;pm10;o3;no2;so2;co
2025/11/1; 18; 6; 29; 2; ; 
2025/11/2; 15; 10; 22; 5; ; 
2025/11/3; 18; 14; 27; 5; ; 
2025/11/4; 34; 16; 33; 5; 1; 
2025/11/5; 42; 8; 25; 3; ; 
2025/11/6; 17; 7; 20; 4; ; 
2025/11/7; 19; ; ; ; ; 
2025/10/1; 42; 18; 36; 6; 1; 
2025/10/2; 48; 22; 37; 6; 1; 
2025/10/3; 57; 19; 27; 7; 1; 
2025/10/4; 51; 21; 27; 4; 1; 
2025/10/5; 45; 17; 25; 4; 1; 
2025/10/6; 35; 18; 28; 5; 1; 
2025/10/7; 43; 19; 32; 5; 1; 
2025/10/8; 47; 11; 30; 3; 1; 
2025/10/9; 28; 15; 25; 4; 1; 
2025/10/10; 31; 16; 31; 4; 1; 
2025/10/11; 37; 9; 31; 4; 1; 
2025/10/12; 21; 14; 22; 6; 1; 
2025/10/13; 31; 13; 32; 5; 1; 
2025/10/14; 32; 17; 31; 5; 1; 
2025/10/15; 44; 21; 30; 7; 1; 
2025/10/16; 53; 14; 28; 6; 1; 
2025/10/17; 35; 10; 28; 5; 1; 
2025/10/18; 26; 13; 23; 6; 1; 
2025/10/19; 37; 16; 23; 5; 1; 
2025/10/20; 35; 9; 24; 3; 1; 
2025/10/21; 16; 9; 27; 3; 1; 
2025/10/22; 15; 13; 27; 3; 1; 
2025/10/23; 19; 21; 25; 6; 1; 
2025/10/24; 36; 10; 30; 4; 1; 
2025/10/25; 25; 8; 24; 3; 1; 
2025/10/26; 17; 10; 17; 6; 2; 
2025/10/27; 25; 13; 22; 6; 2; 
2025/10/28; 31; 17; 27; 7; 1; 
2025/10/29; 47; 8; 20; 4; 1; 
2025/10/30; 17; 8; 24; 3; 1; 
2025/10/31; 22; 6; 29; 3; 1; 
2025/7/1; 49; 29; 47; 6; 1; 
2025/7/2; 48; 20; 41; 5; 1; 
2025/7/3; 46; 22; 66; 4; 1; 
2025/7/4; 49; 24; 46; 4; 2; 
