date;pm25;pm10;o3;no2;so2;co
2025/11/1; 17; 12; 31; 3; ; 2
2025/11/2; 27; 9; 29; 3; ; 2
2025/11/3; 20; 7; 35; 1; ; 2
2025/11/4; 31; 2; 36; 2; ; 2
2025/11/5; 15; 14; 37; 2; ; 2
2025/11/6; 31; 4; 33; ; ; 2
2025/11/7; 9; ; ; ; ; 
2025/10/1; 31; 11; 37; 9; 1; 1
2025/10/2; 39; 6; 24; 2; ; 1
2025/10/3; 19; 14; 25; 1; ; 1
2025/10/4; 26; 13; 27; 6; ; 1
2025/10/5; 29; 8; 31; 6; ; 1
2025/10/6; 24; 15; 37; 10; ; 1
2025/10/7; 38; 13; 29; 6; ; 1
2025/10/8; 34; 11; 31; 3; ; 1
2025/10/9; 25; 12; 31; 3; ; 1
2025/10/10; 31; 7; 23; 5; ; 1
2025/10/11; 30; 7; 28; 3; ; 1
2025/10/12; 30; 13; 23; 11; ; 1
2025/10/13; 42; 11; 4; 13; ; 1
2025/10/14; 47; ; ; ; ; 
2025/10/17; 39; 13; 36; 10; ; 2
2025/10/18; 49; 12; 36; ; ; 1
2025/10/19; 34; 3; 25; 1; ; 1
2025/10/20; 9; 8; 27; 1; ; 1
2025/10/21; 18; 8; 35; 1; ; 2
2025/10/22; 18; 26; 36; 2; ; 1
2025/10/23; 46; 18; 34; 2; ; 1
2025/10/24; 40; 10; 30; 3; ; 2
2025/10/25; 28; 7; 32; 2; ; 1
2025/10/26; 27; 7; 29; 4; ; 1
2025/10/27; 26; 13; 19; 10; ; 2
2025/10/28; 36; 3; 28; 3; ; 2
2025/10/29; 12; 4; 35; 2; ; 2
2025/10/30; 17; 4; 37; ; ; 2
2025/10/31; 9; 6; 34; ; ; 2
2025/7/1; 8; 11; 30; ; ; 1
2025/7/2; 11; 14; 32; ; ; 1
2025/7/3; 19; 12; 34; 1; ; 1
2025/7/4; 17; 13; 37; ; ; 1
2025/7/5; 24; 6; 23; 1; ; 1
2025/7/6; 7; 5; 30; ; ; 1
2025/7/7; 15; 11; 31; ; ; 1
2025/7/8; 17; 10; 29; 4; ; 1
2025/7/9; 23; 12; 30; 3; ; 1
2025/7/10; 19; 21; 31; 2; ; 2
2025/7/11; 28; 12; 35; 1; ; 2
2025/7/12; 26; 5; 24; ; ; 2
2025/7/13; 14; 10; 31; 2; ; 2
2025/7/14; 15; 16; 27; 6; ; 2
2025/7/15; 35; 15; 28; 7; ; 2
