date;pm25;pm10;o3;no2;so2;co
2025/11/1; 34; 10; 37; 7; 1; 
2025/11/2; 28; 8; 31; 8; 5; 
2025/11/3; 15; 12; 31; 10; 8; 
2025/11/4; 26; 15; 34; 15; 9; 
2025/11/5; 32; 17; 35; 5; 1; 
2025/11/6; 25; 6; 31; 2; 1; 
2025/11/7; 9; ; ; ; ; 
2025/10/1; 26; 13; 45; 9; 1; 
2025/10/2; 31; 11; 43; 4; ; 
2025/10/3; 27; 22; 46; 7; 1; 
2025/10/4; 44; 18; 34; 5; ; 
2025/10/5; 40; 17; 33; 4; 14; 
2025/10/6; 37; 14; 36; 6; 2; 
2025/10/7; 27; 15; 40; 3; ; 
2025/10/8; 26; 17; 35; 8; 2; 
2025/10/9; 27; 8; 31; 3; ; 
2025/10/10; 17; 7; 41; 1; ; 
2025/10/11; 16; 13; 40; 2; ; 
2025/10/12; 29; 21; 34; 12; ; 
2025/10/13; 44; 27; 36; 4; 2; 
2025/10/14; 49; 22; 38; 5; 1; 
2025/10/15; 41; 17; 35; 8; 7; 
2025/10/16; 43; 16; 35; 9; 1; 
2025/10/17; 44; 12; 36; 6; 4; 
2025/10/18; 35; 9; 41; 6; 1; 
2025/10/19; 26; 10; 41; 3; ; 
2025/10/20; 25; 22; 35; 13; 1; 
2025/10/21; 34; 15; 32; 7; 1; 
2025/10/22; 27; 20; 30; 5; 1; 
2025/10/23; 40; 15; 28; 9; 1; 
2025/10/24; 24; 22; 31; 5; 1; 
2025/10/25; 45; 16; 29; 4; 1; 
2025/10/26; 34; 10; 33; 3; ; 
2025/10/27; 16; 9; 35; 8; 1; 
2025/10/28; 19; 9; 40; 7; 1; 
2025/10/29; 21; 8; 35; 5; 1; 
2025/10/30; 14; 12; 39; 7; 2; 
2025/10/31; 33; 13; 36; 4; 1; 
2025/7/1; 46; 19; 34; 6; 3; 
2025/7/2; 39; 15; 34; 7; 11; 
2025/7/3; 31; 16; 34; 6; 6; 
2025/7/4; 40; 20; 37; 4; 7; 
2025/7/5; 48; 24; 51; 2; ; 
2025/7/6; 56; 22; 45; 2; ; 
2025/7/7; 52; 25; 32; 3; 5; 
2025/7/8; 52; 18; 30; 3; 8; 
2025/7/9; 41; 18; 36; 1; 2; 
2025/7/10; 39; 20; 39; 1; ; 
2025/7/11; 47; 25; 37; 1; ; 
2025/7/12; 52; 24; 39; 4; ; 
2025/7/13; 50; 24; 31; 6; ; 
2025/7/14; 48; 20; 39; 4; 5; 
2025/7/15; 40; 14; 36; 6; 1; 
2025/7/16; 28; 18; 40; 1; ; 
2025/7/17; 28; 37; 59; 1; ; 
2025/7/18; 57; 31; 44; 3; ; 
2025/7/19; 57; 22; 46; 3; 1; 
2025/7/20; 48; 26; 41; 6; 3; 
2025/7/21; 45; 20; 31; 4; 13; 
2025/7/22; 43; 19; 35; 2; ; 
2025/7/23; 43; 26; 32; 4; 1; 
2025/7/24; 43; 12; 40; 7; ; 
2025/7/25; 26; 12; 40; 3; 1; 
2025/7/26; 30; 9; 51; 2; ; 
2025/7/27; 24; 12; 42; 4; 3; 
2025/7/28; 28; 17; 40; 4; 10; 
2025/7/29; 41; 20; 42; 5; 7; 
2025/7/30; 44; 18; 40; 5; 1; 
2025/7/31; 40; 16; 35; 7; 6; 
2025/8/1; 34; 13; 35; 2; 8; 
2025/8/2; 32; 13; 33; 5; ; 
2025/8/3; 31; 15; 40; 4; 5; 
2025/8/4; 34; 15; 45; 8; 1; 
2025/8/5; 31; 14; 44; 7; 5; 
2025/8/6; 32; 20; 42; 8; ; 
2025/8/7; 47; 24; 40; 8; ; 
2025/8/8; 59; 28; 47; 5; 8; 
2025/8/9; 71; 17; 45; 5; 7; 
2025/8/10; 48; 16; 44; 6; ; 
2025/8/11; 41; 13; 42; 2; ; 
2025/8/12; 36; 21; 44; 10; 1; 
2025/8/13; 43; 22; 46; 16; 8; 
2025/8/14; 50; 21; 52; 6; 2; 
2025/8/15; 54; 22; 50; 8; ; 
2025/8/16; 57; 16; 50; 3; ; 
2025/8/17; 47; 31; 59; 9; ; 
2025/8/18; 57; 31; 56; 3; 1; 
2025/8/19; 63; 36; 54; 4; ; 
2025/8/20; 70; 33; 44; 5; 1; 
2025/8/21; 67; 31; 47; 6; 3; 
2025/8/22; 71; 15; 45; 2; 3; 
2025/8/23; 40; 17; 44; 4; 1; 
2025/8/24; 47; 32; 38; 7; ; 
2025/8/25; 64; 30; 38; 5; 1; 
2025/8/26; 59; 31; 49; 4; ; 
2025/8/27; 54; 49; 41; 4; ; 
2025/8/28; 66; 26; 46; 3; ; 
2025/8/29; 32; 24; 51; 7; 1; 
2025/8/30; 31; 13; 47; 4; ; 
2025/8/31; 27; 23; 43; 5; 1; 
2025/9/1; 28; 18; 49; 4; ; 
2025/9/2; 18; 20; 45; 11; ; 
2025/9/3; 19; 15; 49; 7; ; 
2025/9/4; 20; 24; 32; 9; ; 
2025/9/5; 29; 14; 34; 2; ; 
2025/9/6; 28; 21; 35; 2; 1; 
2025/9/7; 43; 32; 33; 5; 1; 
2025/9/8; 53; 35; 44; 6; 1; 
2025/9/9; 54; 31; 47; 5; ; 
2025/9/10; 45; 32; 37; 9; 1; 
2025/9/11; 37; 34; 41; 11; 2; 
2025/9/12; 35; 25; 44; 6; 1; 
2025/9/13; 32; 14; 40; 4; 4; 
2025/9/14; 30; 15; 34; 5; 1; 
2025/9/15; 27; 30; 31; 4; 3; 
2025/9/16; 34; 32; 31; 6; 1; 
2025/9/17; 37; 22; 37; 6; 3; 
2025/9/18; 31; 15; 41; 4; 4; 
2025/9/19; 29; 11; 54; 2; 1; 
2025/9/20; 24; 13; 72; 2; ; 
2025/9/21; 30; 27; 35; 4; 3; 
2025/9/22; 32; 20; 40; 7; 1; 
2025/9/23; 25; 28; 40; 12; 3; 
2025/9/24; 27; 22; 38; 6; 6; 
2025/9/25; 21; 12; 43; 7; 1; 
2025/9/26; 19; 8; 48; 1; ; 
2025/9/27; 14; 14; 40; 1; ; 
2025/9/28; 24; 19; 37; 1; ; 
2025/9/29; 27; 8; 39; 3; 4; 
2025/9/30; 20; 12; 38; 7; 1; 
2025/4/1; 23; 20; 40; 6; 2; 
2025/4/2; 49; 29; 36; 18; 1; 
2025/4/3; 58; 45; 41; 8; 1; 
2025/4/4; 70; 26; 38; 4; 1; 
2025/4/5; 50; 8; 40; 2; 2; 
2025/4/6; 17; 14; 40; 12; 2; 
2025/4/7; 26; 16; 41; 13; 8; 
2025/4/8; 36; 20; 38; 11; 1; 
2025/4/9; 50; 25; 41; 12; 1; 
2025/4/10; 53; 24; 38; 10; 1; 
2025/4/11; 53; 23; 30; 7; 1; 
2025/4/12; 55; ; ; ; ; 
2025/4/14; 41; 15; 40; 5; 2; 
2025/4/15; 29; 6; 38; 4; 2; 
2025/4/16; 9; 11; 37; 4; 2; 
2025/4/17; 23; 11; 32; 5; 2; 
2025/4/18; 29; 10; 40; 2; 2; 
2025/4/19; 24; 7; 38; 2; 2; 
2025/4/20; 14; 10; 38; 5; 2; 
2025/4/21; 20; 14; 44; 4; 2; 
2025/4/22; 32; 14; 41; 4; 2; 
2025/4/23; 37; 19; 40; 15; 4; 
2025/4/24; 33; 15; 41; 10; 4; 
2025/4/25; 29; 13; 44; 5; 2; 
2025/4/26; 30; 10; 36; 7; 6; 
2025/4/27; 23; 10; 32; 6; 2; 
2025/4/28; 20; 24; 38; 2; 2; 
2025/4/29; 31; 24; 39; 10; 2; 
2025/4/30; 40; 32; 40; 11; 2; 
2025/5/1; 58; 54; 42; 6; 2; 
2025/5/2; 80; 37; 41; 4; 3; 
2025/5/3; 68; 20; 41; 3; 2; 
2025/5/4; 43; 15; 39; 4; 2; 
2025/5/5; 29; 13; 41; 2; 6; 
2025/5/6; 25; 12; 40; 3; 15; 
2025/5/7; 27; 13; 45; 1; 2; 
2025/5/8; 29; 14; 44; 3; 2; 
2025/5/9; 36; 14; 42; 1; 2; 
2025/5/10; 39; 16; 43; 1; 2; 
2025/5/11; 44; 14; 48; 2; 2; 
2025/5/12; 30; 19; 46; 4; 9; 
2025/5/13; 40; 19; 36; 6; 6; 
2025/5/14; 39; 14; 38; 6; 2; 
2025/5/15; 34; 11; 41; 2; 2; 
2025/5/16; 25; 12; 46; 4; 5; 
2025/5/17; 33; 14; 39; 8; 8; 
2025/5/18; 39; 19; 44; 5; 2; 
2025/5/19; 47; 10; 43; 3; 3; 
2025/5/20; 16; 13; 44; 5; 1; 
2025/5/21; 27; 9; 41; 2; ; 
2025/5/22; 22; 11; 30; 5; ; 
2025/5/23; 25; 14; 44; 6; ; 
2025/5/24; 30; 8; 46; 1; ; 
2025/5/25; 21; 15; 47; 12; ; 
2025/5/26; 31; 25; 37; 11; 1; 
2025/5/27; 42; 19; 35; 8; ; 
2025/5/28; 33; 25; 42; 10; ; 
2025/5/29; 35; 33; 45; 8; ; 
2025/5/30; 39; 11; 37; 6; ; 
2025/5/31; 24; 11; 43; 8; 1; 
2025/6/1; 25; 21; 39; 7; 1; 
2025/6/2; 37; 26; 45; 2; ; 
2025/6/3; 56; 39; 44; 5; ; 
2025/6/4; 72; 26; 41; 4; ; 
2025/6/5; 58; 22; 44; 2; 1; 
2025/6/6; 54; 16; 43; 2; 1; 
2025/6/7; 43; 24; 34; 6; 1; 
2025/6/8; 56; 20; 28; 10; ; 
2025/6/9; 49; 25; 35; 8; ; 
2025/6/10; 52; 34; 40; 10; 1; 
2025/6/11; 70; 32; 44; 2; ; 
2025/6/12; 77; 35; 36; 7; ; 
2025/6/13; 77; 35; 38; 4; ; 
2025/6/14; 85; 31; 40; 9; 11; 
2025/6/15; 74; 34; 39; 6; 3; 
2025/6/16; 69; 30; 41; 4; 1; 
2025/6/17; 63; 25; 37; 4; 2; 
2025/6/18; 56; 19; 44; 5; 2; 
2025/6/19; 47; 16; 46; 4; 1; 
2025/6/20; 43; 19; 47; 6; 7; 
2025/6/21; 48; 19; 41; 4; 4; 
2025/6/22; 48; 21; 39; 6; 5; 
2025/6/23; 47; 35; 37; 12; 2; 
2025/6/24; 72; 22; 42; 8; 1; 
2025/6/25; 52; 29; 47; 3; 2; 
2025/6/26; 51; 30; 36; 3; 1; 
2025/6/27; 63; 23; 43; 2; ; 
2025/6/28; 53; 19; 46; 8; 2; 
2025/6/29; 40; 21; 42; 11; 1; 
2025/6/30; 35; 27; 37; 7; 2; 
2025/1/17; 8; 9; 27; 6; 1; 
2025/1/18; 24; 9; 30; 4; ; 
2025/1/19; 21; 13; 28; 12; ; 
2025/1/20; 35; 14; 30; 3; 1; 
2025/1/21; 38; 39; 25; 9; 2; 
2025/1/22; 53; 49; 24; 4; 5; 
2025/1/23; 60; 23; 22; 1; 1; 
2025/1/24; 42; 22; 23; 1; 1; 
2025/1/25; 47; 11; 28; 1; 1; 
2025/1/26; 28; 24; 22; 1; ; 
2025/1/27; 52; 19; 28; 2; ; 
2025/1/28; 20; 15; 31; 3; ; 
2025/1/29; 25; 15; 29; 3; 1; 
2025/1/30; 19; 9; 25; 5; ; 
2025/1/31; 13; 9; 32; 5; ; 
2025/2/1; 21; 4; 33; 3; 1; 
2025/2/2; 12; 10; 29; 4; ; 
2025/2/3; 23; 13; 32; 3; 1; 
2025/2/4; 29; 25; 32; 8; ; 
2025/2/5; 44; 27; 34; 13; 4; 
2025/2/6; 56; 20; 38; 10; 1; 
2025/2/7; 48; 17; 35; 5; 1; 
2025/2/8; 42; 14; 34; 5; ; 
2025/2/9; 40; 16; 30; 4; 10; 
2025/2/10; 43; 15; 36; 6; 1; 
2025/2/11; 35; 11; 34; 3; ; 
2025/2/12; 23; 10; 35; 3; 1; 
2025/2/13; 12; 8; 35; 5; ; 
2025/2/14; 20; 11; 34; 4; 1; 
2025/2/15; 29; 16; 35; 7; 1; 
2025/2/16; 50; 19; 36; 8; 1; 
2025/2/17; 47; 26; 36; 15; 1; 
2025/2/18; 62; 27; 54; 8; 1; 
2025/2/19; 60; 24; 37; 5; ; 
2025/2/20; 61; 25; 38; 2; 2; 
2025/2/21; 57; 25; 31; 3; 1; 
2025/2/22; 60; 10; 29; 2; 1; 
2025/2/23; 31; 11; 34; 3; 1; 
2025/2/24; 31; 17; 29; 4; 1; 
2025/2/25; 36; 7; 35; 3; 6; 
2025/2/26; 13; 12; 36; 15; 3; 
2025/2/27; 25; 23; 33; 12; 1; 
2025/2/28; 38; 11; 31; 3; 1; 
2025/3/1; 23; ; ; ; ; 
2025/3/3; 68; 42; 31; 7; 1; 
2025/3/4; 73; 39; 31; 3; 1; 
2025/3/5; 72; 41; 27; 12; 1; 
2025/3/6; 73; 33; 30; 5; 6; 
2025/3/7; 63; 28; 36; 2; 17; 
2025/3/8; 51; 8; 37; 1; 1; 
2025/3/9; 16; 11; 35; 1; 1; 
2025/3/10; 20; 17; 37; 2; 1; 
2025/3/11; 40; 13; 34; 3; 1; 
2025/3/12; 21; 12; 34; 1; 1; 
2025/3/13; 25; 12; 39; 1; 1; 
2025/3/14; 26; 4; 33; 12; 1; 
2025/3/15; 10; 11; 36; 13; 1; 
2025/3/16; 25; 11; 30; 22; 5; 
2025/3/17; 21; 16; 38; 15; 2; 
2025/3/18; 37; 7; 33; 23; 2; 
2025/3/19; 22; 80; 31; 16; 1; 
2025/3/20; 104; 83; 38; 3; 1; 
2025/3/21; 100; 16; 36; 1; 1; 
2025/3/22; 33; 7; 36; 3; 1; 
2025/3/23; 13; 10; 33; 6; 1; 
2025/3/24; 15; 7; 35; 3; 1; 
2025/3/25; 14; 12; 35; 9; 1; 
2025/3/26; 31; 14; 39; 11; 1; 
2025/3/27; 33; 20; 39; 13; 1; 
2025/3/28; 46; 12; 38; 2; 1; 
2025/3/29; 16; 9; 39; 3; 2; 
2025/3/30; 17; 9; 39; 5; 1; 
2025/3/31; 16; 12; 43; 10; 4; 
2025/4/13; ; 18; 35; 5; 3; 
2025/1/16; ; 4; 21; 13; 9; 
2025/3/2; ; 39; 27; 13; 1; 
2024/10/1; ; 15; 33; 5; ; 
2024/10/2; ; 18; 28; 9; 1; 
2024/10/3; ; 28; 34; 7; ; 
2024/10/4; ; 19; 34; 2; ; 
2024/10/5; ; 17; 28; 2; ; 
2024/10/6; ; 15; 26; 5; ; 
2024/10/7; ; 22; 32; 4; 1; 
2024/10/8; ; 40; 32; 2; 2; 
2024/10/9; ; 23; 32; 4; 2; 
2024/10/10; ; 20; 34; 10; 2; 
2024/10/11; ; 17; 30; 11; 2; 
2024/10/12; ; 15; 27; 11; 1; 
2024/10/13; ; 15; 25; 11; 2; 
2024/10/14; ; 32; 31; 4; 2; 
2024/10/15; ; 119; 31; 2; 1; 
2024/10/16; ; 13; 27; 6; 1; 
2024/10/17; ; 15; 30; 4; 1; 
2024/10/18; ; 12; 32; 7; 1; 
2024/10/19; ; 14; 29; 8; 1; 
2024/10/20; ; 10; 30; 10; 5; 
2024/10/21; ; 18; 29; 8; 1; 
2024/10/22; ; 22; 27; 7; 1; 
2024/10/23; ; 14; 27; 8; 3; 
2024/10/24; ; 15; 34; 8; 1; 
2024/10/25; ; 17; 29; 2; 1; 
2024/10/26; ; 12; 22; 3; 1; 
2024/10/27; ; 5; 30; 11; 1; 
2024/10/28; ; 14; 28; 3; 2; 
2024/10/29; ; 50; 31; 6; 9; 
2024/10/30; ; 36; 25; 16; 2; 
2024/10/31; ; 89; 31; 6; 2; 
2024/11/1; ; 42; 28; 7; 2; 
2024/11/2; ; 18; 24; 9; 2; 
2024/11/3; ; 17; 27; 5; 2; 
2024/11/4; ; 42; 30; 7; 2; 
2024/11/5; ; 52; 28; 6; 1; 
2024/11/6; ; 59; 26; 4; 1; 
2024/11/7; ; 48; 30; 4; 3; 
2024/11/8; ; 25; 28; 4; 1; 
2024/11/9; ; 23; 31; 2; 2; 
2024/11/10; ; 20; 22; 4; 2; 
2024/11/11; ; 22; ; ; ; 
2024/7/1; ; 23; 37; 5; 1; 
2024/7/2; ; 17; 40; 3; 1; 
2024/7/3; ; 13; 34; 7; 11; 
2024/7/4; ; 17; 23; 13; 1; 
2024/7/5; ; 14; 39; 2; 1; 
2024/7/6; ; 20; 31; 4; 3; 
2024/7/7; ; 19; 28; 2; 5; 
2024/7/8; ; 18; 29; 2; 2; 
2024/7/9; ; 19; 34; 1; 1; 
2024/7/10; ; 19; 36; 6; 1; 
2024/7/11; ; 23; 41; 4; 1; 
2024/7/12; ; 18; 32; 3; 9; 
2024/7/13; ; 26; 35; 1; 1; 
2024/7/14; ; 24; 41; 3; 1; 
2024/7/15; ; 19; 36; 8; 5; 
2024/7/16; ; 25; 27; 6; 7; 
2024/7/17; ; 25; 30; 5; 2; 
2024/7/18; ; 19; 34; 4; 1; 
2024/7/19; ; 19; 39; 3; 1; 
2024/7/20; ; 21; 35; 9; 8; 
2024/7/21; ; 35; 33; 3; 22; 
2024/7/22; ; 26; 32; 4; 14; 
2024/7/23; ; 17; 39; 6; 12; 
2024/7/24; ; 17; 34; 6; 2; 
2024/7/25; ; 15; 31; 8; 4; 
2024/7/26; ; 20; 30; 7; 2; 
2024/7/27; ; 15; 32; 5; 1; 
2024/7/28; ; 26; 23; 17; 2; 
2024/7/29; ; 35; 31; 14; 4; 
2024/7/30; ; 31; 44; 7; 2; 
2024/7/31; ; 28; 38; 8; 2; 
2024/8/1; ; 36; 35; 3; 1; 
2024/8/2; ; 36; 36; 4; 2; 
2024/8/3; ; 31; 36; 3; 5; 
2024/8/4; ; 25; 44; 3; 2; 
2024/8/5; ; 25; 39; 6; 4; 
2024/8/6; ; 25; 29; 13; 1; 
2024/8/7; ; 28; 31; 8; 1; 
2024/8/8; ; 22; 33; 6; 1; 
2024/8/9; ; 22; 34; 11; 1; 
2024/8/10; ; 23; 32; 11; 1; 
2024/8/11; ; 16; 37; 4; 1; 
2024/8/12; ; 18; 49; 2; 1; 
2024/8/13; ; 30; 33; 7; 2; 
2024/8/14; ; 34; 33; 5; 5; 
2024/8/15; ; 16; 40; 3; 3; 
2024/8/16; ; 12; 40; 2; 1; 
2024/8/17; ; 10; 40; 1; 1; 
2024/8/18; ; 10; 34; 4; 3; 
2024/8/19; ; 16; 36; 4; 6; 
2024/8/20; ; 17; 35; 5; 12; 
2024/8/21; ; 25; 40; 3; 2; 
2024/8/22; ; 21; 39; 3; 3; 
2024/8/23; ; 23; 30; 7; 5; 
2024/8/24; ; 32; 34; 5; 4; 
2024/8/25; ; 29; 33; 4; 10; 
2024/8/26; ; 28; 33; 4; 3; 
2024/8/27; ; 21; 33; 4; 8; 
2024/8/28; ; 17; 31; 6; 4; 
2024/8/29; ; 24; 29; 9; 1; 
2024/8/30; ; 26; 29; 10; 1; 
2024/8/31; ; 22; 35; 2; 2; 
2024/9/1; ; 23; 35; 2; 2; 
2024/9/2; ; 35; 36; 3; 2; 
2024/9/3; ; 53; 36; 3; 2; 
2024/9/4; ; 34; 38; 3; 5; 
2024/9/5; ; 9; 40; 4; 5; 
2024/9/6; ; 15; 46; 2; 10; 
2024/9/7; ; 17; 34; 3; 24; 
