date;pm25;pm10;o3;no2;so2;co
2025/11/1; 10; 5; ; 4; 7; 
2025/11/2; 25; 4; ; 10; 3; 
2025/11/3; 33; 4; ; 5; 2; 
2025/11/4; 26; 5; ; 3; 1; 
2025/11/5; 31; 9; ; 3; 2; 
2025/11/6; 13; 9; ; 3; 1; 
2025/11/7; 13; ; ; ; ; 
2025/10/1; 42; 17; ; 12; 2; 
2025/10/2; 45; 25; ; 17; 2; 
2025/10/3; 56; 19; ; 7; 1; 
2025/10/4; 42; 11; ; 2; 2; 
2025/10/5; 19; 15; ; 8; 2; 
2025/10/6; 40; 22; ; 16; 2; 
2025/10/7; 43; 20; ; 14; 2; 
2025/10/8; 43; 13; ; 5; 1; 
2025/10/9; 25; 13; ; 8; 2; 
2025/10/10; 29; 13; ; 8; 2; 
2025/10/11; 42; 16; ; 7; 3; 
2025/10/12; 48; 17; ; 12; 2; 
2025/10/13; 46; 29; ; 10; 2; 
2025/10/14; 73; ; ; 8; 2; 
2025/10/15; 56; ; ; 8; 2; 
2025/10/16; 57; ; ; 11; 2; 
2025/10/17; 64; ; ; 9; 2; 
2025/10/18; 56; ; ; 1; 2; 
2025/10/19; 43; ; ; 8; 2; 
2025/10/20; 20; ; ; 6; 2; 
2025/10/21; 26; ; ; 5; 3; 
2025/10/22; 22; ; ; 2; 2; 
2025/10/23; 35; ; ; 4; 10; 
2025/10/24; 26; ; ; 5; 4; 
2025/10/25; 22; ; ; 2; 12; 
2025/10/26; 13; ; ; 9; 4; 
2025/10/27; 21; ; ; 12; 4; 
2025/10/28; 36; ; ; 5; 2; 
2025/10/29; 19; 3; ; 5; 2; 
2025/10/30; 18; 10; ; 2; 2; 
2025/10/31; 10; 2; ; 4; 2; 
2025/7/1; 50; 6; ; 6; 1; 
2025/7/2; 15; 14; ; 4; 1; 
2025/7/3; 23; 16; ; 6; 1; 
2025/7/4; 44; 14; ; 3; 1; 
2025/7/5; 33; 10; ; 2; 1; 
2025/7/6; 29; 7; ; 4; 1; 
2025/7/7; 13; 12; ; 5; 1; 
2025/7/8; 27; 11; ; 7; 1; 
2025/7/9; 35; 16; ; 9; 1; 
2025/7/10; 50; 23; ; 13; 3; 
2025/7/11; 60; 15; ; 6; 1; 
2025/7/12; 49; 13; ; 4; 1; 
2025/7/13; 37; 10; ; 7; 1; 
2025/7/14; 27; 13; ; 6; 1; 
2025/7/15; 43; 11; ; 8; 1; 
2025/7/16; 59; ; ; 7; 1; 
2025/7/17; 57; ; ; 3; 1; 
2025/7/18; 27; ; ; 3; 1; 
2025/7/19; 16; ; ; 2; 1; 
2025/7/20; 22; ; ; 4; 3; 
2025/7/21; 18; ; ; 5; 1; 
2025/7/22; 25; ; ; 3; 1; 
2025/7/23; 14; ; ; 4; 1; 
2025/7/24; 20; ; ; 2; 1; 
2025/7/25; 50; ; ; 4; 2; 
2025/7/26; 58; ; ; 2; 1; 
2025/7/27; 37; ; ; 6; 1; 
2025/7/28; 19; ; ; 4; 1; 
2025/7/29; 18; ; ; 3; 1; 
2025/7/30; 12; ; ; 2; 1; 
2025/7/31; 18; ; ; 4; 1; 
2025/8/1; 19; ; ; 1; 1; 
2025/8/2; 19; ; ; 3; 1; 
2025/8/3; 25; ; ; 7; 1; 
2025/8/4; 45; ; ; 4; 1; 
2025/8/5; 34; ; ; 4; 1; 
2025/8/6; 28; ; ; 7; 2; 
2025/8/7; 33; ; ; 6; 1; 
2025/8/8; 30; ; ; 3; 1; 
2025/8/9; 29; ; ; 4; ; 
2025/8/10; 41; ; ; 10; ; 
2025/8/11; 57; ; ; 13; 1; 
2025/8/12; 69; ; ; 8; 1; 
2025/8/13; 59; ; ; 6; 1; 
2025/8/14; 56; ; ; 2; 1; 
2025/8/15; 54; ; ; ; ; 
2025/8/18; 34; ; ; 7; 1; 
2025/8/19; 33; ; ; 2; 1; 
2025/8/20; 20; ; ; 4; 1; 
2025/8/21; 29; ; ; 5; 1; 
2025/8/22; 25; ; ; 4; 1; 
2025/8/23; 46; ; ; 5; 1; 
2025/8/24; 49; ; ; 6; 1; 
2025/8/25; 55; ; ; 6; 1; 
2025/8/26; 40; ; ; 5; 1; 
2025/8/27; 18; ; ; 3; 1; 
2025/8/28; 19; ; ; 4; 2; 
2025/8/29; 27; ; ; 3; 1; 
2025/8/30; 16; ; ; 3; 1; 
2025/8/31; 23; ; ; 4; 2; 
2025/9/1; 18; ; ; 6; 1; 
2025/9/2; 22; ; ; 6; 1; 
2025/9/3; 31; ; ; 4; 1; 
2025/9/4; 16; ; ; 6; 1; 
2025/9/5; 29; ; ; 3; 1; 
2025/9/6; 33; ; ; 2; 1; 
2025/9/7; 26; 16; ; 4; 1; 
2025/9/8; 9; 9; ; 6; 1; 
2025/9/9; 18; 14; ; 6; 1; 
2025/9/10; 30; 16; ; 3; 2; 
2025/9/11; 29; 14; ; 3; 2; 
2025/9/12; 24; 15; ; 3; 3; 
2025/9/13; 38; 15; ; 6; 2; 
2025/9/14; 38; 13; ; 5; 1; 
2025/9/15; 24; 20; ; 5; 1; 
